Step,Date,Portfolio_Value,Step_Reward,w_SPY,w_EEM,w_TLT,w_HYG,w_DBC,w_GLD,w_UUP,w_SHY
0,,1.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1,,1.003126259893179,0.003121383303732977,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2,,0.9936515880551742,-0.009490032109085507,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3,,0.9926284217354601,-0.0010302338090986871,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4,,0.9928933583585771,0.00026686851521397963,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5,,0.9964762400523768,0.0036020310861697904,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6,,0.9986527078265739,0.0021817824255167054,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
7,,0.9979190882410627,-0.0007348792765398634,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
8,,1.0031100417091956,0.005188295397386354,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
9,,0.9926861080209168,-0.010445985153953384,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
10,,0.9840785039945301,-0.008708835009273322,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
11,,0.9761599747933003,-0.008079192770967535,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
12,,0.980038443591088,0.003965317468146575,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
13,,0.977796343400125,-0.002290388531258628,0.12193282693624496,0.12193118780851364,0.14648015797138214,0.12193118780851364,0.12193118780851364,0.12193118780851364,0.12193120270967484,0.12193118780851364
14,,0.9783194719627203,0.0005348646240250617,0.12493835389614105,0.12495093792676926,0.12493835389614105,0.12541893124580383,0.12493835389614105,0.12493835389614105,0.12493835389614105,0.12493835389614105
15,,0.9854683324041863,0.007280717402302178,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
16,,0.9877584811914459,0.0023212230847176434,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
17,,0.9935418481461729,0.005837967414371107,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
18,,0.9929278745703893,-0.0006181555030143734,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
19,,0.9895741071905394,-0.003383371729234897,0.12478690594434738,0.124786876142025,0.124786876142025,0.124786876142025,0.124786876142025,0.124786876142025,0.124786876142025,0.12649187445640564
20,,0.9962365922167452,0.006710115950869862,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
21,,0.9971763271727425,0.0009428403081681603,0.12499989569187164,0.12499988079071045,0.12499988079071045,0.12500089406967163,0.12499988079071045,0.12499988079071045,0.12499988079071045,0.12499988079071045
22,,0.996372362624354,-0.0008065662966628157,0.1249762699007988,0.1249762699007988,0.1249762699007988,0.1249762699007988,0.1249762699007988,0.1249762699007988,0.1251661628484726,0.1249762699007988
23,,0.9848240125172016,-0.01165808805974466,0.12486039847135544,0.125924214720726,0.12485732138156891,0.1248578429222107,0.1248573362827301,0.12492796033620834,0.12485752999782562,0.12485732138156891
24,,0.9785006045360983,-0.00644155305877234,0.09313308447599411,0.3480684161186218,0.09313308447599411,0.09313308447599411,0.09313308447599411,0.0931330993771553,0.09313308447599411,0.09313308447599411
