experiment_name,tau,beta,transaction_cost,best_validation_sharpe,final_test_sharpe,cumulative_return,max_drawdown
iql_exp_tau0.6_beta1.0_tc0,0.6,1.0,0.0,1.2949254764046467,0.9439840733754974,0.3294020122245265,0.11485177221656419
iql_exp_tau0.6_beta3.0_tc0,0.6,3.0,0.0,1.3371600257858818,0.8963910849804684,0.41318662711197307,0.10269270558477109
iql_exp_tau0.6_beta10.0_tc0,0.6,10.0,0.0,1.3307148170585954,0.9448392860799446,0.3300478793425965,0.11503614202822066
iql_exp_tau0.7_beta1.0_tc0,0.7,1.0,0.0,1.3051445474878216,0.9487848114299561,0.33178456454505634,0.11512666718568464
iql_exp_tau0.7_beta3.0_tc0,0.7,3.0,0.0,1.3259339466467874,0.9343177837458619,0.32709083758709423,0.11637531358645083
iql_exp_tau0.7_beta10.0_tc0,0.7,10.0,0.0,1.3196641955435062,0.9421456450520915,0.3287125467088212,0.11446294346134399
iql_exp_tau0.8_beta1.0_tc0,0.8,1.0,0.0,1.312681637167627,0.9381706503483692,0.3274583049239834,0.11483134922193106
iql_exp_tau0.8_beta3.0_tc0,0.8,3.0,0.0,1.2915555665093172,0.9419969843810112,0.32949051021689013,0.11447026858582957
iql_exp_tau0.8_beta10.0_tc0,0.8,10.0,0.0,1.3180781414097986,0.9421982354135928,0.32977150091642904,0.11580339771915422
iql_exp_tau0.6_beta1.0_tc0.001,0.6,1.0,0.001,0.5967193874494267,0.3582050930479628,0.10596298984903263,0.13775727149882908
iql_exp_tau0.6_beta3.0_tc0.001,0.6,3.0,0.001,0.604023459723781,0.3449108710707178,0.10187783233695025,0.1399809350817513
iql_exp_tau0.6_beta10.0_tc0.001,0.6,10.0,0.001,0.6424982932521712,0.3651421730948021,0.10845324875520013,0.1381148444309505
iql_exp_tau0.7_beta1.0_tc0.001,0.7,1.0,0.001,0.6162176650511463,0.3701846183140611,0.11024300569493728,0.1377906501350226
iql_exp_tau0.7_beta3.0_tc0.001,0.7,3.0,0.001,0.6257421061045773,0.3501979159351794,0.10365619287250416,0.13986331377102457
iql_exp_tau0.7_beta10.0_tc0.001,0.7,10.0,0.001,0.6217121879853909,0.3582697943067457,0.1060100927461427,0.13772382110068393
iql_exp_tau0.8_beta1.0_tc0.001,0.8,1.0,0.001,0.6163536750545331,0.34927686687746407,0.10300013904176208,0.1378350823772801
iql_exp_tau0.8_beta3.0_tc0.001,0.8,3.0,0.001,0.5885439756219706,0.35532595382193,0.10521503139900723,0.13740277185066493
iql_exp_tau0.8_beta10.0_tc0.001,0.8,10.0,0.001,0.6214111289883785,0.35803047214909967,0.10620760059379752,0.13874529571287098
iql_exp_tau0.6_beta1.0_tc0.005,0.6,1.0,0.005,-2.206637304773424,-1.988744221584705,-0.47043747800196045,0.47062421986612296
iql_exp_tau0.6_beta3.0_tc0.005,0.6,3.0,0.005,-2.217746138019145,-2.0036686030243827,-0.4749076814181994,0.47505897432016964
iql_exp_tau0.6_beta10.0_tc0.005,0.6,10.0,0.005,-2.126206167230553,-1.9575553626483477,-0.4654844280691762,0.4656914025126944
iql_exp_tau0.7_beta1.0_tc0.005,0.7,1.0,0.005,-2.153617163435858,-1.9472138890243196,-0.4639600326252583,0.4641587340926977
iql_exp_tau0.7_beta3.0_tc0.005,0.7,3.0,0.005,-2.188638918112713,-1.988745918858102,-0.4722775821075613,0.472451186160035
iql_exp_tau0.7_beta10.0_tc0.005,0.7,10.0,0.005,-2.187227432565045,-1.980657605747613,-0.4692233511538032,0.46938274388316087
iql_exp_tau0.8_beta1.0_tc0.005,0.8,1.0,0.005,-2.1801715917854163,-2.009413927467238,-0.4744290201410587,0.4745889338914075
iql_exp_tau0.8_beta3.0_tc0.005,0.8,3.0,0.005,-2.2345973444850986,-1.994731759472277,-0.47236753659915154,0.47253812797790323
iql_exp_tau0.8_beta10.0_tc0.005,0.8,10.0,0.005,-2.180710177526274,-1.9822189870277638,-0.47044068694732977,0.4706326434283098
