condition,seed,lambda,test_sharpe,test_turnover
frozen_offline,2024,0.001,7.497216510697004,0.580155265638458
frozen_offline,1337,0.001,6.548280193254856,0.7193879216907006
frozen_offline,42,0.001,6.309016580950934,0.6332842284492154
frozen_offline,1337,0.0,0.993964259622973,0.0105785156857676
frozen_offline,42,0.0,0.9803006675810806,0.0082652690019374
frozen_offline,2024,0.0,0.9444155768283458,0.0025780003801746
frozen_offline,1337,0.005,0.9256265278549046,0.0015716704048779
frozen_offline,42,0.005,0.9204681006584088,0.0031177837938002
frozen_offline,2024,0.005,0.9193653486209876,0.0018174628118139
online_only_sac,42,0.001,0.9412724691793404,0.0
online_only_sac,1337,0.001,0.9412707850605064,1.472245960792968e-07
online_only_sac,2024,0.001,0.9412724653300818,0.0
