step,v_loss,q_loss,policy_loss
1,0.00044761167373508215,0.0011130704078823328,2.0780177116394043
2,0.00010019686305895448,0.0005934640066698194,2.0811262130737305
3,1.9529459677869454e-05,0.0002452328335493803,2.083407163619995
4,0.000172287633176893,8.148905908456072e-05,2.08465576171875
5,0.00042894930811598897,9.056407725438476e-05,2.08493709564209
6,0.0004981475649401546,0.00016563211102038622,2.0847063064575195
7,0.0004611635231412947,0.0002195987617596984,2.084153175354004
8,0.0003319333482068032,0.0002528353361412883,2.0827083587646484
9,0.00019476539455354214,0.0002583888126537204,2.0813353061676025
10,6.453249807236716e-05,0.0002355865144636482,2.08017897605896
11,9.00100712897256e-06,0.00018657342297956347,2.0772039890289307
12,3.127501258859411e-05,0.00010718355770222843,2.0763401985168457
13,9.695086919236928e-05,5.2607192628784105e-05,2.075089693069458
14,0.0001996717182919383,4.140864621149376e-05,2.073657512664795
15,0.0002999930875375867,5.303010402712971e-05,2.0732321739196777
16,0.0003693137550726533,9.051893721334636e-05,2.0723958015441895
17,0.00039018946699798107,0.00010231156193185598,2.072819232940674
18,0.00037989666452631354,0.00010553665924817324,2.074434757232666
19,0.00032358773751184344,0.00011401799565646797,2.0740952491760254
20,0.0002535075764171779,0.0001716183323878795,2.075528860092163
21,0.0001652924984227866,7.826615910744295e-05,2.076014995574951
22,0.00010301576548954472,7.652492786291987e-05,2.0769853591918945
23,4.4749722292181104e-05,5.79557781748008e-05,2.0785953998565674
24,1.5497973436140455e-05,6.408835179172456e-05,2.0786285400390625
25,4.238417204760481e-06,4.0718179661780596e-05,2.079378604888916
26,1.9623097614385188e-05,3.5379460314288735e-05,2.081027030944824
27,4.7338522563222796e-05,3.742311673704535e-05,2.0825612545013428
28,8.684404019732028e-05,4.984633778803982e-05,2.082171678543091
29,0.00011196111154276878,6.366037268890068e-05,2.082326889038086
30,0.00013306197070050985,5.5336131481453776e-05,2.0821940898895264
31,0.00012579280883073807,7.45467550586909e-05,2.0820698738098145
32,9.985941869672388e-05,6.9396584876813e-05,2.0812435150146484
33,7.07671424606815e-05,5.7128985645249486e-05,2.08101749420166
34,4.76796121802181e-05,6.145139195723459e-05,2.0804262161254883
35,1.9888153474312276e-05,5.761079955846071e-05,2.078886032104492
36,7.87657882028725e-06,4.3851989175891504e-05,2.0791449546813965
37,4.0422532947559375e-06,3.652144368970767e-05,2.0783469676971436
38,9.312029760621954e-06,4.595641803462058e-05,2.078037738800049
39,1.8636827007867396e-05,4.90413949592039e-05,2.0774006843566895
40,2.608402428450063e-05,4.2840496462304145e-05,2.0771865844726562
41,3.2234995160251856e-05,4.3820939026772976e-05,2.0776190757751465
42,3.389617631910369e-05,4.835147046833299e-05,2.0769777297973633
43,3.595914313336834e-05,4.2861400288529694e-05,2.0766849517822266
44,3.0357157811522484e-05,5.362021693144925e-05,2.077763080596924
45,2.3943734049680643e-05,5.495387449627742e-05,2.0779037475585938
46,1.6634616258670576e-05,4.376255674287677e-05,2.078066110610962
47,1.0470519555383362e-05,3.0211243938538246e-05,2.0782299041748047
