step,v_loss,q_loss,policy_loss
1,0.00022380583686754107,0.0011130704078823328,2.0706605911254883
2,5.012798646930605e-05,0.0005934650544077158,2.0821571350097656
3,2.4869357730494812e-05,0.00024523510364815593,2.0904135704040527
4,0.00018860414274968207,8.154645911417902e-05,2.093212127685547
5,0.00038360455073416233,9.022662561619654e-05,2.094090461730957
6,0.0003773603239096701,0.00016452485579065979,2.0918495655059814
7,0.00029404074302874506,0.00021729587751906365,2.0886192321777344
8,0.00015324440028052777,0.0002494218060746789,2.083409309387207
9,5.111924110678956e-05,0.0002541815338190645,2.078252077102661
10,7.574074516014662e-06,0.00023127926397137344,2.07295823097229
11,2.5691580958664417e-05,0.00018229082343168557,2.0659782886505127
12,7.084114622557536e-05,0.00010434287105454132,2.0619513988494873
13,0.0001290204527322203,5.105081800138578e-05,2.058136224746704
14,0.00020148568728473037,4.125344639760442e-05,2.0544235706329346
15,0.000266158051090315,5.418673390522599e-05,2.0525479316711426
16,0.00031150199356488883,9.223709639627486e-05,2.051039934158325
17,0.00032617809483781457,0.00010413943527964875,2.051689624786377
18,0.00032753380946815014,0.00010690017370507121,2.053812026977539
19,0.0002979959826916456,0.00011481138062663376,2.054736614227295
20,0.0002572812663856894,0.00017190547077916563,2.057826519012451
21,0.00019957913900725543,7.855116564314812e-05,2.0605602264404297
22,0.00015365821309387684,7.660313713131472e-05,2.0635318756103516
23,0.00010203511919826269,5.795257675345056e-05,2.0676612854003906
24,6.636706530116498e-05,6.407512410078198e-05,2.0698256492614746
25,3.28520945913624e-05,4.065915709361434e-05,2.0730772018432617
26,1.3325623513082974e-05,3.5356995795154944e-05,2.077021837234497
27,4.063823325850535e-06,3.7212594179436564e-05,2.080470561981201
28,5.442783276521368e-06,4.945201362716034e-05,2.082003355026245
29,1.729849464027211e-05,6.30557697149925e-05,2.0835180282592773
30,3.8651116483379155e-05,5.472403790918179e-05,2.0844621658325195
31,5.226040229899809e-05,7.390410610241815e-05,2.0847208499908447
32,5.05117277498357e-05,6.878771091578528e-05,2.083754062652588
33,4.3052175897173584e-05,5.6864133512135595e-05,2.0831191539764404
34,3.429363277973607e-05,6.128517270553857e-05,2.081892967224121
35,1.5402674762299284e-05,5.7479137467453256e-05,2.079385280609131
36,7.242693300213432e-06,4.366762732388452e-05,2.078737735748291
37,2.699292963370681e-06,3.640079376054928e-05,2.0770859718322754
38,3.611979536799481e-06,4.566759162116796e-05,2.075958251953125
39,6.138759090390522e-06,4.868411269853823e-05,2.074716806411743
40,8.381633961107582e-06,4.228204852552153e-05,2.0742130279541016
41,1.0345407645218074e-05,4.3302214180585e-05,2.0745301246643066
42,1.0966708941850811e-05,4.775150591740385e-05,2.0738935470581055
43,1.2910343684779946e-05,4.238449764670804e-05,2.073643445968628
44,1.0944610039587133e-05,5.30685210833326e-05,2.0749197006225586
45,9.004104867926799e-06,5.4351425205823034e-05,2.075322151184082
46,6.956976449146168e-06,4.346302739577368e-05,2.075922966003418
47,5.023013727623038e-06,3.0018749384908006e-05,2.076413154602051
48,3.6867320432065753e-06,4.154103226028383e-05,2.0771970748901367
49,3.5347654829820385e-06,6.783035496482626e-05,2.076963424682617
50,2.240045887447195e-06,2.976525684061926e-05,2.0786800384521484
51,2.8054146241629496e-06,5.447066359920427e-05,2.0796284675598145
52,1.8405131640975014e-06,4.6817360271234065e-05,2.0781748294830322
53,2.121686748068896e-06,3.807619941653684e-05,2.0785531997680664
54,1.454616608498327e-06,3.589655534597114e-05,2.077791213989258
55,1.8033051674137823e-06,3.411960642552003e-05,2.077932834625244
56,1.8027983514912194e-06,3.454171383054927e-05,2.0790820121765137
57,1.6993351437122328e-06,3.62760474672541e-05,2.07656192779541
58,2.1204614313319325e-06,4.207751771900803e-05,2.0782294273376465
59,1.789234488569491e-06,4.378384619485587e-05,2.0783886909484863
60,1.922266392284655e-06,3.726235081558116e-05,2.0776565074920654
61,1.5992890212146449e-06,3.0720068025402725e-05,2.077758312225342
62,1.7214413219335256e-06,3.466530324658379e-05,2.077573299407959
63,1.2915799061374855e-06,4.6465633204206824e-05,2.078044891357422
64,1.2865115195381804e-06,2.563782072684262e-05,2.077765464782715
65,1.7561897038831376e-06,3.993865175289102e-05,2.0778613090515137
66,1.4844723636997514e-06,3.488467700663023e-05,2.078493118286133
67,1.3431226761895232e-06,2.9168129913159646e-05,2.0795860290527344
68,1.9737719867407577e-06,3.521883627399802e-05,2.0793533325195312
69,3.253795284763328e-06,4.278870619600639e-05,2.0800976753234863
70,2.572337280071224e-06,3.691291931318119e-05,2.079355239868164
71,2.8442550501495134e-06,3.1988322007237e-05,2.0792722702026367
72,2.700894583540503e-06,3.5641598515212536e-05,2.0796561241149902
73,1.8214796000393108e-06,3.815675518126227e-05,2.0783729553222656
74,3.2287935027852654e-06,3.384436422493309e-05,2.0786876678466797
75,1.8100224679074017e-06,4.12910885643214e-05,2.0779926776885986
76,1.0177602689509513e-06,3.2474254112457857e-05,2.0768609046936035
77,1.8472758256393718e-06,3.1207291613100097e-05,2.0766263008117676
78,2.0059610505995806e-06,4.078225902048871e-05,2.0768914222717285
79,2.9153738978493493e-06,3.944246418541297e-05,2.076029062271118
80,3.1525041777058505e-06,3.400512650841847e-05,2.076188325881958
81,3.7800641621288378e-06,4.6715049393242225e-05,2.076970100402832
82,3.6632109186029993e-06,3.59164405381307e-05,2.075989246368408
83,3.490374183456879e-06,4.016144885099493e-05,2.076788902282715
84,2.5657025162217906e-06,3.069025478907861e-05,2.0774688720703125
85,2.06029653782025e-06,3.326102887513116e-05,2.0770390033721924
86,1.140744871008792e-06,2.9116603400325403e-05,2.0776963233947754
87,1.2865164080722025e-06,4.813082341570407e-05,2.077972888946533
88,1.4197717064234894e-06,4.1011291614267975e-05,2.0787134170532227
89,2.1736373128078412e-06,4.716712282970548e-05,2.0792176723480225
90,2.0957979813829297e-06,3.177110920660198e-05,2.078606605529785
91,1.686020596025628e-06,2.9188428015913814e-05,2.079761505126953
92,1.8337332221562974e-06,4.927550253341906e-05,2.0783681869506836
93,1.976626435862272e-06,2.341913386771921e-05,2.078470230102539
94,1.447479689886677e-06,3.534582720021717e-05,2.077798843383789
95,2.2977642402111087e-06,4.624023495125584e-05,2.077249526977539
96,1.1158645065734163e-06,2.7697638870449737e-05,2.0771584510803223
