experiment_id,expectile,beta,transaction_cost,best_val_sharpe,best_val_step,test_annual_return,test_annual_volatility,test_sharpe_ratio,test_max_drawdown,test_cumulative_return,test_turnover
iql_exp_tau0.6_beta1.0_tc0,0.6,1.0,0,1.2949254764046467,1000,0.07048602543086352,0.07466865958746494,0.9439840733754974,0.11485177221656419,0.3294020122245265,0.17366186347882404
iql_exp_tau0.6_beta1.0_tc0.001,0.6,1.0,0.001,0.5967193874494267,1000,0.02672833617507567,0.07461740967344876,0.3582050930479628,0.13775727149882908,0.10596298984903263,0.17366186347882404
iql_exp_tau0.6_beta1.0_tc0.005,0.6,1.0,0.005,-2.2066373047734236,1000,-0.1483024208480758,0.07457088711483618,-1.988744221584705,0.47062421986612296,-0.47043747800196045,0.17366186347882404
iql_exp_tau0.6_beta3.0_tc0,0.6,3.0,0,1.3371600257858818,10000,0.08692257798610983,0.09696948066814365,0.8963910849804684,0.10269270558477109,0.41318662711197307,0.9175242282839844
iql_exp_tau0.6_beta3.0_tc0.001,0.6,3.0,0.001,0.604023459723781,1000,0.025879679048089604,0.07503294682406066,0.3449108710707178,0.1399809350817513,0.10187783233695025,0.17478271661725553
iql_exp_tau0.6_beta3.0_tc0.005,0.6,3.0,0.005,-2.2177461380191446,1000,-0.15028394813086685,0.07500439339321126,-2.0036686030243827,0.47505897432016964,-0.4749076814181994,0.17478271661725553
iql_exp_tau0.6_beta10.0_tc0,0.6,10.0,0,1.3307148170585954,1000,0.0706060474884351,0.07472810299979525,0.9448392860799446,0.11503614202822066,0.3300478793425965,0.17200047384887737
iql_exp_tau0.6_beta10.0_tc0.001,0.6,10.0,0.001,0.6424982932521712,1000,0.027267591586310945,0.07467664267647178,0.3651421730948021,0.1381148444309505,0.10845324875520013,0.17200047384887737
iql_exp_tau0.6_beta10.0_tc0.005,0.6,10.0,0.005,-2.1262061672305532,1000,-0.14608623202218576,0.07462687125463868,-1.9575553626483477,0.4656914025126944,-0.4654844280691762,0.17200047384887737
iql_exp_tau0.7_beta1.0_tc0,0.7,1.0,0,1.3051445474878216,1000,0.07091747361930197,0.0747455827337909,0.9487848114299561,0.11512666718568464,0.33178456454505634,0.1717091304469041
