Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
43.5,26.971281,94.0,16.0,43.5,23.6,12.255323,75.0,9.0,23.6,-0.005233821924775839,4012,2.922041416168213,23.6,0
45.11111,27.577948,121.0,26.0,45.111111111111114,34.551723,17.69782,107.0,10.0,34.55172413793103,-0.008211960084736347,8020,5.909512996673584,,1
57.375,21.58088,103.0,29.0,57.375,40.16,18.462784,94.0,11.0,40.16,-0.01278213132172823,12036,8.64098596572876,,2
56.625,29.17592,114.0,22.0,56.625,51.683544,21.823542,136.0,15.0,51.68354430379747,-0.010997768491506577,16119,11.345004081726074,,3
68.5,24.032963,109.0,34.0,68.5,65.77049,33.53217,171.0,17.0,65.77049180327869,-0.005401672329753637,20131,14.03868317604065,,4
72.0,36.891735,148.0,39.0,72.0,66.65574,23.182728,135.0,25.0,66.65573770491804,-0.001427899464033544,24197,16.805557012557983,,5
118.5,46.224995,186.0,70.0,118.5,89.82222,36.21988,173.0,29.0,89.82222222222222,-0.004946213215589523,28239,19.57897162437439,,6
142.33333,56.840908,200.0,65.0,142.33333333333334,85.21277,34.676582,196.0,25.0,85.2127659574468,-0.0017868250142782927,32244,22.29439616203308,,7
154.66667,23.976841,175.0,121.0,154.66666666666666,105.42105,44.507618,200.0,34.0,105.42105263157895,-0.004226351156830788,36250,25.034624099731445,,8
180.66667,14.337209,199.0,164.0,180.66666666666666,155.11539,30.924633,200.0,72.0,155.1153846153846,-0.0030452164355665445,40283,27.81427764892578,,9
185.66667,20.270395,200.0,157.0,185.66666666666666,150.03703,28.52222,200.0,100.0,150.03703703703704,-0.0055384510196745396,44334,30.601745128631592,,10
137.0,35.336475,186.0,104.0,137.0,151.66667,27.728846,200.0,106.0,151.66666666666666,-0.0004541907401289791,48429,33.27203965187073,,11
148.33333,19.567547,176.0,134.0,148.33333333333334,152.25926,38.66628,200.0,22.0,152.25925925925927,-0.01281298603862524,52540,35.97801065444946,,12
200.0,0.0,200.0,200.0,200.0,166.95833,33.628456,200.0,100.0,166.95833333333334,-0.010280978865921497,56547,38.5932240486145,,13
199.0,1.4142135,200.0,197.0,199.0,176.08696,28.993124,200.0,122.0,176.08695652173913,-0.02086509019136429,60597,41.38192272186279,,14
200.0,0.0,200.0,200.0,200.0,194.09525,10.685571,200.0,166.0,194.0952380952381,-0.00463373027741909,64673,44.07270550727844,,15
200.0,0.0,200.0,200.0,200.0,192.4762,14.643765,200.0,157.0,192.47619047619048,-0.0015711851883679628,68715,46.71097540855408,,16
200.0,0.0,200.0,200.0,200.0,197.19048,8.770183,200.0,166.0,197.1904761904762,-0.004311146214604378,72856,49.43046712875366,,17
200.0,0.0,200.0,200.0,200.0,199.5238,2.1295884,200.0,190.0,199.52380952380952,-0.007099433336406946,77046,52.154967308044434,,18
200.0,0.0,200.0,200.0,200.0,199.5238,2.1295884,200.0,190.0,199.52380952380952,-0.027029480785131454,81236,54.872366189956665,,19
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,85236,57.47992992401123,,20
200.0,0.0,200.0,200.0,200.0,198.66667,5.532014,200.0,174.0,198.66666666666666,-0.005948889534920454,89408,60.23542094230652,,21
200.0,0.0,200.0,200.0,200.0,198.95238,3.456894,200.0,185.0,198.95238095238096,0.0015556368744000793,93586,62.95154285430908,,22
200.0,0.0,200.0,200.0,200.0,198.95238,3.2874396,200.0,187.0,198.95238095238096,0.0022547815460711718,97764,65.6624972820282,,23
200.0,0.0,200.0,200.0,200.0,198.19048,7.871704,200.0,163.0,198.1904761904762,-0.008348358795046806,101926,68.45134210586548,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,105926,71.13381814956665,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,109926,73.8354001045227,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,113926,76.44731640815735,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,117926,79.05802869796753,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,121926,81.65979480743408,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,125926,84.26463913917542,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,129926,86.86925673484802,,31
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,133926,89.54248118400574,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,137926,92.15196824073792,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,141926,94.82032299041748,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,145926,97.43887114524841,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,149926,100.1617283821106,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,153926,102.80009984970093,,37
