Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
23.705883,13.800105,58.0,12.0,23.705882352941178,22.732954,10.809416,81.0,9.0,22.732954545454547,19.243228912353516,4001,3.009389877319336,22.732954,0
33.5,17.308475,70.0,15.0,33.5,23.827381,11.697068,99.0,9.0,23.827380952380953,19.88605499267578,8004,6.109506607055664,,1
35.153847,20.357748,84.0,16.0,35.15384615384615,35.18421,21.407722,120.0,11.0,35.18421052631579,31.720897674560547,12015,8.881067276000977,,2
43.7,18.628204,80.0,20.0,43.7,47.4,26.249123,163.0,12.0,47.4,39.819374084472656,16044,11.669727325439453,,3
46.0,18.702347,73.0,20.0,46.0,49.036587,23.100758,121.0,13.0,49.03658536585366,37.7003173828125,20065,14.435192584991455,,4
65.71429,22.467209,114.0,45.0,65.71428571428571,47.82143,25.926252,122.0,9.0,47.82142857142857,37.63462448120117,24082,17.215331315994263,,5
58.75,26.989582,111.0,18.0,58.75,51.371796,25.702494,151.0,19.0,51.37179487179487,38.199188232421875,28089,19.99996280670166,,6
61.285713,20.450039,84.0,22.0,61.285714285714285,58.260868,25.971363,170.0,13.0,58.26086956521739,40.46803665161133,32109,22.763079166412354,,7
82.8,35.706585,147.0,46.0,82.8,70.68421,28.544306,163.0,26.0,70.6842105263158,46.35900115966797,36138,25.51473355293274,,8
81.8,59.650314,200.0,38.0,81.8,76.18868,28.454573,150.0,28.0,76.18867924528301,48.447940826416016,40176,28.25473666191101,,9
80.0,23.358082,123.0,58.0,80.0,87.61702,38.40742,200.0,45.0,87.61702127659575,56.05849075317383,44294,31.04683232307434,,10
110.25,51.81397,181.0,50.0,110.25,87.95744,29.782871,184.0,52.0,87.95744680851064,52.023502349853516,48428,33.86466407775879,,11
120.75,17.85182,148.0,98.0,120.75,95.59524,36.02186,200.0,49.0,95.5952380952381,55.846866607666016,52443,36.65226221084595,,12
136.0,26.993826,165.0,100.0,136.0,109.0,41.07212,200.0,38.0,109.0,63.874969482421875,56476,39.40670418739319,,13
91.2,39.982,171.0,69.0,91.2,111.111115,36.88479,200.0,49.0,111.11111111111111,62.37928771972656,60476,42.22948431968689,,14
137.66667,45.987923,181.0,74.0,137.66666666666666,112.567566,35.643536,200.0,58.0,112.56756756756756,60.446590423583984,64641,45.114293575286865,,15
167.33333,28.288198,200.0,131.0,167.33333333333334,142.06897,40.518135,200.0,49.0,142.06896551724137,76.76606750488281,68761,47.980650424957275,,16
200.0,0.0,200.0,200.0,200.0,167.04167,30.411728,200.0,107.0,167.04166666666666,84.73809051513672,72770,50.69768929481506,,17
160.33333,28.405788,200.0,135.0,160.33333333333334,162.36,31.564384,200.0,115.0,162.36,82.0914077758789,76829,53.49468111991882,,18
150.0,35.364765,200.0,124.0,150.0,162.72,29.69784,200.0,100.0,162.72,82.534912109375,80897,56.28200840950012,,19
133.25,22.58733,163.0,101.0,133.25,139.0,34.363174,200.0,86.0,139.0,71.4993667602539,84928,59.10227727890015,,20
166.33333,26.960876,200.0,134.0,166.33333333333334,139.24138,37.545975,200.0,71.0,139.24137931034483,72.98893737792969,88966,61.91343975067139,,21
169.0,22.375582,200.0,148.0,169.0,145.75,34.22992,200.0,80.0,145.75,74.80585479736328,93047,64.7849600315094,,22
189.0,15.556349,200.0,167.0,189.0,155.15384,32.193756,200.0,79.0,155.15384615384616,79.79196166992188,97081,67.63955926895142,,23
128.0,37.11469,181.0,77.0,128.0,142.34483,35.51034,200.0,70.0,142.3448275862069,74.95374298095703,101209,70.53500533103943,,24
