Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
38.272728,15.937896,73.0,15.0,38.27272727272727,22.244444,10.336893,57.0,9.0,22.244444444444444,-0.00730710756033659,1001,1.1941273212432861,22.244444,0
32.23077,12.141182,51.0,15.0,32.23076923076923,31.575758,14.875301,68.0,11.0,31.575757575757574,-0.00387772754766047,2043,2.4757697582244873,,1
62.857143,18.680994,87.0,28.0,62.857142857142854,46.81818,18.697681,86.0,17.0,46.81818181818182,-0.01389661617577076,3073,3.394803285598755,,2
68.833336,20.128061,94.0,39.0,68.83333333333333,60.764706,30.176985,124.0,16.0,60.76470588235294,-0.010540352202951908,4106,4.302626609802246,,3
57.625,24.238077,93.0,31.0,57.625,57.38889,27.586508,120.0,19.0,57.388888888888886,-0.0008631242089904845,5139,5.236093282699585,,4
105.75,37.06329,169.0,79.0,105.75,56.11111,21.301771,95.0,18.0,56.111111111111114,-0.0026000032667070627,6149,6.132443428039551,,5
81.2,10.870142,95.0,64.0,81.2,77.07143,35.388584,134.0,27.0,77.07142857142857,-0.013494186103343964,7228,7.062364339828491,,6
82.6,24.286623,123.0,56.0,82.6,85.0,30.21313,151.0,28.0,85.0,-0.02567937970161438,8248,7.960716247558594,,7
105.0,30.553232,136.0,59.0,105.0,89.916664,34.13566,190.0,44.0,89.91666666666667,-0.010172693058848381,9327,8.898682355880737,,8
97.6,34.563564,162.0,63.0,97.6,112.0,45.421482,200.0,45.0,112.0,0.013120264746248722,10335,9.869406938552856,,9
116.75,17.078861,146.0,103.0,116.75,87.666664,43.532234,162.0,25.0,87.66666666666667,-3.8498706999234855e-05,11387,10.851397514343262,,10
150.66667,35.036488,200.0,122.0,150.66666666666666,115.888885,39.67771,200.0,69.0,115.88888888888889,-0.007444014307111502,12430,11.807824850082397,,11
141.0,45.39824,200.0,74.0,141.0,166.66667,27.920523,200.0,130.0,166.66666666666666,-0.0026254598051309586,13430,12.805570363998413,,12
172.66667,20.981472,200.0,149.0,172.66666666666666,150.85715,39.62477,200.0,76.0,150.85714285714286,-0.0009658734197728336,14486,13.816511392593384,,13
166.66667,33.99346,200.0,120.0,166.66666666666666,173.5,30.059662,200.0,119.0,173.5,-0.021165888756513596,15527,14.809166431427002,,14
170.33333,21.171259,200.0,152.0,170.33333333333334,188.83333,17.131031,200.0,155.0,188.83333333333334,0.0038166618905961514,16660,15.86665940284729,,15
154.66667,33.767178,200.0,119.0,154.66666666666666,181.33333,21.10029,200.0,143.0,181.33333333333334,-0.011075345799326897,17748,16.87013578414917,,16
144.75,32.873814,200.0,114.0,144.75,180.5,28.365177,200.0,130.0,180.5,0.016178704798221588,18831,17.93324089050293,,17
173.33333,24.944384,200.0,140.0,173.33333333333334,181.16667,25.595682,200.0,145.0,181.16666666666666,-0.017386985942721367,19918,18.953189373016357,,18
200.0,0.0,200.0,200.0,200.0,188.83333,24.969425,200.0,133.0,188.83333333333334,-0.005421743728220463,21051,19.928488969802856,,19
200.0,0.0,200.0,200.0,200.0,183.66667,18.190351,200.0,152.0,183.66666666666666,-0.015674090012907982,22153,20.88768243789673,,20
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0034482392948120832,23153,21.777135610580444,,21
