Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
38.909092,21.702343,75.0,15.0,38.90909090909091,21.708334,11.498113,61.0,8.0,21.708333333333332,19.203365325927734,1042,1.246769666671753,21.708334,0
50.75,22.398382,98.0,16.0,50.75,29.911764,15.299687,70.0,12.0,29.91176470588235,25.268798828125,2059,3.9745519161224365,,1
36.0,13.0958,72.0,23.0,36.0,32.25,10.680005,56.0,15.0,32.25,23.285667419433594,3091,4.926135778427124,,2
40.6,13.169662,63.0,25.0,40.6,41.916668,16.13205,77.0,20.0,41.916666666666664,30.76557731628418,4097,5.8425538539886475,,3
66.42857,31.599537,126.0,35.0,66.42857142857143,39.25926,21.235178,81.0,11.0,39.25925925925926,31.874595642089844,5157,6.833184003829956,,4
42.8,10.1173115,54.0,22.0,42.8,53.473682,22.039125,95.0,17.0,53.473684210526315,37.938838958740234,6173,7.771728277206421,,5
58.285713,22.51802,98.0,24.0,58.285714285714285,53.85,20.003187,106.0,21.0,53.85,36.57614517211914,7250,8.738256692886353,,6
81.28571,55.615295,200.0,31.0,81.28571428571429,59.35294,19.115566,103.0,31.0,59.35294117647059,38.12773513793945,8259,9.793057441711426,,7
61.857143,15.046865,88.0,41.0,61.857142857142854,68.8,22.238705,123.0,32.0,68.8,44.24795913696289,9291,10.771780729293823,,8
58.142857,14.307127,79.0,38.0,58.142857142857146,61.588234,26.05889,134.0,33.0,61.588235294117645,41.10541915893555,10338,11.71899938583374,,9
88.6,17.488283,105.0,62.0,88.6,66.73333,19.857714,98.0,33.0,66.73333333333333,40.33245086669922,11339,12.6815345287323,,10
53.0,28.339214,110.0,22.0,53.0,61.235294,26.75934,148.0,25.0,61.23529411764706,39.512638092041016,12380,13.696893692016602,,11
61.5,21.857492,97.0,35.0,61.5,61.294117,17.894346,92.0,37.0,61.294117647058826,36.18872833251953,13422,14.725708246231079,,12
71.5,29.170477,112.0,39.0,71.5,72.92857,29.805235,132.0,24.0,72.92857142857143,44.99190139770508,14443,15.696396112442017,,13
69.166664,22.289135,101.0,40.0,69.16666666666667,76.28571,25.462658,153.0,38.0,76.28571428571429,43.8505744934082,15511,16.680752277374268,,14
90.0,24.066574,124.0,50.0,90.0,71.26667,28.388885,143.0,26.0,71.26666666666667,43.615997314453125,16580,17.695677518844604,,15
69.0,40.91047,155.0,27.0,69.0,65.25,20.3024,116.0,30.0,65.25,36.82568359375,17624,18.636431217193604,,16
90.0,31.260199,146.0,55.0,90.0,94.36364,41.81838,200.0,57.0,94.36363636363636,54.517696380615234,18662,19.628429412841797,,17
87.6,17.783138,113.0,62.0,87.6,77.53846,13.356735,113.0,59.0,77.53846153846153,38.88151931762695,19670,20.583321809768677,,18
83.4,23.061655,122.0,60.0,83.4,95.36364,23.137033,149.0,72.0,95.36363636363636,49.280052185058594,20719,21.55587363243103,,19
99.6,19.905777,134.0,80.0,99.6,95.818184,35.200253,170.0,62.0,95.81818181818181,49.98813247680664,21773,22.594366312026978,,20
102.0,26.485846,145.0,74.0,102.0,85.25,23.84018,147.0,55.0,85.25,43.53506851196289,22796,23.55366086959839,,21
99.6,26.096743,129.0,66.0,99.6,92.0,27.778343,148.0,60.0,92.0,43.69162368774414,23808,24.544541597366333,,22
117.5,34.73111,165.0,70.0,117.5,109.2,51.0584,200.0,44.0,109.2,60.49162292480469,24900,25.576611757278442,,23
177.0,22.196096,200.0,147.0,177.0,112.0,27.26414,152.0,76.0,112.0,54.35073471069336,25908,26.595642805099487,,24
137.33333,23.89328,162.0,105.0,137.33333333333334,130.25,46.636227,200.0,74.0,130.25,65.54063415527344,26950,27.548482418060303,,25
88.4,16.40244,107.0,64.0,88.4,114.4,25.4527,151.0,61.0,114.4,53.698123931884766,28094,28.587860822677612,,26
108.5,22.343903,136.0,86.0,108.5,110.4,28.175165,162.0,72.0,110.4,52.506038665771484,29198,29.588045358657837,,27
105.8,28.371817,158.0,72.0,105.8,100.27273,30.163467,156.0,71.0,100.27272727272727,48.494659423828125,30301,30.653609037399292,,28
128.75,16.783548,142.0,100.0,128.75,123.333336,25.355255,167.0,91.0,123.33333333333333,58.428138732910156,31411,31.739670753479004,,29
139.66667,12.283685,157.0,130.0,139.66666666666666,124.44444,29.631481,173.0,77.0,124.44444444444444,61.829490661621094,32531,32.73724341392517,,30
156.66667,22.866762,185.0,129.0,156.66666666666666,141.125,9.662266,157.0,130.0,141.125,64.41239166259766,33660,33.77550673484802,,31
143.0,41.785164,200.0,101.0,143.0,143.28572,28.242392,195.0,107.0,143.28571428571428,70.23616790771484,34663,34.70361518859863,,32
163.0,26.1916,200.0,143.0,163.0,148.14285,34.1987,200.0,113.0,148.14285714285714,77.25382995605469,35700,35.69392156600952,,33
200.0,0.0,200.0,200.0,200.0,186.33333,30.559595,200.0,118.0,186.33333333333334,88.27474975585938,36818,36.71005868911743,,34
172.66667,38.65517,200.0,118.0,172.66666666666666,199.33333,1.4907119,200.0,196.0,199.33333333333334,92.19828033447266,38014,37.85187649726868,,35
150.33333,35.64953,200.0,118.0,150.33333333333334,195.5,10.062305,200.0,173.0,195.5,92.10611724853516,39187,38.92986989021301,,36
145.0,13.638182,163.0,130.0,145.0,164.85715,32.629646,200.0,118.0,164.85714285714286,76.82196807861328,40341,39.958712100982666,,37
142.66667,44.342102,200.0,92.0,142.66666666666666,145.85715,36.084934,200.0,101.0,145.85714285714286,70.74195861816406,41362,40.89829444885254,,38
134.0,21.22891,160.0,108.0,134.0,143.85715,22.918667,177.0,104.0,143.85714285714286,66.71172332763672,42369,41.814709424972534,,39
139.5,24.70324,174.0,105.0,139.5,127.666664,29.970356,193.0,98.0,127.66666666666667,61.10511779785156,43518,42.9208128452301,,40
139.66667,26.537184,172.0,107.0,139.66666666666666,121.55556,18.93328,162.0,97.0,121.55555555555556,55.47383117675781,44612,43.900187730789185,,41
124.25,18.713297,153.0,104.0,124.25,133.25,24.149275,180.0,97.0,133.25,60.79580307006836,45678,44.92153787612915,,42
162.33333,36.463074,200.0,113.0,162.33333333333334,141.75,17.541023,167.0,118.0,141.75,64.34077453613281,46812,45.98343086242676,,43
129.75,31.987303,166.0,79.0,129.75,180.66667,24.655403,200.0,143.0,180.66666666666666,80.2451171875,47896,47.034432888031006,,44
155.66667,33.22984,200.0,120.0,155.66666666666666,152.42857,24.93911,187.0,118.0,152.42857142857142,68.45990753173828,48963,48.05568766593933,,45
152.66667,33.954216,200.0,122.0,152.66666666666666,155.28572,35.75997,200.0,95.0,155.28571428571428,69.50270080566406,50050,49.09172511100769,,46
143.25,40.585556,199.0,103.0,143.25,158.57143,42.206486,200.0,91.0,158.57142857142858,73.03876495361328,51160,50.2186279296875,,47
118.25,17.767597,149.0,107.0,118.25,124.888885,28.772844,180.0,90.0,124.88888888888889,56.74540710449219,52284,51.28546476364136,,48
136.33333,30.684778,178.0,105.0,136.33333333333334,158.71428,23.444244,200.0,128.0,158.71428571428572,75.146728515625,53395,52.304248094558716,,49
138.0,29.223278,178.0,109.0,138.0,151.71428,47.360966,200.0,89.0,151.71428571428572,70.74446868896484,54457,53.26200246810913,,50
137.66667,9.741093,151.0,128.0,137.66666666666666,129.25,42.29879,200.0,67.0,129.25,62.847232818603516,55491,54.230794191360474,,51
102.25,20.253086,126.0,70.0,102.25,124.0,24.33105,177.0,94.0,124.0,57.482177734375,56607,55.24734354019165,,52
100.5,10.111875,116.0,88.0,100.5,108.1,13.224598,132.0,91.0,108.1,48.5832405090332,57688,56.209588289260864,,53
102.25,7.01338,114.0,96.0,102.25,111.55556,9.190709,127.0,99.0,111.55555555555556,50.660789489746094,58692,57.12409687042236,,54
107.75,9.601432,122.0,98.0,107.75,100.9,21.828651,123.0,44.0,100.9,48.133548736572266,59701,58.0728919506073,,55
81.8,28.603497,119.0,39.0,81.8,94.545456,22.713087,119.0,47.0,94.54545454545455,43.932987213134766,60741,59.027764081954956,,56
62.285713,26.526075,104.0,35.0,62.285714285714285,90.5,23.261198,112.0,46.0,90.5,42.143653869628906,61827,60.04147553443909,,57
58.125,27.319578,110.0,31.0,58.125,68.8,30.971384,118.0,29.0,68.8,37.4814453125,62859,61.034934997558594,,58
63.285713,23.602144,108.0,41.0,63.285714285714285,68.13333,30.756823,112.0,24.0,68.13333333333334,36.233924865722656,63881,61.99323534965515,,59
75.833336,22.124018,94.0,36.0,75.83333333333333,66.666664,31.319147,113.0,27.0,66.66666666666667,37.121978759765625,64881,62.957968950271606,,60
70.5,25.038305,98.0,37.0,70.5,78.0,26.020702,109.0,36.0,78.0,38.00452423095703,65895,63.8995156288147,,61
96.4,5.425864,103.0,88.0,96.4,73.42857,29.524117,107.0,25.0,73.42857142857143,36.21578598022461,66923,64.88170170783997,,62
80.6,31.834574,114.0,40.0,80.6,72.78571,23.009869,99.0,34.0,72.78571428571429,35.48426818847656,67942,65.81181764602661,,63
81.5,21.515497,99.0,35.0,81.5,70.73333,25.624123,108.0,31.0,70.73333333333333,34.073883056640625,69003,66.82922530174255,,64
94.4,5.6426945,101.0,85.0,94.4,80.0,23.346882,109.0,31.0,80.0,38.5213737487793,70043,67.8424346446991,,65
80.666664,19.635569,100.0,41.0,80.66666666666667,85.5,18.35529,108.0,30.0,85.5,38.5478630065918,71069,68.83599543571472,,66
94.0,7.5630684,102.0,83.0,94.0,78.92308,23.940508,102.0,34.0,78.92307692307692,35.619747161865234,72095,69.81294751167297,,67
86.2,16.154257,104.0,56.0,86.2,86.083336,20.018566,106.0,43.0,86.08333333333333,39.0562629699707,73128,70.76946020126343,,68
87.6,4.586938,93.0,81.0,87.6,92.0,11.801387,102.0,58.0,92.0,40.22905731201172,74140,71.70887732505798,,69
86.4,5.5353413,97.0,82.0,86.4,91.90909,14.247518,115.0,58.0,91.9090909090909,41.665714263916016,75151,72.66621422767639,,70
98.2,4.874423,103.0,89.0,98.2,91.0,8.852324,108.0,80.0,91.0,39.38740539550781,76152,73.63782739639282,,71
99.6,8.52291,107.0,85.0,99.6,97.72727,8.367588,111.0,85.0,97.72727272727273,41.55658721923828,77227,74.65972208976746,,72
87.8,6.013318,96.0,82.0,87.8,99.72727,8.180809,113.0,88.0,99.72727272727273,43.44407272338867,78324,75.66075849533081,,73
