Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-726.0778,37.887733,-694.81995,-779.3953,1000.0,-643.0732,61.613895,-556.47437,-727.5199,1000.0,-107.52534484863281,176.95327758789062,5000,4.512290000915527,-643.0732,0
-714.3378,31.83202,-683.85547,-758.2676,1000.0,-762.4373,60.06283,-695.62994,-866.34875,1000.0,-121.35174560546875,234.58694458007812,10000,9.189019918441772,,1
-817.6145,57.79218,-764.3954,-897.94275,1000.0,-790.8467,55.665573,-742.6537,-898.6031,1000.0,-116.87313079833984,193.58624267578125,15000,13.5162832736969,,2
-768.21515,31.36922,-730.52576,-807.32495,1000.0,-898.3252,83.2579,-822.1626,-1038.0266,1000.0,-123.98719787597656,223.3297882080078,20000,17.90419030189514,,3
-961.17456,83.58025,-856.28125,-1060.8074,1000.0,-833.35205,22.212914,-802.82104,-861.1434,1000.0,-84.10083770751953,105.50820922851562,25000,22.284358978271484,,4
-941.3633,16.288145,-918.5469,-955.5127,1000.0,-979.80334,62.18338,-875.2313,-1046.314,1000.0,-80.91059112548828,116.82682037353516,30000,26.65826177597046,,5
-941.10785,77.49982,-844.5426,-1034.287,1000.0,-910.417,104.112335,-745.1637,-998.05963,1000.0,-43.66551208496094,60.47886276245117,35000,30.988245725631714,,6
-920.562,84.38347,-819.19934,-1025.7875,1000.0,-1005.5881,107.362404,-885.8623,-1192.5286,1000.0,-36.893226623535156,50.63107681274414,40000,35.35172414779663,,7
-1009.3796,47.544437,-963.69006,-1074.9451,1000.0,-921.33466,122.8841,-818.4594,-1156.5928,1000.0,-7.236706733703613,44.7054557800293,45000,39.718631744384766,,8
-929.6453,80.29546,-863.0237,-1042.5941,1000.0,-994.92755,115.13434,-869.4596,-1162.0563,1000.0,-7.800813674926758,56.71125030517578,50000,44.0986123085022,,9
-839.6362,57.39627,-790.833,-920.20886,1000.0,-901.59033,88.95119,-772.7185,-1004.21643,1000.0,-7.136865615844727,145.7823944091797,55000,48.49512457847595,,10
-758.07465,63.464478,-669.52423,-815.0277,1000.0,-862.7497,41.15116,-815.3154,-936.26385,1000.0,29.80228614807129,40.6135139465332,60000,52.95448112487793,,11
-813.29486,25.166218,-792.3276,-848.684,1000.0,-800.364,63.617245,-726.6643,-887.1455,1000.0,32.26264953613281,58.873653411865234,65000,57.348013162612915,,12
-754.41034,27.185364,-731.1102,-792.54425,1000.0,-810.98553,81.43382,-704.7997,-953.5978,1000.0,30.86446189880371,42.11882019042969,70000,61.83758759498596,,13
-703.8737,18.18373,-680.8067,-725.25134,1000.0,-812.33374,74.91642,-701.44165,-931.307,1000.0,23.377931594848633,35.42643356323242,75000,66.2251968383789,,14
-669.0777,51.223816,-601.6444,-725.7156,1000.0,-812.8963,92.42231,-718.52277,-943.70667,1000.0,12.543830871582031,47.99547576904297,80000,70.63678240776062,,15
-629.4765,33.93301,-595.87585,-675.9487,1000.0,-697.7267,63.53196,-628.1564,-798.12726,1000.0,23.605628967285156,31.010032653808594,85000,75.02728295326233,,16
-663.9783,13.78003,-644.59106,-675.3855,1000.0,-664.98883,34.09476,-613.72186,-716.44464,1000.0,21.574352264404297,21.4638614654541,90000,79.43367385864258,,17
-643.6682,26.433758,-613.4755,-677.85425,1000.0,-649.82837,42.50553,-587.39215,-719.6521,1000.0,12.701117515563965,20.900371551513672,95000,83.73647093772888,,18
-605.24634,69.73763,-523.3899,-693.81537,1000.0,-589.3279,45.757587,-532.1306,-662.9611,1000.0,11.981139183044434,18.414979934692383,100000,88.03572297096252,,19
-582.38403,40.487698,-530.99927,-629.953,1000.0,-634.3908,41.232414,-597.0858,-713.8598,1000.0,-1.9129819869995117,27.994625091552734,105000,92.40685629844666,,20
-575.68286,36.561016,-525.95337,-612.8071,1000.0,-564.1005,49.87523,-500.03333,-621.08716,1000.0,3.969705820083618,23.967792510986328,110000,96.78961420059204,,21
-548.7957,31.933079,-507.03003,-584.5548,1000.0,-539.50165,26.921965,-509.7788,-584.5438,1000.0,4.405341625213623,14.673907279968262,115000,101.07801246643066,,22
-544.7029,78.029045,-467.64523,-651.63776,1000.0,-542.0854,30.456501,-494.00336,-575.7716,1000.0,-1.2556167840957642,19.4334774017334,120000,105.3578405380249,,23
-489.0875,12.329132,-474.4587,-504.61835,1000.0,-509.80127,10.5775385,-496.75626,-527.2539,1000.0,2.201723098754883,14.132802963256836,125000,109.64435601234436,,24
-529.7368,45.834343,-464.95416,-564.02234,1000.0,-549.504,109.531784,-440.75446,-760.77454,1000.0,-7.73872184753418,41.3662109375,130000,113.92680883407593,,25
-477.60513,28.83525,-438.23062,-506.48166,1000.0,-563.16077,51.429726,-485.1117,-619.2648,1000.0,-10.72641658782959,26.60760498046875,135000,118.20399928092957,,26
-571.8068,18.566961,-551.34326,-596.2875,1000.0,-532.9317,35.601173,-469.28107,-572.1388,1000.0,-1.5235812664031982,13.321365356445312,140000,122.53713369369507,,27
-482.91257,17.917404,-458.35318,-500.59387,1000.0,-497.06787,37.42499,-438.28732,-547.2387,1000.0,3.4013240337371826,21.52967071533203,145000,126.96525931358337,,28
-475.60904,79.413795,-404.31238,-586.4067,1000.0,-505.3719,29.948921,-482.13782,-563.08344,1000.0,2.8979332447052,16.540050506591797,150000,131.384357213974,,29
-469.86728,38.130726,-435.93576,-523.1293,1000.0,-455.28802,23.206047,-429.8175,-496.9713,1000.0,-6.597156047821045,35.869564056396484,155000,135.7517170906067,,30
-464.10477,79.14034,-392.39136,-574.3771,1000.0,-458.10342,42.7886,-383.93463,-497.51007,1000.0,8.751702308654785,15.808332443237305,160000,140.17833399772644,,31
-440.31265,23.038233,-410.5894,-466.73004,1000.0,-467.24103,83.52221,-372.57654,-613.3071,1000.0,1.47353196144104,26.928003311157227,165000,144.6044783592224,,32
-372.0293,24.786663,-337.22705,-393.05957,1000.0,-442.6871,18.12945,-425.22034,-475.79913,1000.0,2.550933837890625,15.770463943481445,170000,149.0593457221985,,33
-428.30923,36.20526,-383.5729,-472.24652,1000.0,-404.20645,20.632305,-363.98682,-419.45734,1000.0,5.814004421234131,12.422907829284668,175000,153.43084335327148,,34
-415.72583,12.521775,-403.45087,-432.9171,1000.0,-408.06726,68.19616,-322.37918,-499.2516,1000.0,0.07470041513442993,25.414186477661133,180000,158.00507950782776,,35
