Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-750.2684,12.911484,-733.06537,-764.171,1000.0,-683.97266,26.262442,-646.6643,-715.5438,1000.0,-114.42698669433594,204.49302673339844,5000,4.696507215499878,-683.97266,0
-853.60376,54.15979,-782.5215,-913.8513,1000.0,-675.7003,77.37665,-615.54486,-828.5402,1000.0,-108.15985107421875,184.29684448242188,10000,9.6077721118927,,1
-862.66144,50.900944,-823.9614,-934.57654,1000.0,-791.84534,49.56713,-727.5674,-878.49915,1000.0,-114.2713623046875,170.18609619140625,15000,13.97545337677002,,2
-934.02997,40.247433,-903.1767,-990.8793,1000.0,-862.66565,82.9185,-766.14343,-994.9098,1000.0,-107.72904968261719,144.78964233398438,20000,18.54832410812378,,3
-1032.9117,121.540535,-861.0597,-1121.7202,1000.0,-975.9313,132.17303,-831.3823,-1223.2935,1000.0,-113.94009399414062,193.97828674316406,25000,23.081194162368774,,4
-925.9516,92.24092,-817.5748,-1043.0164,1000.0,-1055.9967,82.79518,-948.22705,-1170.6857,1000.0,-107.29734802246094,166.36927795410156,30000,27.60417366027832,,5
-1131.6621,49.06114,-1079.7919,-1197.5046,1000.0,-1037.2118,107.29533,-891.29407,-1216.6843,1000.0,-79.8249740600586,107.4874496459961,35000,32.096513509750366,,6
-1030.6055,9.356465,-1020.34656,-1042.9724,1000.0,-1050.4694,134.55984,-882.64355,-1267.0095,1000.0,-60.86128616333008,82.50979614257812,40000,36.523683309555054,,7
-990.8493,18.782904,-964.4601,-1006.6714,1000.0,-981.8037,158.40663,-771.4349,-1223.9574,1000.0,-29.928211212158203,73.45631408691406,45000,41.04248237609863,,8
-855.764,14.485931,-841.61914,-875.67017,1000.0,-903.2594,56.690205,-835.6553,-989.61426,1000.0,-1.022700309753418,38.15816116333008,50000,45.59963083267212,,9
-854.7884,67.691124,-787.2648,-947.31714,1000.0,-983.2267,78.62773,-839.7929,-1064.8833,1000.0,-4.7206950187683105,40.850467681884766,55000,50.16443991661072,,10
-945.677,43.901733,-902.6971,-1005.9689,1000.0,-879.17694,93.67242,-755.792,-1046.2144,1000.0,15.242401123046875,47.853607177734375,60000,54.6709041595459,,11
-775.6328,18.934195,-755.131,-800.80054,1000.0,-886.49646,61.135586,-798.73486,-985.7318,1000.0,14.141254425048828,49.85334777832031,65000,59.2291579246521,,12
-726.38574,18.14541,-701.2015,-743.2439,1000.0,-912.8517,67.04378,-836.08496,-999.7471,1000.0,4.14363431930542,45.544612884521484,70000,63.81474757194519,,13
-887.6184,98.81661,-789.6811,-1022.91956,1000.0,-817.8953,62.476837,-738.3023,-905.0068,1000.0,14.173742294311523,47.13374328613281,75000,68.3942940235138,,14
-736.0534,62.39985,-659.7272,-812.5746,1000.0,-805.6371,90.41586,-673.1653,-953.56445,1000.0,1.8783706426620483,55.87263488769531,80000,72.94454789161682,,15
-754.19,74.18177,-688.6914,-857.9101,1000.0,-703.01935,51.161224,-651.53015,-795.07324,1000.0,27.139570236206055,46.545841217041016,85000,77.45567870140076,,16
-652.02563,11.62109,-640.19946,-667.8221,1000.0,-767.9659,106.8805,-588.1885,-878.38885,1000.0,9.137404441833496,57.6949348449707,90000,81.96123933792114,,17
-544.1684,100.3787,-408.21606,-647.5218,1000.0,-656.20416,66.61155,-565.36884,-765.5487,1000.0,20.40569305419922,40.265201568603516,95000,86.47313642501831,,18
-555.3317,24.563318,-533.8706,-589.71814,1000.0,-639.19635,83.88937,-511.19125,-753.3214,1000.0,13.005643844604492,42.500091552734375,100000,91.02357172966003,,19
-602.6174,18.875536,-583.0157,-628.11084,1000.0,-545.2393,67.516426,-434.30286,-640.7561,1000.0,16.52984619140625,38.943668365478516,105000,95.56922435760498,,20
-574.5011,13.451624,-557.223,-590.0336,1000.0,-604.1286,100.1493,-439.5493,-711.43225,1000.0,5.291287899017334,39.51926040649414,110000,100.11751389503479,,21
-440.3933,26.670607,-420.18524,-478.07828,1000.0,-553.8433,36.152077,-524.65814,-622.7361,1000.0,-7.083392143249512,69.79376983642578,115000,104.69790983200073,,22
-545.279,55.51988,-467.02325,-589.94934,1000.0,-545.27893,85.23835,-427.11572,-635.57227,1000.0,6.836780071258545,22.76395034790039,120000,109.2417426109314,,23
-539.514,37.215378,-509.74103,-591.9857,1000.0,-532.6378,55.973328,-459.06995,-608.359,1000.0,2.7993733882904053,23.967082977294922,125000,113.69387125968933,,24
