Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-686.8994,20.678446,-658.37805,-706.7544,1000.0,-670.7375,40.317657,-624.75165,-735.464,1000.0,-0.07349804788827896,184.41200256347656,5000,4.537726163864136,-670.7375,0
-728.7842,59.344467,-675.5054,-811.5812,1000.0,-700.8334,53.807632,-643.798,-801.9492,1000.0,-0.06249930337071419,129.01502990722656,10000,17.38456153869629,,1
-744.0578,46.948006,-707.03955,-810.29956,1000.0,-701.5793,123.58765,-455.4497,-778.89453,1000.0,-0.0929412841796875,73.70355987548828,15000,21.706119298934937,,2
-684.8288,89.406944,-583.08167,-800.7104,1000.0,-715.0835,97.97577,-586.1376,-863.3124,1000.0,-0.09870453923940659,38.05506134033203,20000,26.022242784500122,,3
-676.31177,50.145905,-614.7182,-737.5485,1000.0,-695.466,59.774063,-629.8133,-790.8821,1000.0,-0.08345871418714523,34.26386642456055,25000,30.36028790473938,,4
-675.1535,21.698503,-646.3578,-698.73517,1000.0,-693.4818,32.59109,-629.4002,-720.23,1000.0,-0.1212041974067688,36.40623092651367,30000,34.6946759223938,,5
-589.34314,94.99593,-455.00085,-657.19183,1000.0,-663.23193,62.871243,-543.8375,-725.5634,1000.0,-0.0786825641989708,34.06324005126953,35000,39.02301049232483,,6
-612.6273,28.738342,-577.8428,-648.223,1000.0,-628.9396,46.147915,-556.468,-682.2616,1000.0,-0.1318397969007492,28.265478134155273,40000,43.3361611366272,,7
-595.4631,111.88148,-451.4897,-724.2824,1000.0,-599.8622,76.604256,-552.6371,-752.48694,1000.0,-0.05263834074139595,36.63984680175781,45000,47.649436950683594,,8
-517.83594,23.439835,-485.16815,-539.0432,1000.0,-661.46094,72.21836,-583.0829,-787.3556,1000.0,-0.14963427186012268,47.904685974121094,50000,52.00123405456543,,9
-573.03046,105.42682,-460.90015,-714.1974,1000.0,-606.31305,88.9128,-499.80283,-722.89417,1000.0,-0.11912885308265686,33.394325256347656,55000,56.3518271446228,,10
-488.54025,32.763206,-445.4369,-524.81323,1000.0,-553.65906,56.973507,-453.2555,-604.6693,1000.0,-0.12221429497003555,30.093584060668945,60000,68.3907082080841,,11
-488.69412,22.732,-458.16498,-512.6819,1000.0,-551.37195,39.2622,-506.1693,-609.4136,1000.0,-0.14730720221996307,18.314956665039062,65000,72.74201083183289,,12
-536.7487,5.7929435,-531.2238,-544.7498,1000.0,-514.255,46.61807,-450.59943,-583.40063,1000.0,-0.04459588602185249,35.814266204833984,70000,77.18739748001099,,13
-542.2537,20.654104,-526.9101,-571.4503,1000.0,-485.6848,86.7683,-374.9335,-570.12036,1000.0,-0.0813947394490242,81.56465148925781,75000,81.53339743614197,,14
-481.989,42.67037,-435.786,-538.7075,1000.0,-496.03384,66.62735,-370.35602,-560.8728,1000.0,-0.13645228743553162,26.854265213012695,80000,85.92497777938843,,15
-535.9022,33.515656,-507.784,-583.00635,1000.0,-548.7451,61.16325,-479.29974,-647.25275,1000.0,-0.09302213788032532,30.51401710510254,85000,90.24511337280273,,16
-514.2395,23.651978,-487.6272,-545.09454,1000.0,-549.7523,47.39556,-509.76285,-620.19,1000.0,-0.11660613864660263,15.41541862487793,90000,94.65267300605774,,17
-500.91812,34.69042,-454.91006,-538.6728,1000.0,-511.7956,62.994827,-427.11365,-591.72656,1000.0,-0.10026688128709793,20.889528274536133,95000,99.00953030586243,,18
-502.8325,26.740753,-467.50443,-532.1819,1000.0,-496.53998,84.979805,-410.6612,-618.9151,1000.0,-0.11304707825183868,40.85209655761719,100000,103.3649160861969,,19
-437.7621,3.6011136,-434.0483,-442.6369,1000.0,-470.87518,25.70268,-428.22223,-502.94604,1000.0,-0.09520549327135086,27.237390518188477,105000,107.71583127975464,,20
-453.22025,38.79502,-401.23532,-494.40338,1000.0,-437.32635,49.60164,-384.03156,-496.41266,1000.0,-0.0627628043293953,16.00836181640625,110000,119.70657253265381,,21
-424.35287,64.71951,-332.88733,-472.99542,1000.0,-485.6469,69.06192,-385.64236,-570.0867,1000.0,-0.08818834275007248,28.688005447387695,115000,124.02115058898926,,22
-416.77597,32.655052,-373.59653,-452.5495,1000.0,-427.51044,17.056578,-408.84567,-455.79224,1000.0,-0.10122711956501007,12.707854270935059,120000,128.3376066684723,,23
-370.4164,66.87922,-312.32132,-464.10114,1000.0,-403.50085,33.4678,-368.30157,-466.54227,1000.0,-0.10543383657932281,19.244091033935547,125000,132.65963530540466,,24
-448.0238,46.632214,-382.94516,-489.8055,1000.0,-385.47186,46.664513,-326.82492,-455.49103,1000.0,-0.09748668968677521,17.483491897583008,130000,137.00687646865845,,25
-381.12125,18.123339,-358.83078,-403.2225,1000.0,-404.92218,31.984539,-367.00684,-448.10294,1000.0,-0.1198565661907196,19.43413734436035,135000,141.5640251636505,,26
-337.2866,21.375458,-311.72137,-364.0399,1000.0,-391.3197,40.20693,-334.44843,-443.97275,1000.0,-0.08415045589208603,16.26511001586914,140000,146.04352831840515,,27
-343.02945,54.286415,-266.3697,-384.96243,1000.0,-361.38193,24.175488,-335.1396,-399.73987,1000.0,-0.15409144759178162,13.385534286499023,145000,150.56733012199402,,28
-325.02197,23.0535,-306.80298,-357.54614,1000.0,-382.50763,41.597576,-347.6876,-461.81042,1000.0,-0.10724345594644547,21.020343780517578,150000,155.09701800346375,,29
-337.08203,2.3206363,-335.2347,-340.35486,1000.0,-362.06412,62.281536,-293.1635,-444.24347,1000.0,-0.0470719151198864,26.914512634277344,155000,159.5370659828186,,30
