Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-758.72705,101.40394,-670.234,-900.70215,1000.0,-656.01575,86.06074,-538.48505,-801.24176,1000.0,-109.9085464477539,167.84254455566406,5000,4.537973165512085,-656.01575,0
-721.9422,70.84024,-641.77893,-814.0613,1000.0,-694.763,40.408783,-636.2539,-736.8943,1000.0,-102.16224670410156,128.64749145507812,10000,9.290824890136719,,1
-733.46796,15.620877,-711.57324,-746.96155,1000.0,-788.5493,58.501583,-705.2025,-869.60803,1000.0,-89.17843627929688,84.04640197753906,15000,13.570011615753174,,2
-824.34357,103.82535,-703.03766,-956.64294,1000.0,-844.0946,98.36341,-724.49646,-968.2588,1000.0,-60.211334228515625,73.5193862915039,20000,17.90054750442505,,3
-799.2478,38.01585,-755.2781,-848.02454,1000.0,-848.8374,96.25177,-749.83936,-1020.71185,1000.0,-19.73821258544922,45.707393646240234,25000,22.309385538101196,,4
-911.60736,83.14679,-839.4605,-1028.0935,1000.0,-809.9163,70.75558,-708.92224,-912.06537,1000.0,7.572793006896973,52.880287170410156,30000,26.71426558494568,,5
-835.00616,123.0977,-716.10376,-1004.57654,1000.0,-722.59924,101.08724,-601.156,-835.1074,1000.0,27.67664909362793,64.3696517944336,35000,31.118964195251465,,6
-734.59863,40.373302,-677.506,-763.7153,1000.0,-832.11145,35.94316,-778.98376,-881.54736,1000.0,-15.726349830627441,84.37358093261719,40000,35.41498637199402,,7
-734.782,17.097267,-710.96094,-750.28314,1000.0,-704.5444,87.35968,-580.1399,-804.6309,1000.0,9.025346755981445,39.84672546386719,45000,39.68321681022644,,8
-694.6304,69.54006,-601.0773,-767.667,1000.0,-661.2389,93.41464,-481.42175,-738.009,1000.0,12.328242301940918,34.05232238769531,50000,43.966529846191406,,9
-653.4202,57.15059,-587.56104,-726.92334,1000.0,-706.3484,35.605988,-662.1948,-748.48016,1000.0,2.523320436477661,26.682205200195312,55000,48.23650145530701,,10
-686.1301,67.29028,-591.31067,-740.53455,1000.0,-683.9243,26.502218,-643.2024,-712.6409,1000.0,-4.808319568634033,27.14228057861328,60000,52.51929569244385,,11
-643.42584,35.42224,-604.6185,-690.263,1000.0,-636.9851,84.83223,-498.9479,-717.6918,1000.0,3.797316312789917,34.81842803955078,65000,56.81872773170471,,12
-654.669,20.180996,-626.1349,-669.4487,1000.0,-600.97363,109.62902,-466.59097,-768.53326,1000.0,7.947498321533203,28.41971206665039,70000,61.087085485458374,,13
