Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-720.0605,47.05272,-662.9174,-778.16064,1000.0,-698.60596,55.797543,-638.01404,-777.35266,1000.0,-117.23979949951172,5000,4.618160724639893,-698.60596,0
-748.48145,29.94245,-710.37256,-783.5237,1000.0,-702.97906,46.006283,-634.3766,-762.5267,1000.0,-117.01555633544922,10000,9.410783290863037,,1
-803.4189,33.43727,-760.3498,-841.861,1000.0,-806.8631,52.526485,-719.7527,-859.3247,1000.0,-136.16650390625,15000,13.811347484588623,,2
-853.22705,112.508644,-712.31537,-987.67676,1000.0,-829.84033,41.18255,-792.63617,-893.9185,1000.0,-139.0581512451172,20000,18.108299016952515,,3
-887.8677,79.01889,-776.7601,-953.7799,1000.0,-884.5137,38.094074,-836.303,-941.0528,1000.0,-148.6503143310547,25000,22.396930932998657,,4
-1032.7272,50.52146,-961.5279,-1073.4868,1000.0,-916.44403,19.560211,-881.7428,-934.4826,1000.0,-153.31629943847656,30000,26.68359637260437,,5
-1143.7482,92.749756,-1022.50665,-1247.718,1000.0,-989.43243,72.658066,-880.6332,-1088.9985,1000.0,-165.8045196533203,35000,31.02767324447632,,6
-1079.6409,63.72867,-1021.1844,-1168.2758,1000.0,-1125.3463,85.51356,-993.9068,-1258.8838,1000.0,-187.98599243164062,40000,35.32115912437439,,7
-1157.6627,171.77327,-921.9033,-1326.2595,1000.0,-1125.7843,74.87202,-1025.3597,-1254.5823,1000.0,-187.54562377929688,45000,39.64698910713196,,8
-1093.8315,89.80659,-1011.5869,-1218.7673,1000.0,-1096.1455,124.0409,-892.6217,-1230.324,1000.0,-180.45697021484375,50000,43.985416889190674,,9
-1072.6381,98.513916,-1000.8812,-1211.9365,1000.0,-1104.9658,104.44104,-906.8838,-1200.1969,1000.0,-182.66587829589844,55000,48.41020965576172,,10
-985.62726,17.159729,-964.5348,-1006.5665,1000.0,-1129.982,61.602547,-1069.1157,-1247.8605,1000.0,-185.09115600585938,60000,52.83369183540344,,11
-1019.13885,80.168625,-905.7965,-1078.1871,1000.0,-988.3335,32.74719,-939.1485,-1030.874,1000.0,-161.57162475585938,65000,57.25069737434387,,12
-964.8384,37.641575,-913.4191,-1002.4802,1000.0,-943.2959,38.868095,-893.226,-997.9999,1000.0,-154.6510009765625,70000,61.65016508102417,,13
-868.79767,20.446665,-848.69556,-896.8495,1000.0,-830.8434,38.09959,-796.2122,-896.16,1000.0,-135.59970092773438,75000,66.03257584571838,,14
-746.7295,32.04978,-701.4394,-770.9202,1000.0,-840.264,31.009613,-794.9459,-878.68787,1000.0,-136.36404418945312,80000,70.35723090171814,,15
-755.2407,42.165966,-702.67236,-805.9048,1000.0,-775.97876,57.311253,-676.9581,-849.8544,1000.0,-125.03484344482422,85000,74.75818514823914,,16
-827.0401,59.84921,-761.31396,-906.08704,1000.0,-899.17285,99.60207,-744.2991,-1054.4963,1000.0,-145.6085662841797,90000,79.08514547348022,,17
-826.4383,74.37748,-756.0782,-929.3318,1000.0,-806.0462,141.73544,-663.20276,-1076.9595,1000.0,-130.53204345703125,95000,83.41049861907959,,18
-739.0788,17.122862,-715.0848,-753.9052,1000.0,-770.84546,62.83647,-700.7449,-882.58813,1000.0,-123.85882568359375,100000,87.8025369644165,,19
-795.50116,54.089767,-754.9502,-871.94836,1000.0,-823.0907,87.63511,-670.72156,-937.0333,1000.0,-131.03269958496094,105000,92.09942984580994,,20
-818.81396,65.61904,-729.6432,-885.6528,1000.0,-792.7709,29.853434,-770.4684,-850.661,1000.0,-125.40382385253906,110000,96.38841509819031,,21
-883.3728,27.419525,-844.6472,-904.46545,1000.0,-777.9098,23.147274,-752.723,-805.9627,1000.0,-123.57138061523438,115000,100.81742477416992,,22
-921.6469,124.11636,-791.1246,-1088.5459,1000.0,-777.18005,41.012875,-718.6459,-833.9443,1000.0,-122.85462188720703,120000,105.24082803726196,,23
-865.15015,27.660238,-832.30493,-899.97186,1000.0,-863.59686,53.43153,-808.46515,-963.1196,1000.0,-136.54867553710938,125000,109.6278886795044,,24
-783.70184,55.05905,-706.85547,-832.9983,1000.0,-837.3219,103.0266,-695.39,-977.37494,1000.0,-132.03048706054688,130000,113.91527271270752,,25
-839.9047,53.31207,-786.98267,-912.87067,1000.0,-865.84534,69.17893,-746.0113,-950.05896,1000.0,-136.96273803710938,135000,118.20124816894531,,26
-771.083,49.4781,-734.3922,-841.02747,1000.0,-874.6405,31.328634,-831.9685,-910.0737,1000.0,-136.12994384765625,140000,122.48346734046936,,27
-675.2756,85.112274,-608.22034,-795.3702,1000.0,-699.97156,39.636585,-624.3971,-730.7051,1000.0,-109.17379760742188,145000,126.76707720756531,,28
-672.01013,86.83244,-550.3164,-747.0973,1000.0,-721.0414,103.06384,-535.5647,-816.042,1000.0,-111.97329711914062,150000,131.14738488197327,,29
-651.2411,84.87218,-532.8618,-727.5973,1000.0,-697.51086,91.672806,-561.22845,-815.7948,1000.0,-108.69148254394531,155000,135.52550339698792,,30
-641.71185,80.61403,-543.98785,-741.42114,1000.0,-663.9165,117.99219,-486.63455,-783.38354,1000.0,-101.52040100097656,160000,139.81136393547058,,31
-631.8693,75.6214,-541.5338,-726.6104,1000.0,-580.468,69.84738,-478.73105,-657.13586,1000.0,-89.06285858154297,165000,144.09463381767273,,32
-497.19284,65.235,-435.4233,-587.42236,1000.0,-614.432,62.418037,-501.70157,-683.48895,1000.0,-93.487060546875,170000,148.4772481918335,,33
-559.71686,94.72342,-446.57764,-678.4027,1000.0,-564.1815,55.253933,-512.6411,-668.744,1000.0,-85.30049896240234,175000,152.76617097854614,,34
