Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
11.916667,7.0915914,41.0,4.0,11.916666666666666,9.372659,5.450293,37.0,3.0,9.372659176029963,-0.035942524671554565,58.90697479248047,5005,3.501574993133545,9.372659,0
18.648148,10.075929,49.0,4.0,18.64814814814815,12.450249,7.7253065,44.0,3.0,12.450248756218905,-0.0523068830370903,84.32978820800781,10010,7.1367058753967285,,1
26.31579,14.9966755,62.0,6.0,26.31578947368421,18.596296,12.242761,78.0,4.0,18.596296296296295,-0.031196068972349167,198.25689697265625,15031,10.384752988815308,,2
27.081081,17.172226,91.0,7.0,27.08108108108108,24.299517,15.003289,91.0,6.0,24.29951690821256,-0.02115754224359989,278.4027404785156,20061,13.623835325241089,,3
41.916668,17.715145,73.0,16.0,41.916666666666664,34.349316,17.968615,109.0,5.0,34.34931506849315,-0.016248049214482307,429.01171875,25076,16.81596875190735,,4
43.75,28.218271,113.0,14.0,43.75,35.118057,17.263681,102.0,8.0,35.11805555555556,-0.027514858171343803,361.3669738769531,30133,20.0679132938385,,5
54.263157,19.020327,103.0,22.0,54.26315789473684,44.18421,19.357471,141.0,14.0,44.18421052631579,-0.017650069668889046,544.9353637695312,35170,23.287739276885986,,6
68.933334,27.37509,139.0,30.0,68.93333333333334,49.166668,22.208937,118.0,12.0,49.166666666666664,-0.03252964839339256,648.8969116210938,40185,26.481486797332764,,7
59.52941,30.478764,113.0,13.0,59.529411764705884,54.591396,28.477583,153.0,12.0,54.59139784946237,-0.01568584144115448,1026.8155517578125,45262,29.704352617263794,,8
46.272728,18.002985,83.0,18.0,46.27272727272727,56.863636,21.878374,121.0,13.0,56.86363636363637,-0.014420031569898129,688.9943237304688,50266,32.85247325897217,,9
50.04762,22.638939,120.0,15.0,50.04761904761905,57.80682,26.678583,186.0,15.0,57.80681818181818,-0.003405340714380145,945.8607788085938,55353,36.100168228149414,,10
59.882355,22.62711,98.0,27.0,59.88235294117647,58.220932,22.17971,141.0,18.0,58.22093023255814,-0.01871572993695736,646.026611328125,60360,39.287405252456665,,11
56.22222,23.803724,116.0,20.0,56.22222222222222,57.609196,25.912477,138.0,11.0,57.60919540229885,-0.02864106371998787,710.2064208984375,65372,42.545647382736206,,12
61.764706,22.794554,107.0,32.0,61.76470588235294,60.518074,23.726027,127.0,12.0,60.51807228915663,-0.004200204275548458,625.6906127929688,70395,45.81828856468201,,13
69.933334,24.694038,135.0,37.0,69.93333333333334,65.947365,24.54582,144.0,20.0,65.94736842105263,-0.003553602145984769,771.7920532226562,75407,49.06643462181091,,14
77.0,36.618618,141.0,14.0,77.0,68.945206,29.997211,185.0,13.0,68.94520547945206,-0.02206961251795292,1084.618408203125,80440,52.213504791259766,,15
84.083336,26.98289,144.0,51.0,84.08333333333333,80.06349,35.677956,179.0,18.0,80.06349206349206,-7.52623745938763e-05,1485.629638671875,85484,55.381277322769165,,16
84.5,29.864975,140.0,38.0,84.5,85.44068,31.755032,220.0,36.0,85.44067796610169,-0.005415383726358414,1420.28759765625,90525,58.54267907142639,,17
86.25,37.62562,143.0,16.0,86.25,94.35849,32.467163,186.0,41.0,94.35849056603773,-0.00916882324963808,1583.34716796875,95526,61.69956564903259,,18
95.416664,31.792185,160.0,44.0,95.41666666666667,89.66071,30.741013,195.0,35.0,89.66071428571429,0.0026856318581849337,1304.936279296875,100547,64.91896295547485,,19
108.6,36.970802,165.0,48.0,108.6,100.94,35.44427,181.0,28.0,100.94,-0.002225839300081134,1716.46044921875,105594,68.21129989624023,,20
112.44444,38.79035,180.0,64.0,112.44444444444444,102.16327,46.023663,326.0,44.0,102.16326530612245,-0.03311861678957939,2931.220947265625,110600,71.44556617736816,,21
139.875,45.832405,190.0,60.0,139.875,99.27451,26.483498,163.0,29.0,99.27450980392157,-0.005182208027690649,1087.7464599609375,115663,74.76531910896301,,22
96.09091,24.622437,141.0,59.0,96.0909090909091,103.52,33.17845,190.0,32.0,103.52,-0.009059345349669456,1412.130126953125,120839,78.11440205574036,,23
105.1,21.177582,139.0,64.0,105.1,106.87234,39.549385,245.0,31.0,106.87234042553192,0.0029993439093232155,1867.5118408203125,125862,81.38924241065979,,24
132.625,42.02064,192.0,47.0,132.625,129.3077,49.20973,297.0,60.0,129.30769230769232,-0.008458733558654785,3223.5966796875,130905,84.56194949150085,,25
132.125,26.398094,173.0,92.0,132.125,110.152176,35.932285,206.0,45.0,110.15217391304348,-0.0074278260581195354,1565.81640625,135972,87.75461411476135,,26
132.375,65.937355,266.0,58.0,132.375,114.4,35.87782,188.0,31.0,114.4,-0.017125815153121948,1643.0977783203125,141120,90.99967694282532,,27
125.5,43.052296,184.0,31.0,125.5,122.19512,50.824047,260.0,31.0,122.1951219512195,-0.007680765353143215,2684.3037109375,146130,94.22976589202881,,28
131.0,59.428528,241.0,50.0,131.0,122.731705,52.958805,320.0,46.0,122.73170731707317,-0.022520245984196663,3040.203125,151162,97.49134397506714,,29
129.55556,30.185028,181.0,69.0,129.55555555555554,136.0,51.60295,259.0,29.0,136.0,-0.026354700326919556,2876.896728515625,156194,100.81920027732849,,30
153.42857,62.303078,234.0,52.0,153.42857142857142,126.65,34.75741,195.0,43.0,126.65,0.00473841093480587,1631.7373046875,161260,104.10501718521118,,31
117.55556,31.85771,158.0,63.0,117.55555555555556,125.675,49.193695,251.0,19.0,125.675,-0.024148043245077133,2413.5498046875,166287,107.3389675617218,,32
142.875,34.933643,221.0,106.0,142.875,141.47223,53.23662,249.0,43.0,141.47222222222223,-0.019764365628361702,3217.450439453125,171380,110.64645600318909,,33
122.22222,23.455763,170.0,96.0,122.22222222222223,136.35135,41.873177,279.0,49.0,136.35135135135135,-0.025969425216317177,2198.314453125,176425,113.83477687835693,,34
132.75,32.896618,192.0,90.0,132.75,139.22223,52.081726,297.0,55.0,139.22222222222223,-0.025254569947719574,2848.737548828125,181437,116.98505854606628,,35
175.0,55.97321,244.0,99.0,175.0,143.2,64.54225,407.0,47.0,143.2,-0.009486225433647633,4460.93359375,186449,120.13999700546265,,36
204.6,49.30152,252.0,111.0,204.6,148.58824,59.24829,309.0,29.0,148.58823529411765,-0.013566621579229832,3533.312744140625,191501,123.30185008049011,,37
159.0,77.26254,303.0,66.0,159.0,138.94444,42.43292,230.0,20.0,138.94444444444446,-0.0010614406783133745,2299.586669921875,196503,126.56127452850342,,38
151.14285,53.21769,238.0,50.0,151.14285714285714,147.58824,51.144615,325.0,46.0,147.58823529411765,-0.0006837688852101564,3281.93115234375,201521,129.72928309440613,,39
216.0,61.611687,279.0,120.0,216.0,150.26471,52.345184,299.0,66.0,150.26470588235293,-0.02396661601960659,3379.7353515625,206630,132.93698167800903,,40
186.33333,50.035545,268.0,115.0,186.33333333333334,183.96428,53.10601,305.0,79.0,183.96428571428572,5.795436663902365e-05,4197.59130859375,211781,136.26397466659546,,41
173.66667,57.11003,300.0,136.0,173.66666666666666,156.39394,41.368954,263.0,39.0,156.3939393939394,-0.009609640575945377,1949.4063720703125,216942,139.48735928535461,,42
209.0,71.763504,342.0,126.0,209.0,175.93103,64.395294,405.0,103.0,175.93103448275863,-0.01998765766620636,4850.78076171875,222044,142.6807234287262,,43
210.83333,50.762245,272.0,124.0,210.83333333333334,200.88,55.789116,339.0,115.0,200.88,0.0035240540746599436,4918.27099609375,227066,145.97543454170227,,44
168.16667,50.870476,224.0,99.0,168.16666666666666,213.875,63.9116,389.0,89.0,213.875,-0.0005179709405638278,6620.6787109375,232199,149.20136189460754,,45
190.16667,65.216095,259.0,58.0,190.16666666666666,193.0,55.157116,332.0,77.0,193.0,-0.0011454521445557475,4677.17919921875,237217,152.49418926239014,,46
301.0,87.52714,430.0,184.0,301.0,222.0,76.97769,357.0,63.0,222.0,-0.02968602068722248,7465.26611328125,242323,155.89118599891663,,47
202.66667,40.454365,252.0,133.0,202.66666666666666,302.05884,147.4798,647.0,88.0,302.05882352941177,-0.0027235348243266344,26866.5859375,247458,159.29300117492676,,48
205.8,83.21875,314.0,99.0,205.8,227.95454,82.85612,484.0,72.0,227.95454545454547,0.008245129138231277,8102.869140625,252473,162.52556610107422,,49
364.66666,111.88486,500.0,226.0,364.6666666666667,194.57692,79.9135,295.0,41.0,194.57692307692307,-0.0471373125910759,4725.55859375,257532,165.74919080734253,,50
322.75,189.56447,582.0,55.0,322.75,251.05,109.23986,476.0,46.0,251.05,-0.008485443890094757,11833.9423828125,262553,169.04326677322388,,51
637.0,275.18356,1000.0,334.0,637.0,300.82352,120.129944,546.0,113.0,300.8235294117647,-0.012649890966713428,18541.859375,267667,172.92896056175232,,52
548.5,354.5,903.0,194.0,548.5,335.0,230.02957,1000.0,95.0,335.0,-0.02387605607509613,66072.765625,272692,176.56471061706543,,53
563.5,373.5,937.0,190.0,563.5,430.75,235.49562,911.0,99.0,430.75,-0.0067933243699371815,69983.9453125,277861,180.34178972244263,,54
380.66666,179.28438,539.0,130.0,380.6666666666667,524.7,280.2078,848.0,79.0,524.7,-0.0008298722095787525,97744.4921875,283108,184.0753288269043,,55
334.33334,88.5789,415.0,211.0,334.3333333333333,392.53845,195.65889,687.0,75.0,392.53846153846155,-0.003913115710020065,42195.33203125,288211,187.6876163482666,,56
403.66666,85.13649,475.0,284.0,403.6666666666667,337.9375,116.613396,501.0,101.0,337.9375,-0.022695835679769516,18372.107421875,293618,191.46937489509583,,57
547.3333,113.15574,683.0,406.0,547.3333333333334,286.8889,122.44676,467.0,31.0,286.8888888888889,-0.006409258581697941,13493.923828125,298782,195.19037914276123,,58
760.0,240.0,1000.0,520.0,760.0,581.7778,217.8204,1000.0,233.0,581.7777777777778,0.007351095322519541,88969.0703125,304018,198.7653489112854,,59
1000.0,0.0,1000.0,1000.0,1000.0,726.1429,321.2064,1000.0,145.0,726.1428571428571,-0.016600722447037697,163269.96875,309101,201.97063183784485,,60
734.5,106.5,841.0,628.0,734.5,734.625,348.83124,1000.0,141.0,734.625,0.00536308204755187,178714.28125,314978,205.83717894554138,,61
1000.0,0.0,1000.0,1000.0,1000.0,843.5,323.01175,1000.0,123.0,843.5,-0.0032597926910966635,194162.1875,320039,209.03064942359924,,62
1000.0,0.0,1000.0,1000.0,1000.0,850.7143,237.87854,1000.0,371.0,850.7142857142857,-0.008261597715318203,172572.71875,325994,212.70956921577454,,63
1000.0,0.0,1000.0,1000.0,1000.0,995.6667,9.689628,1000.0,974.0,995.6666666666666,0.008277911692857742,195994.75,331968,216.40448546409607,,64
1000.0,0.0,1000.0,1000.0,1000.0,812.4286,330.6504,1000.0,70.0,812.4285714285714,0.00586171168833971,177388.03125,337655,219.94261145591736,,65
1000.0,0.0,1000.0,1000.0,1000.0,911.8333,126.7549,1000.0,696.0,911.8333333333334,-0.019782694056630135,163550.125,343126,223.35713958740234,,66
