Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
11.551724,8.585953,70.0,4.0,11.551724137931034,8.889875,4.8305516,31.0,3.0,8.8898756660746,8.56840991973877,5005,3.7216796875,8.889875,0
17.561403,10.14114,49.0,4.0,17.56140350877193,12.033654,7.2859735,42.0,3.0,12.033653846153847,12.00039005279541,10011,7.5877203941345215,,1
27.27027,19.326006,97.0,5.0,27.27027027027027,17.74468,11.335568,65.0,4.0,17.74468085106383,17.899398803710938,15015,10.973795175552368,,2
28.914286,14.844665,64.0,8.0,28.914285714285715,24.251207,15.035696,101.0,5.0,24.2512077294686,24.230627059936523,20035,14.295952081680298,,3
37.037037,18.37164,91.0,6.0,37.03703703703704,30.154762,17.067091,132.0,5.0,30.154761904761905,28.36565399169922,25101,17.596785306930542,,4
39.192307,20.441322,87.0,9.0,39.19230769230769,33.145695,14.768141,95.0,6.0,33.145695364238414,28.044767379760742,30106,20.838218450546265,,5
69.4,42.856037,207.0,17.0,69.4,45.95413,19.80936,109.0,13.0,45.95412844036697,38.30316925048828,35115,24.067694664001465,,6
62.058823,22.274942,128.0,28.0,62.05882352941177,48.317307,21.00882,120.0,7.0,48.31730769230769,39.5917854309082,40140,27.346702575683594,,7
77.30769,54.00767,199.0,17.0,77.3076923076923,52.635418,23.150377,125.0,13.0,52.635416666666664,43.29996109008789,45193,30.643760681152344,,8
62.5,28.581026,143.0,19.0,62.5,58.29885,22.146387,149.0,15.0,58.298850574712645,46.64274597167969,50265,33.93519425392151,,9
52.5,20.884205,107.0,14.0,52.5,58.44186,21.588438,158.0,10.0,58.44186046511628,46.07492446899414,55291,37.22748303413391,,10
58.941177,21.520088,122.0,23.0,58.94117647058823,54.836956,20.690409,134.0,19.0,54.83695652173913,43.543182373046875,60336,40.52267098426819,,11
41.64,13.056432,63.0,16.0,41.64,51.762886,22.743652,117.0,12.0,51.76288659793814,42.574581146240234,65357,43.784947633743286,,12
51.1,23.370708,106.0,9.0,51.1,51.387756,16.09261,108.0,14.0,51.38775510204081,38.63691329956055,70393,47.04238271713257,,13
50.285713,19.758406,117.0,24.0,50.285714285714285,50.22,16.719198,103.0,14.0,50.22,38.13100814819336,75415,50.3522584438324,,14
56.27778,15.091593,93.0,38.0,56.27777777777778,53.287235,18.70864,114.0,13.0,53.287234042553195,41.053680419921875,80424,53.601383447647095,,15
52.7,19.272,97.0,21.0,52.7,56.344444,20.335062,128.0,10.0,56.34444444444444,43.414798736572266,85495,56.918869495391846,,16
67.125,24.245811,116.0,29.0,67.125,64.30769,18.602665,126.0,31.0,64.3076923076923,48.31151580810547,90511,60.220221757888794,,17
72.0,23.796759,127.0,37.0,72.0,62.925,22.237228,141.0,11.0,62.925,47.972984313964844,95545,63.45387530326843,,18
93.38461,42.863895,216.0,38.0,93.38461538461539,73.0,29.295595,173.0,35.0,73.0,57.09044647216797,100582,66.80581903457642,,19
84.833336,29.582747,160.0,34.0,84.83333333333333,88.36842,35.253284,194.0,34.0,88.36842105263158,68.3538818359375,105619,70.03683423995972,,20
125.125,40.71375,202.0,54.0,125.125,107.21277,39.518345,246.0,43.0,107.2127659574468,81.95886993408203,110658,73.25518560409546,,21
96.0,38.52272,174.0,34.0,96.0,92.527275,41.075474,253.0,28.0,92.52727272727273,73.881103515625,115747,76.53070449829102,,22
143.125,45.791477,227.0,100.0,143.125,108.82609,39.134277,189.0,43.0,108.82608695652173,82.29833221435547,120753,79.81410622596741,,23
106.1,29.578539,171.0,65.0,106.1,111.6,52.940384,290.0,32.0,111.6,91.02568817138672,125775,83.05715680122375,,24
101.5,24.984995,154.0,72.0,101.5,104.854164,35.134262,200.0,38.0,104.85416666666667,77.41424560546875,130808,86.25461316108704,,25
113.6,42.325405,202.0,71.0,113.6,91.72727,36.195156,207.0,33.0,91.72727272727273,70.59423828125,135853,89.53816032409668,,26
124.888885,28.614079,191.0,94.0,124.88888888888889,99.15686,32.755405,199.0,24.0,99.15686274509804,73.21426391601562,140910,92.92035722732544,,27
123.888885,41.304947,208.0,70.0,123.88888888888889,109.978264,31.259426,175.0,52.0,109.97826086956522,79.203125,145969,96.29440593719482,,28
104.1,37.251713,191.0,52.0,104.1,111.46667,34.85309,190.0,38.0,111.46666666666667,80.98221588134766,150985,99.59954619407654,,29
130.375,38.389248,208.0,74.0,130.375,113.818184,33.821236,200.0,50.0,113.81818181818181,83.82261657714844,155993,102.81636595726013,,30
139.375,43.871796,202.0,85.0,139.375,123.48781,40.060394,242.0,51.0,123.48780487804878,89.24092864990234,161056,106.19744277000427,,31
117.111115,34.09609,167.0,61.0,117.11111111111111,127.85,38.6423,281.0,65.0,127.85,92.17381286621094,166170,109.48920917510986,,32
108.4,26.169449,184.0,86.0,108.4,106.875,24.572702,181.0,64.0,106.875,74.44187927246094,171300,112.80404353141785,,33
103.5,19.885925,145.0,72.0,103.5,100.02,30.43254,235.0,48.0,100.02,71.2569808959961,176301,116.02396893501282,,34
108.5,31.73405,200.0,80.0,108.5,96.73077,27.621838,210.0,43.0,96.73076923076923,68.06287384033203,181331,119.3197455406189,,35
114.7,41.96201,183.0,34.0,114.7,109.891304,27.66274,169.0,48.0,109.8913043478261,76.85150146484375,186386,122.64278244972229,,36
149.57143,59.259377,255.0,80.0,149.57142857142858,121.833336,45.19161,231.0,48.0,121.83333333333333,91.79660034179688,191503,125.9578857421875,,37
144.14285,51.12849,219.0,78.0,144.14285714285714,140.11111,52.34436,247.0,38.0,140.11111111111111,104.96007537841797,196547,129.21046686172485,,38
