Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-190.2619,113.62413,-37.75714,-431.90186,99.80952380952381,-197.50027,99.72169,-73.01433,-392.9324,91.43478260869566,-2.948293924331665,13794.400390625,2103,3.631065607070923,-197.50027,0
-138.5661,108.30294,4.597481,-481.96033,93.95454545454545,-147.98022,97.16558,-21.179436,-440.8689,90.3913043478261,-2.109696865081787,8420.279296875,4182,7.203739166259766,,1
-186.22778,102.33985,-23.785538,-386.7898,109.15789473684211,-168.36896,133.24771,54.178402,-532.58435,129.3913043478261,-1.5748921632766724,8699.658203125,7158,11.694434642791748,,2
-213.68733,109.56191,-51.157787,-473.31332,100.9,-185.72295,122.256294,-57.71956,-431.71353,99.0952380952381,-2.318472385406494,11449.34765625,9239,14.938098430633545,,3
-326.08014,108.45266,-130.72694,-484.20905,130.9375,-178.32704,105.31467,-57.904446,-450.48788,111.21052631578948,-1.8829410076141357,8064.63232421875,11352,18.26796054840088,,4
-250.6579,144.96808,-67.81542,-593.21484,111.47368421052632,-195.44443,103.24523,-0.32444,-354.04092,107.73684210526316,-1.9702036380767822,9100.306640625,13399,21.635840892791748,,5
-299.2992,111.37111,-56.02138,-492.8011,134.6,-241.55963,118.478745,-19.390953,-555.0602,126.4375,-2.0429413318634033,10318.26171875,15422,24.99853539466858,,6
-257.2574,129.24289,-26.701622,-458.7932,139.86666666666667,-327.20166,165.39587,-29.178314,-624.17346,136.06666666666666,-2.221851348876953,18883.341796875,17463,28.433494329452515,,7
-374.38547,188.10352,-63.428303,-741.5902,161.46153846153845,-266.83575,197.4759,15.237724,-630.9734,135.2,-1.4272501468658447,15028.0234375,19491,31.9076030254364,,8
-230.86343,125.61842,10.942835,-551.2262,131.0625,-203.27353,138.13388,0.6566658,-507.97568,134.73333333333332,-1.2286968231201172,7195.48583984375,21512,35.31796836853027,,9
-250.26926,126.17987,-29.240196,-457.6823,142.46666666666667,-325.55893,223.96857,-38.299,-851.0611,170.41666666666666,-1.2870675325393677,13899.8681640625,23557,38.92630624771118,,10
-280.71838,156.52652,-37.40734,-625.5365,145.71428571428572,-204.90776,97.91622,-36.086464,-335.31595,143.28571428571428,-1.1787759065628052,4567.3720703125,25563,42.38654589653015,,11
-262.97452,138.8455,-44.631207,-516.4928,161.92857142857142,-272.6336,119.24914,-26.359535,-470.66837,147.14285714285714,-1.368070125579834,8633.46484375,27623,46.07761073112488,,12
-211.00482,134.99933,-21.1503,-475.9119,138.86666666666667,-235.29149,123.350586,-25.067505,-475.7955,143.33333333333334,-1.2637646198272705,7050.85205078125,29773,49.584601402282715,,13
-288.6803,120.412636,-21.718452,-400.05664,156.92307692307693,-158.48795,154.89713,37.482376,-560.22845,201.5,-0.21906717121601105,5293.01220703125,31788,53.45068907737732,,14
-219.88564,138.98297,-21.635445,-557.4833,234.54545454545453,-208.63834,142.70972,-21.41256,-552.81604,158.84615384615384,-0.9396933913230896,4866.458984375,33853,58.399927377700806,,15
-192.01663,101.11186,-47.49935,-385.7088,156.92307692307693,-217.21286,169.43309,-38.400658,-533.6477,234.88888888888889,-0.37148958444595337,6782.36328125,35967,63.36948013305664,,16
-199.48947,120.70431,12.303013,-484.172,155.07692307692307,-244.69266,162.1732,4.8484726,-532.77045,162.15384615384616,-0.8964551091194153,6313.94677734375,38075,66.92381954193115,,17
