Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
31.461538,12.827947,57.0,13.0,31.46153846153846,21.76087,10.255825,70.0,10.0,21.76086956521739,9.514545440673828,1001,1.2040774822235107,21.76087,0
60.57143,31.981499,112.0,28.0,60.57142857142857,32.875,15.661956,67.0,14.0,32.875,13.642388343811035,2053,2.5659449100494385,,1
75.5,21.907,110.0,45.0,75.5,43.166668,21.709572,110.0,19.0,43.166666666666664,17.63601303100586,3089,3.5273120403289795,,2
63.0,19.97856,98.0,35.0,63.0,62.8125,29.799788,135.0,29.0,62.8125,24.07941246032715,4094,4.469516754150391,,3
72.14286,26.101059,123.0,43.0,72.14285714285714,54.736843,22.329687,113.0,21.0,54.73684210526316,19.496381759643555,5134,5.4677300453186035,,4
69.5,20.629671,97.0,48.0,69.5,74.42857,26.141685,105.0,22.0,74.42857142857143,24.567432403564453,6176,6.415294408798218,,5
79.333336,13.743686,101.0,56.0,79.33333333333333,95.545456,45.265606,180.0,31.0,95.54545454545455,33.53150177001953,7227,7.40422797203064,,6
76.166664,24.265316,121.0,39.0,76.16666666666667,101.454544,41.392498,200.0,34.0,101.45454545454545,33.63255310058594,8343,8.42233681678772,,7
121.5,33.018932,156.0,88.0,121.5,97.0,31.441143,150.0,46.0,97.0,29.130794525146484,9410,9.429466247558594,,8
183.33333,15.326085,200.0,163.0,183.33333333333334,118.77778,48.700394,200.0,59.0,118.77777777777777,37.69261932373047,10479,10.478441953659058,,9
103.75,51.36329,155.0,36.0,103.75,143.14285,45.680344,200.0,76.0,143.14285714285714,41.628936767578125,11481,11.398093700408936,,10
148.0,51.406876,200.0,78.0,148.0,164.42857,33.337482,200.0,114.0,164.42857142857142,45.14771270751953,12632,12.45357370376587,,11
187.0,17.682383,200.0,162.0,187.0,160.28572,29.860218,200.0,126.0,160.28571428571428,43.951412200927734,13754,13.566344499588013,,12
194.66667,7.542472,200.0,184.0,194.66666666666666,179.66667,20.773914,200.0,144.0,179.66666666666666,45.88118362426758,14832,14.64120101928711,,13
200.0,0.0,200.0,200.0,200.0,176.5,19.345543,200.0,149.0,176.5,45.57016372680664,15891,15.585634231567383,,14
179.0,29.698484,200.0,137.0,179.0,194.83333,11.553018,200.0,169.0,194.83333333333334,48.79024124145508,17060,16.683995246887207,,15
156.0,9.092121,168.0,146.0,156.0,177.16667,21.28706,200.0,149.0,177.16666666666666,44.72594451904297,18123,17.67599892616272,,16
120.5,7.0887237,130.0,110.0,120.5,160.14285,24.0798,187.0,121.0,160.14285714285714,39.78387451171875,19244,18.714004039764404,,17
140.33333,8.576453,151.0,130.0,140.33333333333334,154.28572,23.468607,200.0,128.0,154.28571428571428,38.7412109375,20324,19.696415662765503,,18
148.66667,36.380703,200.0,120.0,148.66666666666666,132.0,17.727098,169.0,107.0,132.0,31.30784797668457,21380,20.67084050178528,,19
142.33333,7.318166,148.0,132.0,142.33333333333334,122.888885,32.613712,172.0,66.0,122.88888888888889,31.6978816986084,22486,21.666834354400635,,20
186.66667,13.02135,200.0,169.0,186.66666666666666,135.875,13.950247,160.0,116.0,135.875,30.73890495300293,23573,22.734077215194702,,21
165.0,25.703438,200.0,139.0,165.0,143.0,29.65516,200.0,100.0,143.0,33.079490661621094,24574,23.709814071655273,,22
135.75,28.830322,172.0,93.0,135.75,135.25,24.401588,186.0,109.0,135.25,32.21413803100586,25656,24.77295708656311,,23
120.5,13.275918,141.0,105.0,120.5,139.25,23.144924,173.0,96.0,139.25,31.674589157104492,26770,25.811462879180908,,24
124.75,6.0156045,132.0,117.0,124.75,127.55556,21.092974,175.0,102.0,127.55555555555556,29.189556121826172,27918,26.889952659606934,,25
134.0,16.872066,156.0,115.0,134.0,133.5,18.768324,157.0,109.0,133.5,29.88211441040039,28986,27.842578411102295,,26
144.66667,10.208929,157.0,132.0,144.66666666666666,137.25,15.122417,161.0,115.0,137.25,31.215768814086914,30084,28.83307719230652,,27
159.0,29.223278,200.0,134.0,159.0,149.0,14.020393,168.0,126.0,149.0,33.26665115356445,31127,29.816259622573853,,28
196.0,5.656854,200.0,188.0,196.0,188.16667,10.945573,200.0,175.0,188.16666666666666,39.795223236083984,32256,30.935633659362793,,29
191.66667,11.785113,200.0,175.0,191.66666666666666,199.5,1.118034,200.0,197.0,199.5,43.295875549316406,33453,32.09947371482849,,30
161.66667,33.20977,200.0,119.0,161.66666666666666,191.0,9.380832,200.0,177.0,191.0,41.063194274902344,34599,33.15516257286072,,31
151.66667,10.402991,160.0,137.0,151.66666666666666,177.5,19.414341,200.0,142.0,177.5,38.96084976196289,35664,34.16502261161804,,32
149.33333,19.014614,176.0,133.0,149.33333333333334,144.28572,10.937671,159.0,129.0,144.28571428571428,31.26364517211914,36674,35.11615300178528,,33
125.0,9.486833,139.0,113.0,125.0,125.75,9.640409,138.0,107.0,125.75,26.83431625366211,37680,36.08857727050781,,34
110.5,5.17204,117.0,103.0,110.5,120.111115,8.799551,139.0,107.0,120.11111111111111,25.121139526367188,38761,37.07451915740967,,35
85.6,22.729717,111.0,57.0,85.6,111.6,7.7485485,120.0,97.0,111.6,21.849796295166016,39877,38.07866311073303,,36
61.42857,26.41351,107.0,37.0,61.42857142857143,80.69231,24.671331,113.0,35.0,80.6923076923077,18.35947036743164,40926,39.06709337234497,,37
55.0,21.604397,105.0,34.0,55.0,68.933334,24.922459,110.0,30.0,68.93333333333334,14.851341247558594,41960,40.03850078582764,,38
84.2,20.604855,102.0,45.0,84.2,67.333336,20.786747,104.0,30.0,67.33333333333333,13.437338829040527,42970,40.984071254730225,,39
103.0,5.7879186,111.0,97.0,103.0,59.411766,23.136574,108.0,29.0,59.411764705882355,13.871563911437988,43980,41.92820477485657,,40
102.25,1.9202864,105.0,100.0,102.25,84.583336,31.380617,119.0,27.0,84.58333333333333,18.030611038208008,44995,42.855522871017456,,41
105.75,5.3091903,112.0,98.0,105.75,101.2,16.086018,114.0,56.0,101.2,19.365726470947266,46007,43.809972047805786,,42
119.75,7.980445,133.0,113.0,119.75,104.6,17.9399,123.0,53.0,104.6,19.261043548583984,47053,44.81880259513855,,43
126.5,7.889867,133.0,113.0,126.5,113.666664,5.354126,124.0,106.0,113.66666666666667,21.837446212768555,48076,45.83710598945618,,44
128.25,3.49106,134.0,125.0,128.25,121.0,6.236096,134.0,113.0,121.0,22.91616439819336,49165,46.90711212158203,,45
130.0,7.5828753,141.0,122.0,130.0,133.0,7.7298126,150.0,125.0,133.0,23.418039321899414,50229,47.96089267730713,,46
139.66667,2.4944382,143.0,137.0,139.66666666666666,139.625,8.425222,152.0,128.0,139.625,26.74187660217285,51346,48.98185110092163,,47
154.66667,11.323525,170.0,143.0,154.66666666666666,153.14285,4.793703,162.0,147.0,153.14285714285714,28.157489776611328,52418,49.974509954452515,,48
161.66667,13.474256,178.0,145.0,161.66666666666666,150.85715,7.6425233,166.0,140.0,150.85714285714286,25.985193252563477,53474,50.96943664550781,,49
165.0,12.754085,183.0,155.0,165.0,167.28572,14.6161785,183.0,139.0,167.28571428571428,29.02572250366211,54645,52.04471039772034,,50
172.0,4.9665546,176.0,165.0,172.0,165.71428,11.473127,180.0,142.0,165.71428571428572,29.24228858947754,55805,53.15982151031494,,51
184.66667,12.657892,200.0,169.0,184.66666666666666,183.83333,10.446956,195.0,166.0,183.83333333333334,31.64046859741211,56908,54.26357698440552,,52
182.33333,24.98444,200.0,147.0,182.33333333333334,187.83333,14.016855,200.0,163.0,187.83333333333334,33.004207611083984,58035,55.37478232383728,,53
180.33333,14.61354,200.0,165.0,180.33333333333334,192.5,9.105859,200.0,177.0,192.5,35.823883056640625,59190,56.50202536582947,,54
200.0,0.0,200.0,200.0,200.0,188.33333,12.684197,200.0,169.0,188.33333333333334,31.747047424316406,60320,57.49226427078247,,55
200.0,0.0,200.0,200.0,200.0,198.83333,1.8633898,200.0,195.0,198.83333333333334,30.22944450378418,61513,58.539278507232666,,56
200.0,0.0,200.0,200.0,200.0,194.66667,7.5645375,200.0,183.0,194.66666666666666,30.929218292236328,62681,59.579280376434326,,57
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,33.888736724853516,63681,60.48738431930542,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,32.94473648071289,64681,61.398006200790405,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,31.359891891479492,65681,62.32928824424744,,60
172.0,2.9439204,176.0,169.0,172.0,198.83333,2.6087458,200.0,193.0,198.83333333333334,35.04580307006836,66874,63.45848345756531,,61
173.33333,7.7602973,183.0,164.0,173.33333333333334,183.66667,7.845735,200.0,177.0,183.66666666666666,32.845558166503906,67976,64.52780532836914,,62
166.66667,10.143416,181.0,159.0,166.66666666666666,162.0,8.211491,178.0,151.0,162.0,26.94767951965332,69110,65.60632991790771,,63
148.66667,3.2998316,151.0,144.0,148.66666666666666,159.0,15.156328,186.0,143.0,159.0,27.114482879638672,70223,66.63765287399292,,64
135.0,3.7416575,140.0,131.0,135.0,151.42857,10.376582,164.0,131.0,151.42857142857142,24.683837890625,71283,67.6041464805603,,65
142.33333,6.5489607,150.0,134.0,142.33333333333334,143.14285,13.4952755,163.0,121.0,143.14285714285714,24.038196563720703,72285,68.54431891441345,,66
135.5,7.4330344,143.0,125.0,135.5,134.625,9.707439,150.0,118.0,134.625,22.62808609008789,73362,69.6110155582428,,67
126.25,10.42533,139.0,115.0,126.25,124.333336,7.1492033,141.0,116.0,124.33333333333333,22.770448684692383,74481,70.66457033157349,,68
114.0,4.582576,119.0,107.0,114.0,122.333336,3.091206,126.0,117.0,122.33333333333333,20.463388442993164,75582,71.68994784355164,,69
107.75,7.9490566,117.0,98.0,107.75,117.55556,3.435472,123.0,111.0,117.55555555555556,20.120391845703125,76640,72.66468381881714,,70
109.25,3.269174,114.0,105.0,109.25,113.0,4.3716254,119.0,107.0,113.0,20.163543701171875,77657,73.62521624565125,,71
111.0,0.70710677,112.0,110.0,111.0,111.1,6.7000003,126.0,102.0,111.1,19.701309204101562,78768,74.65044474601746,,72
111.5,4.8218255,119.0,106.0,111.5,112.55556,3.654863,118.0,106.0,112.55555555555556,19.50532341003418,79781,75.61183977127075,,73
118.0,4.9497476,126.0,113.0,118.0,102.3,27.734634,123.0,21.0,102.3,18.54509735107422,80804,76.59963893890381,,74
114.25,5.7608595,120.0,108.0,114.25,104.5,27.313915,124.0,25.0,104.5,19.777387619018555,81849,77.59388875961304,,75
112.25,4.145781,119.0,108.0,112.25,112.666664,6.912147,123.0,102.0,112.66666666666667,19.830217361450195,82863,78.53870248794556,,76
96.0,31.95622,118.0,33.0,96.0,112.0,6.1463633,126.0,105.0,112.0,18.10306167602539,83871,79.49911260604858,,77
77.0,36.796738,105.0,24.0,77.0,112.888885,6.3847814,125.0,102.0,112.88888888888889,17.880155563354492,84887,80.45437335968018,,78
108.25,5.2618914,114.0,103.0,108.25,101.5,23.80861,115.0,31.0,101.5,16.446533203125,85902,81.38815116882324,,79
104.5,3.7749171,107.0,98.0,104.5,99.72727,24.109941,118.0,25.0,99.72727272727273,16.570375442504883,86999,82.36694502830505,,80
106.75,4.145781,111.0,100.0,106.75,99.09091,20.960806,112.0,34.0,99.0909090909091,16.00389862060547,88089,83.34769082069397,,81
105.25,2.8613808,109.0,102.0,105.25,106.0,4.582576,113.0,99.0,106.0,16.45586585998535,89149,84.30349278450012,,82
90.8,27.102768,110.0,37.0,90.8,92.5,25.953484,111.0,33.0,92.5,14.685373306274414,90259,85.3132836818695,,83
102.5,0.5,103.0,102.0,102.5,102.5,4.006245,108.0,94.0,102.5,15.611679077148438,91284,86.24037766456604,,84
105.25,4.322904,110.0,100.0,105.25,103.4,4.8207884,111.0,96.0,103.4,13.301612854003906,92318,87.2034215927124,,85
104.5,2.6925824,108.0,101.0,104.5,100.6,3.4985712,108.0,96.0,100.6,13.62973690032959,93324,88.12292051315308,,86
