Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-773.91144,41.479805,-722.37756,-823.94885,1000.0,-654.2511,66.122086,-525.9218,-705.6291,1000.0,-109.54742431640625,195.26321411132812,5000,4.5702924728393555,-654.2511,0
-774.0169,207.06987,-603.4428,-1065.4478,1000.0,-727.16614,63.696392,-617.8766,-812.9457,1000.0,-120.79507446289062,249.09149169921875,10000,9.342673301696777,,1
-754.0681,20.11624,-726.66583,-774.3898,1000.0,-831.9972,127.35624,-721.95325,-1080.1459,1000.0,-139.06539916992188,319.5614013671875,15000,13.629398822784424,,2
-870.26447,81.57611,-776.371,-975.26294,1000.0,-931.4762,81.52189,-823.8696,-1001.80273,1000.0,-154.3560333251953,375.27923583984375,20000,17.904622554779053,,3
-892.5906,12.856234,-882.211,-910.70795,1000.0,-890.7088,135.69147,-748.4276,-1118.304,1000.0,-146.25575256347656,347.2407531738281,25000,22.18238592147827,,4
-1072.7129,99.2083,-956.6283,-1198.9952,1000.0,-949.7999,18.458344,-919.97064,-972.2335,1000.0,-154.42967224121094,379.1156311035156,30000,26.45467710494995,,5
-1158.4293,115.62789,-1020.94385,-1303.8403,1000.0,-1023.6248,73.16925,-956.29846,-1116.9115,1000.0,-166.18385314941406,446.2830810546875,35000,30.727928161621094,,6
-1178.5009,38.96206,-1134.3043,-1229.0958,1000.0,-1260.3612,82.65321,-1171.5544,-1404.0742,1000.0,-202.3384246826172,618.548583984375,40000,34.9936740398407,,7
-1355.8007,100.23321,-1230.0366,-1475.3184,1000.0,-1179.184,101.24592,-1005.29565,-1320.235,1000.0,-188.33694458007812,547.6895141601562,45000,39.275450229644775,,8
-1229.6432,63.517654,-1154.7097,-1310.0106,1000.0,-1200.4945,170.59299,-1022.9232,-1412.6803,1000.0,-189.4875946044922,578.26611328125,50000,43.58389234542847,,9
-1157.4205,127.69671,-981.489,-1280.6814,1000.0,-1226.7662,109.395035,-1033.6147,-1330.1174,1000.0,-189.05517578125,583.0144653320312,55000,47.88598370552063,,10
-1182.0787,133.12807,-994.41986,-1289.0513,1000.0,-1150.178,55.741386,-1071.1389,-1231.5178,1000.0,-170.7589874267578,478.265625,60000,52.18303442001343,,11
-1040.9436,64.56523,-954.08374,-1108.7565,1000.0,-1089.1609,17.71605,-1055.3047,-1103.8296,1000.0,-151.84237670898438,370.1800537109375,65000,56.47900366783142,,12
-1097.504,23.999807,-1069.3265,-1127.979,1000.0,-1219.1788,91.20674,-1094.206,-1327.0573,1000.0,-172.5998077392578,485.6161804199219,70000,60.74755573272705,,13
-978.1243,54.11688,-904.81445,-1033.8108,1000.0,-1107.6147,54.870068,-1002.9678,-1157.8953,1000.0,-168.46002197265625,452.058837890625,75000,65.00971603393555,,14
-935.79004,54.422565,-888.69836,-1012.0568,1000.0,-968.0172,66.77196,-902.2687,-1086.9728,1000.0,-118.3350601196289,242.21473693847656,80000,69.40071940422058,,15
-850.27094,31.36171,-805.9221,-872.9166,1000.0,-902.29004,59.02121,-816.88934,-985.1714,1000.0,-111.54096984863281,231.0260467529297,85000,73.79004406929016,,16
-856.2006,30.9212,-813.4993,-885.7141,1000.0,-800.70276,44.948627,-756.8772,-865.8341,1000.0,-84.22908782958984,149.6442413330078,90000,78.17528820037842,,17
-790.9353,51.874077,-717.82166,-832.70514,1000.0,-703.1035,89.92548,-545.32886,-810.61255,1000.0,-62.248321533203125,110.01832580566406,95000,82.5318431854248,,18
-674.23254,51.352787,-608.3878,-733.68823,1000.0,-708.376,108.88027,-613.0095,-907.07605,1000.0,-50.754859924316406,75.40148162841797,100000,86.890380859375,,19
-775.98193,57.30984,-705.64233,-846.02124,1000.0,-786.41766,34.0488,-725.33215,-814.2105,1000.0,-66.49028778076172,98.50556945800781,105000,91.25354051589966,,20
-710.24054,70.80268,-623.26575,-796.69385,1000.0,-754.4691,37.79462,-700.8071,-799.1905,1000.0,-79.60969543457031,131.5311737060547,110000,95.61232137680054,,21
-623.0288,134.49925,-522.1804,-813.12146,1000.0,-742.13354,79.67282,-598.519,-822.7814,1000.0,-54.98362350463867,86.73739624023438,115000,99.89593195915222,,22
-675.76013,73.34845,-606.7611,-777.3368,1000.0,-686.3724,15.303494,-660.4453,-703.239,1000.0,-29.488306045532227,42.90825653076172,120000,104.1615960597992,,23
-699.4543,109.80705,-548.2803,-805.80164,1000.0,-697.2331,100.59163,-529.79706,-816.1582,1000.0,-29.366527557373047,49.531097412109375,125000,108.43455243110657,,24
-630.8598,41.543556,-594.94934,-689.08453,1000.0,-680.67255,36.235016,-633.41956,-716.61414,1000.0,-23.28814697265625,36.38671112060547,130000,112.82485032081604,,25
-655.19135,85.170555,-569.7023,-771.4189,1000.0,-689.11554,65.67967,-597.66565,-789.2526,1000.0,-24.035593032836914,34.58053207397461,135000,117.20931625366211,,26
-652.2945,28.551113,-615.1068,-684.51025,1000.0,-639.96375,58.84255,-550.1842,-692.4283,1000.0,-14.070023536682129,49.320560455322266,140000,121.59826040267944,,27
