Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-704.1716,42.68021,-645.3865,-745.4232,1000.0,-682.1533,26.949892,-654.6049,-719.00305,1000.0,-0.0966581404209137,176.8604278564453,5000,4.65417742729187,-682.1533,0
-803.03485,55.386204,-742.0679,-876.1061,1000.0,-739.689,68.835754,-625.43823,-842.1176,1000.0,-0.08570966124534607,163.47189331054688,10000,17.377732515335083,,1
-684.56866,9.658806,-675.0038,-697.79645,1000.0,-721.8416,48.749844,-646.526,-769.79724,1000.0,-0.11096914112567902,49.124691009521484,15000,21.68702507019043,,2
-687.53174,43.633343,-641.4205,-746.09955,1000.0,-668.3394,20.994486,-638.0422,-699.05566,1000.0,-0.10076774656772614,28.38802719116211,20000,25.9949152469635,,3
-752.57306,94.41902,-640.38885,-871.38245,1000.0,-744.90533,32.17705,-686.2736,-774.4702,1000.0,-0.05315209925174713,27.393611907958984,25000,30.315768718719482,,4
-684.64764,45.16707,-633.59875,-743.4227,1000.0,-682.7945,58.18122,-604.1411,-784.1843,1000.0,-0.0852951630949974,31.071043014526367,30000,34.632303953170776,,5
-739.1081,22.292133,-714.24445,-768.32556,1000.0,-676.58014,28.844196,-625.1633,-706.605,1000.0,-0.10156386345624924,30.5133056640625,35000,38.93739318847656,,6
-693.409,51.701813,-633.3468,-759.5513,1000.0,-642.7736,55.253292,-559.82043,-724.9783,1000.0,-0.0892651379108429,33.050941467285156,40000,43.2402458190918,,7
-683.58844,93.15026,-607.0917,-814.71655,1000.0,-632.7604,48.412247,-559.2933,-690.65454,1000.0,-0.08112666010856628,29.459779739379883,45000,47.539055585861206,,8
-613.3488,55.809666,-572.8647,-692.2667,1000.0,-641.40216,111.3276,-445.38824,-788.3614,1000.0,-0.05652758479118347,106.556884765625,50000,51.845486640930176,,9
-652.9847,41.806965,-608.02875,-708.71857,1000.0,-637.61316,42.092052,-586.2986,-687.9685,1000.0,-0.11692099273204803,25.388620376586914,55000,56.194239139556885,,10
-580.23975,49.586224,-525.3595,-645.4861,1000.0,-580.4753,76.669785,-504.9079,-724.58496,1000.0,-0.08099273592233658,33.25059127807617,60000,68.27972555160522,,11
-589.27496,43.153038,-549.60974,-649.2732,1000.0,-609.33636,74.890854,-511.76544,-732.02136,1000.0,-0.07168407738208771,32.06961441040039,65000,72.70368909835815,,12
-586.89935,35.3077,-551.95935,-635.2619,1000.0,-491.3208,43.607563,-441.99026,-550.80005,1000.0,-0.0497869998216629,32.81462478637695,70000,77.12686204910278,,13
-513.2248,14.581144,-492.9761,-526.72656,1000.0,-530.151,24.826307,-485.11783,-561.44867,1000.0,-0.1056671142578125,22.395339965820312,75000,81.46045660972595,,14
-418.86368,70.986534,-318.47357,-469.10233,1000.0,-579.3133,95.0963,-453.8732,-739.68085,1000.0,-0.06928788870573044,40.06904220581055,80000,85.81444764137268,,15
-538.2918,42.356026,-479.3155,-576.85706,1000.0,-573.6552,18.085207,-543.7771,-597.4534,1000.0,-0.04969269782304764,30.779436111450195,85000,90.2341730594635,,16
-519.9094,105.51367,-371.99677,-610.9271,1000.0,-553.02594,59.982788,-482.4729,-622.034,1000.0,-0.08544257283210754,26.38275909423828,90000,94.66675519943237,,17
-596.9533,45.628487,-563.0233,-661.4525,1000.0,-532.0182,39.344597,-467.4879,-582.09784,1000.0,-0.0914565920829773,30.317367553710938,95000,99.00572752952576,,18
-521.0303,64.33997,-470.47473,-611.8256,1000.0,-498.62158,38.232098,-463.65475,-569.7916,1000.0,-0.09586106985807419,27.30730628967285,100000,103.34036612510681,,19
-398.34106,31.981878,-359.21432,-437.55347,1000.0,-463.7548,60.343613,-370.3499,-552.1131,1000.0,-0.06180643290281296,36.084228515625,105000,107.77783918380737,,20
-472.82178,66.45616,-422.17847,-566.7078,1000.0,-450.8841,78.05657,-350.41138,-585.886,1000.0,-0.05542570725083351,23.093149185180664,110000,119.91583442687988,,21
-498.5765,80.12204,-392.47357,-586.0654,1000.0,-444.59198,58.92564,-365.24625,-507.865,1000.0,-0.08902408927679062,22.52043914794922,115000,124.35589289665222,,22
-357.64673,67.95687,-303.57895,-453.48987,1000.0,-423.72852,30.136383,-386.8955,-475.823,1000.0,-0.0550607405602932,25.238065719604492,120000,128.99243307113647,,23
-411.64966,47.43361,-345.77405,-455.5521,1000.0,-367.3681,59.436607,-274.81152,-460.4865,1000.0,-0.08753237128257751,25.73224639892578,125000,133.57314372062683,,24
-458.44016,51.09573,-398.27512,-523.18225,1000.0,-439.90204,47.346832,-378.5434,-518.7931,1000.0,-0.09886210411787033,18.242088317871094,130000,138.08364534378052,,25
-374.4537,9.365183,-361.94128,-384.47018,1000.0,-379.40665,35.784218,-321.87897,-418.1784,1000.0,-0.0668630376458168,19.882587432861328,135000,142.56938529014587,,26
-394.77625,39.409966,-346.54816,-443.08237,1000.0,-409.7709,19.315508,-376.36523,-428.18536,1000.0,-0.06473522633314133,19.59001350402832,140000,147.00880432128906,,27
-336.64377,26.823334,-308.88776,-372.9146,1000.0,-386.46576,53.63428,-308.27026,-443.66586,1000.0,-0.1010795459151268,31.80147361755371,145000,151.48481607437134,,28
-328.01828,48.2371,-261.58368,-374.65424,1000.0,-404.25082,39.7198,-346.37048,-465.1705,1000.0,-0.06365461647510529,30.103212356567383,150000,155.98062086105347,,29
-370.89078,23.1571,-338.5442,-391.49698,1000.0,-433.30615,70.29702,-355.57178,-539.4872,1000.0,-0.10806030035018921,24.35694694519043,155000,160.4779577255249,,30
-331.32324,53.56165,-257.53702,-383.04773,1000.0,-381.64532,47.989544,-325.75793,-469.7282,1000.0,-0.11403173208236694,20.90797996520996,160000,172.89822268486023,,31
-373.512,54.277042,-296.9888,-416.98352,1000.0,-391.72845,37.01991,-353.61316,-456.9572,1000.0,-0.09982160478830338,20.79227066040039,165000,177.46532034873962,,32
-344.76468,41.608208,-287.97443,-386.502,1000.0,-368.41302,45.13381,-305.11792,-434.09576,1000.0,-0.14143076539039612,13.466215133666992,170000,182.01855325698853,,33
-332.14944,83.83329,-257.54602,-449.2495,1000.0,-360.8089,47.51706,-288.25916,-437.87567,1000.0,-0.11734359711408615,13.391355514526367,175000,186.4345064163208,,34
-333.93835,25.728254,-305.20844,-367.63873,1000.0,-367.9596,38.61947,-321.13297,-422.92566,1000.0,-0.11164716631174088,23.164323806762695,180000,190.87951493263245,,35
-380.44482,9.247679,-373.4634,-393.51282,1000.0,-368.3374,65.00964,-287.05573,-476.73456,1000.0,-0.05750402808189392,24.01839256286621,185000,195.35727429389954,,36
-305.1118,19.214209,-290.389,-332.25217,1000.0,-296.20117,81.47295,-195.2714,-442.85132,1000.0,-0.0640958696603775,19.49026107788086,190000,199.85966563224792,,37
-348.48666,7.67006,-342.77615,-359.3286,1000.0,-297.31586,18.11337,-274.7852,-325.84653,1000.0,-0.08253877609968185,18.229341506958008,195000,204.42926955223083,,38
-321.1669,32.286144,-289.82425,-365.59274,1000.0,-321.65927,61.54023,-266.8478,-441.41977,1000.0,-0.08048231899738312,21.920846939086914,200000,208.90708231925964,,39
-304.73904,57.09735,-224.30551,-351.11996,1000.0,-340.95563,74.55045,-250.27231,-473.09024,1000.0,-0.0928596556186676,20.181547164916992,205000,213.37571954727173,,40
-308.96304,125.353516,-171.11948,-474.423,1000.0,-388.71057,43.59518,-320.37366,-451.66077,1000.0,-0.03990503028035164,28.76904296875,210000,225.72924709320068,,41
-303.15036,72.86317,-218.98935,-396.7212,1000.0,-399.7469,84.69164,-286.3859,-528.3363,1000.0,-0.06394851207733154,35.993385314941406,215000,230.21764183044434,,42
-290.02414,12.610549,-272.3293,-300.7975,1000.0,-271.14557,55.20364,-192.70311,-331.6267,1000.0,-0.03743356093764305,25.903352737426758,220000,234.73778438568115,,43
-342.29565,31.089706,-303.6485,-379.77557,1000.0,-337.22745,72.50852,-252.01099,-471.42398,1000.0,-0.02922854572534561,34.0601806640625,225000,239.25783228874207,,44
-276.11264,56.84448,-197.17026,-328.7374,1000.0,-284.0578,81.03343,-134.4947,-370.7258,1000.0,-0.023585742339491844,25.347084045410156,230000,243.74273705482483,,45
-284.61362,42.10316,-242.22572,-342.0217,1000.0,-306.1583,64.1645,-254.40662,-429.3695,1000.0,-0.019507788121700287,15.954278945922852,235000,248.2127754688263,,46
-349.5343,44.558964,-287.29834,-389.21182,1000.0,-285.4597,21.597631,-262.064,-325.72952,1000.0,-0.04231450706720352,18.204212188720703,240000,252.67785477638245,,47
-308.2234,43.034344,-247.52231,-342.37714,1000.0,-329.3698,47.96384,-271.41235,-416.69403,1000.0,-0.08205727487802505,19.529449462890625,245000,257.13584780693054,,48
-356.30893,59.387466,-292.87793,-435.69714,1000.0,-323.11984,31.372753,-272.0204,-362.36975,1000.0,-0.12107910960912704,17.629405975341797,250000,261.6029779911041,,49
-257.17603,25.14369,-237.29504,-292.64822,1000.0,-291.95618,48.698017,-249.6038,-371.20905,1000.0,-0.07063725590705872,18.783132553100586,255000,266.01803278923035,,50
-246.42378,28.379353,-211.78934,-281.30298,1000.0,-245.22466,54.799625,-143.35039,-298.75845,1000.0,-0.0690644383430481,11.05498218536377,260000,278.28569746017456,,51
-304.65854,29.905415,-269.286,-342.42188,1000.0,-380.1275,68.25126,-291.55984,-461.10397,1000.0,-0.0868595689535141,32.44111251831055,265000,282.80357360839844,,52
-257.90762,49.786243,-197.43701,-319.37567,1000.0,-267.2166,31.40718,-222.29892,-313.57507,1000.0,-0.06322544813156128,23.487117767333984,270000,287.26964259147644,,53
-255.79741,44.323368,-221.73819,-318.39914,1000.0,-228.99275,66.15799,-182.36093,-359.8122,1000.0,-0.03043842688202858,21.791690826416016,275000,291.7509415149689,,54
-212.7393,36.68949,-161.16125,-243.42288,1000.0,-248.37231,27.110546,-218.81009,-294.50812,1000.0,-0.10434838384389877,17.396486282348633,280000,296.20875811576843,,55
-225.15108,21.409258,-195.80496,-246.27696,1000.0,-256.75296,36.78004,-206.4216,-321.00986,1000.0,-0.05088256672024727,12.376226425170898,285000,300.6912658214569,,56
-233.26323,14.589318,-214.06932,-249.41516,1000.0,-235.149,44.203384,-176.05035,-298.32278,1000.0,-0.04216884821653366,14.632866859436035,290000,305.1163568496704,,57
-246.87538,38.99557,-192.87,-283.54996,1000.0,-210.82866,42.635345,-175.5542,-290.88574,1000.0,-0.09244870394468307,15.393834114074707,295000,309.53262591362,,58
-212.34692,24.097277,-182.18463,-241.1647,1000.0,-180.92284,46.031612,-121.114334,-256.1643,1000.0,-0.017630700021982193,11.121794700622559,300000,314.00983119010925,,59
-203.02205,18.191164,-177.79752,-220.01263,1000.0,-196.68753,71.36543,-126.192795,-334.14343,1000.0,-0.06572182476520538,13.930339813232422,305000,318.47107672691345,,60
-183.79834,5.1924367,-177.54369,-190.25757,1000.0,-187.04703,11.49517,-174.46336,-206.46133,1000.0,-0.1301485151052475,11.1979341506958,310000,330.74608612060547,,61
-160.34387,55.441883,-115.672424,-238.48326,1000.0,-194.63501,42.106987,-125.970795,-240.06238,1000.0,-0.05700124427676201,9.846848487854004,315000,335.21998596191406,,62
-160.25403,42.962666,-99.54315,-192.68991,1000.0,-174.02649,19.360352,-142.30753,-199.30386,1000.0,-0.08700542896986008,8.226195335388184,320000,339.6948688030243,,63
-157.94519,7.232779,-148.70699,-166.3671,1000.0,-153.67844,29.220184,-115.65202,-187.95813,1000.0,-0.11920128762722015,9.5088472366333,325000,344.1726450920105,,64
-102.50324,43.230938,-61.890766,-162.3865,1000.0,-147.32594,48.23587,-79.552536,-225.39484,1000.0,-0.11069150269031525,13.009543418884277,330000,348.614444732666,,65
-146.00066,43.79659,-87.58908,-193.04678,1000.0,-125.57092,30.023067,-88.43631,-178.18794,1000.0,-0.1028507873415947,8.4251708984375,335000,352.95231199264526,,66
-141.51878,108.84996,-41.913048,-292.9656,1000.0,-58.224957,43.6193,12.571264,-112.670334,1000.0,-0.07579871267080307,10.274127960205078,340000,357.29154992103577,,67
-204.35109,124.51896,-38.324593,-338.196,1000.0,-163.38467,85.974724,-50.038994,-304.4386,1000.0,-0.06054428592324257,20.391101837158203,345000,361.63213300704956,,68
-184.56136,179.37321,-28.185455,-435.72925,1000.0,-140.25949,139.40836,0.8436947,-399.0612,1000.0,-0.06336118280887604,23.71194076538086,350000,365.97160601615906,,69
-144.05873,105.82428,-1.3910146,-254.54117,1000.0,-135.11884,114.92188,-13.613144,-344.89365,1000.0,-0.11253315210342407,22.201196670532227,355000,370.3289170265198,,70
-124.75312,35.25629,-97.60224,-174.54501,1000.0,-164.97792,147.0042,8.25477,-383.87314,1000.0,-0.03968087583780289,26.142154693603516,360000,382.6155605316162,,71
-150.34706,105.40925,-44.23343,-294.07684,1000.0,-112.38762,79.17088,-9.556648,-222.78336,1000.0,-0.07341412454843521,15.062150001525879,365000,386.8659222126007,,72
-202.97041,75.57619,-144.89828,-309.71338,1000.0,-185.92078,74.68108,-88.62635,-297.36774,1000.0,-0.0616723857820034,19.6539306640625,370000,391.2698714733124,,73
-152.21474,45.31564,-88.936966,-192.64017,1000.0,-193.2124,122.08528,-54.93948,-384.47192,1000.0,-0.05860409885644913,19.391159057617188,375000,395.6113202571869,,74
-206.2918,90.357155,-78.8996,-278.65082,1000.0,-161.27664,125.60305,-16.62193,-340.66135,1000.0,-0.06437727063894272,16.62783432006836,380000,400.04506182670593,,75
-151.1974,85.231415,-57.042793,-263.44965,1000.0,-264.70636,87.205025,-193.78075,-421.47775,1000.0,-0.0495186373591423,22.530656814575195,385000,404.34140038490295,,76
-194.70134,40.25787,-143.88657,-242.3447,1000.0,-171.74239,94.25865,-14.208214,-259.87402,1000.0,-0.07332821190357208,20.217697143554688,390000,408.6253638267517,,77
