Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
13.197369,10.495637,55.0,4.0,13.197368421052632,9.0,4.4239607,20.0,5.0,9.0,0.10026224702596664,25.566604614257812,126,0.9358336925506592,9.0,0
18.345455,12.063797,60.0,4.0,18.345454545454544,15.222222,5.1591945,22.0,8.0,15.222222222222221,-0.0399322435259819,31.508317947387695,263,2.0022690296173096,,1
20.591837,14.014452,81.0,6.0,20.591836734693878,14.777778,4.708804,26.0,10.0,14.777777777777779,-0.08711597323417664,32.2697868347168,396,2.6755402088165283,,2
33.7,14.879851,64.0,11.0,33.7,27.0,13.160547,42.0,5.0,27.0,-0.09031596779823303,143.73512268066406,531,3.3374617099761963,,3
37.962963,18.335316,88.0,15.0,37.96296296296296,44.5,15.239751,58.0,19.0,44.5,-0.030019685626029968,316.6434020996094,709,4.035694599151611,,4
32.21875,15.603954,69.0,11.0,32.21875,23.833334,8.72576,38.0,10.0,23.833333333333332,-0.04608885198831558,110.75442504882812,852,4.736772775650024,,5
39.653847,20.177944,108.0,12.0,39.65384615384615,37.75,5.402546,44.0,31.0,37.75,-0.05576609820127487,128.13169860839844,1003,5.42835545539856,,6
37.703705,15.911364,76.0,16.0,37.7037037037037,26.8,9.987992,38.0,12.0,26.8,-0.06049550324678421,96.11016082763672,1137,6.108784198760986,,7
45.0,16.518764,96.0,15.0,45.0,63.5,22.5,86.0,41.0,63.5,-0.09578739106655121,774.1342163085938,1264,6.786465644836426,,8
60.588234,35.89209,146.0,14.0,60.588235294117645,47.333332,5.2493386,52.0,40.0,47.333333333333336,0.11044768989086151,166.3387451171875,1406,7.4733030796051025,,9
56.68421,24.21842,104.0,16.0,56.68421052631579,65.5,13.5,79.0,52.0,65.5,-0.10015420615673065,448.4618835449219,1537,8.182139873504639,,10
45.260868,17.567799,80.0,15.0,45.26086956521739,68.5,9.5,78.0,59.0,68.5,0.022289985790848732,453.66156005859375,1674,8.875257968902588,,11
57.5,18.312868,98.0,24.0,57.5,44.5,18.006943,66.0,17.0,44.5,-0.04375175014138222,151.04327392578125,1852,9.598193407058716,,12
69.53333,19.558004,110.0,38.0,69.53333333333333,72.5,7.5,80.0,65.0,72.5,-0.06096562370657921,277.4661560058594,1997,10.293697118759155,,13
62.5625,22.508245,93.0,13.0,62.5625,68.5,18.5,87.0,50.0,68.5,0.03743012994527817,433.8541259765625,2134,10.959755182266235,,14
64.17647,27.647434,119.0,12.0,64.17647058823529,46.666668,16.438437,68.0,28.0,46.666666666666664,-0.05506376549601555,358.5648498535156,2274,11.678469896316528,,15
54.94737,20.99492,110.0,28.0,54.94736842105263,56.0,22.992752,87.0,32.0,56.0,-0.06106921657919884,327.2576904296875,2442,12.380106210708618,,16
62.52941,20.36467,101.0,30.0,62.529411764705884,68.0,30.0,98.0,38.0,68.0,-0.02008736878633499,561.7783203125,2578,13.065710306167603,,17
54.263157,20.812046,108.0,21.0,54.26315789473684,73.0,26.0,99.0,47.0,73.0,-0.059292882680892944,476.6499328613281,2724,13.746685028076172,,18
69.46667,34.389664,163.0,33.0,69.46666666666667,58.0,34.127213,105.0,25.0,58.0,-0.08388475328683853,671.151611328125,2898,14.44454574584961,,19
78.92308,34.964733,158.0,36.0,78.92307692307692,73.5,0.5,74.0,73.0,73.5,-0.043789688497781754,338.52740478515625,3045,15.120179176330566,,20
62.0,22.56494,114.0,34.0,62.0,60.0,15.769169,81.0,43.0,60.0,0.08774864673614502,188.79855346679688,3225,15.831777811050415,,21
63.294117,23.272718,117.0,32.0,63.294117647058826,71.5,16.5,88.0,55.0,71.5,-0.01724477857351303,291.92987060546875,3368,16.53249502182007,,22
70.8,34.793102,132.0,14.0,70.8,48.666668,10.338708,63.0,39.0,48.666666666666664,-0.1093415915966034,156.26268005371094,3514,17.21244525909424,,23
79.0,44.11349,202.0,11.0,79.0,55.333332,12.119773,68.0,39.0,55.333333333333336,0.00013938581105321646,265.2242431640625,3680,17.90302348136902,,24
70.933334,25.787508,116.0,25.0,70.93333333333334,53.666668,25.037748,88.0,29.0,53.666666666666664,-0.0464499332010746,398.42071533203125,3841,18.612677574157715,,25
73.42857,28.945057,126.0,31.0,73.42857142857143,94.0,15.0,109.0,79.0,94.0,-0.045961420983076096,731.3592529296875,4029,19.306678533554077,,26
53.57895,22.356716,102.0,13.0,53.578947368421055,64.0,27.471197,102.0,38.0,64.0,0.06593215465545654,637.9195556640625,4221,20.004602909088135,,27
59.444443,21.600468,106.0,16.0,59.44444444444444,77.5,11.5,89.0,66.0,77.5,0.12283647060394287,541.1865844726562,4376,20.711249113082886,,28
62.294117,15.544111,104.0,36.0,62.294117647058826,48.75,36.42372,108.0,10.0,48.75,-0.055084895342588425,752.257568359375,4571,21.426045894622803,,29
60.588234,17.983845,117.0,40.0,60.588235294117645,52.0,24.752104,87.0,34.0,52.0,0.014291519299149513,310.8204650878906,4727,22.10323977470398,,30
53.75,15.936985,80.0,20.0,53.75,64.333336,15.923428,78.0,42.0,64.33333333333333,-0.05695526301860809,233.8436279296875,4920,22.828097820281982,,31
61.764706,20.632725,101.0,10.0,61.76470588235294,66.5,7.5,74.0,59.0,66.5,0.0206544641405344,178.99688720703125,5053,23.50807499885559,,32
64.75,16.746267,86.0,33.0,64.75,65.5,9.5,75.0,56.0,65.5,-0.06305842101573944,118.12385559082031,5184,24.16824507713318,,33
72.35714,19.230211,102.0,33.0,72.35714285714286,66.0,2.0,68.0,64.0,66.0,-0.07417837530374527,126.9093017578125,5316,24.80875825881958,,34
83.23077,29.046787,136.0,36.0,83.23076923076923,77.5,0.5,78.0,77.0,77.5,0.0317201167345047,159.4366455078125,5471,25.49850583076477,,35
100.7,28.372698,138.0,53.0,100.7,53.666668,20.821997,79.0,28.0,53.666666666666664,-0.09700600057840347,333.0589294433594,5632,26.147534132003784,,36
101.6,49.45746,183.0,42.0,101.6,118.0,7.0,125.0,111.0,118.0,-0.03236246854066849,946.476318359375,5868,26.84805655479431,,37
108.3,27.903584,169.0,65.0,108.3,131.0,0.0,131.0,131.0,131.0,0.03705194965004921,952.9221801757812,5999,27.52880597114563,,38
118.77778,52.046513,232.0,51.0,118.77777777777777,138.0,0.0,138.0,138.0,138.0,0.0617230199277401,940.948974609375,6137,28.179484367370605,,39
101.7,49.008266,203.0,33.0,101.7,210.0,0.0,210.0,210.0,210.0,0.011365530081093311,3979.4892578125,6347,28.846025466918945,,40
84.916664,29.187492,132.0,35.0,84.91666666666667,65.0,9.0,74.0,56.0,65.0,-0.1455392986536026,732.6320190429688,6477,29.4814350605011,,41
92.0,32.846752,176.0,41.0,92.0,102.0,28.0,130.0,74.0,102.0,0.004332383628934622,1431.7359619140625,6681,30.166805744171143,,42
94.818184,20.48422,124.0,56.0,94.81818181818181,104.5,28.5,133.0,76.0,104.5,-0.02260100282728672,1054.216552734375,6890,30.87769603729248,,43
91.454544,42.512806,193.0,37.0,91.45454545454545,81.5,28.5,110.0,53.0,81.5,-0.02245745062828064,645.9678955078125,7053,31.526365995407104,,44
91.454544,29.788233,125.0,23.0,91.45454545454545,109.5,10.5,120.0,99.0,109.5,-0.006219794042408466,572.2697143554688,7272,32.21038269996643,,45
71.5,29.473354,131.0,23.0,71.5,63.666668,15.520596,83.0,45.0,63.666666666666664,-0.05369281396269798,298.506591796875,7463,32.882598876953125,,46
74.21429,37.902466,162.0,14.0,74.21428571428571,128.0,0.0,128.0,128.0,128.0,-0.0037518739700317383,912.0678100585938,7591,33.52283811569214,,47
107.0,43.328976,181.0,47.0,107.0,59.333332,8.730534,66.0,47.0,59.333333333333336,-0.05921678990125656,761.4943237304688,7769,34.216426372528076,,48
