Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
12.734178,8.311513,51.0,4.0,12.734177215189874,9.124087,5.458463,36.0,3.0,9.124087591240876,-0.039205100387334824,49.609397888183594,5000,4.0155439376831055,9.124087,0
19.346153,12.373801,71.0,4.0,19.346153846153847,12.264706,8.155566,60.0,3.0,12.264705882352942,-0.05962102860212326,74.47908782958984,10004,8.118422985076904,,1
28.971428,14.341719,65.0,6.0,28.97142857142857,18.266424,12.037889,65.0,3.0,18.266423357664234,-0.037166859954595566,120.45499420166016,15009,11.790632724761963,,2
36.275864,18.33387,77.0,10.0,36.275862068965516,25.095,14.216398,85.0,3.0,25.095,-0.03148443251848221,150.88153076171875,20028,15.459272861480713,,3
46.608696,20.116486,95.0,16.0,46.608695652173914,34.79861,17.861963,101.0,5.0,34.798611111111114,-0.033404093235731125,229.15097045898438,25039,19.141350507736206,,4
52.842106,40.62442,206.0,10.0,52.8421052631579,37.02941,17.262651,93.0,10.0,37.029411764705884,-0.018589792773127556,203.50633239746094,30075,22.7095205783844,,5
49.47619,20.188679,106.0,16.0,49.476190476190474,43.145298,21.460464,155.0,14.0,43.14529914529915,-0.023792361840605736,275.2210998535156,35123,26.378363370895386,,6
58.166668,26.560728,122.0,18.0,58.166666666666664,51.84536,20.651423,120.0,13.0,51.845360824742265,-0.02541990764439106,284.76690673828125,40152,30.065709590911865,,7
51.65,16.288877,89.0,17.0,51.65,52.821053,19.189898,103.0,16.0,52.82105263157895,-0.029022520408034325,250.09202575683594,45170,33.60965037345886,,8
51.9,23.26564,107.0,15.0,51.9,56.50562,25.608603,141.0,12.0,56.50561797752809,0.001327734556980431,318.2061767578125,50199,37.15357232093811,,9
47.68182,20.90321,113.0,15.0,47.68181818181818,53.404255,16.429295,92.0,13.0,53.40425531914894,-0.008025567047297955,191.51919555664062,55219,40.71475052833557,,10
64.0625,22.823969,106.0,33.0,64.0625,53.967743,22.605286,122.0,12.0,53.96774193548387,-0.0035987391602247953,233.87213134765625,60238,44.30130624771118,,11
54.894737,19.330626,96.0,32.0,54.89473684210526,50.14,17.371826,97.0,16.0,50.14,-0.011744101531803608,168.776123046875,65252,47.91502070426941,,12
55.263157,15.189476,86.0,17.0,55.26315789473684,56.255554,20.1332,118.0,23.0,56.25555555555555,-0.006629408802837133,198.07135009765625,70315,51.56267476081848,,13
58.22222,18.032549,101.0,36.0,58.22222222222222,61.47561,25.30315,140.0,24.0,61.47560975609756,-0.021333346143364906,261.734375,75356,55.24590492248535,,14
59.588234,17.908455,92.0,30.0,59.588235294117645,61.120483,26.010841,140.0,18.0,61.12048192771084,-0.013277113437652588,264.2288513183594,80429,58.99585819244385,,15
69.53333,33.65881,158.0,28.0,69.53333333333333,68.24324,26.251802,156.0,23.0,68.24324324324324,0.006244636606425047,280.9609069824219,85479,62.658995628356934,,16
83.76923,21.24637,114.0,45.0,83.76923076923077,68.520546,24.001776,139.0,29.0,68.52054794520548,-0.011129794642329216,258.8825988769531,90481,66.3114960193634,,17
