Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
14.154929,10.065487,64.0,4.0,14.154929577464788,9.302974,5.6990204,41.0,3.0,9.302973977695167,-0.044882576912641525,64.35929107666016,5005,4.400971412658691,9.302974,0
18.071428,11.051595,57.0,5.0,18.071428571428573,12.626263,8.538192,63.0,3.0,12.626262626262626,-0.055289581418037415,112.17969512939453,10005,8.79831600189209,,1
23.952381,14.023708,55.0,5.0,23.952380952380953,18.248175,12.13716,70.0,4.0,18.248175182481752,-0.039571117609739304,191.28794860839844,15005,12.427688837051392,,2
28.942858,17.63753,72.0,9.0,28.942857142857143,25.261307,16.346807,110.0,5.0,25.261306532663315,-0.01048384141176939,364.6282043457031,20032,16.071699142456055,,3
37.714287,19.261095,86.0,14.0,37.714285714285715,33.546665,18.013916,94.0,7.0,33.54666666666667,-0.029411155730485916,412.1011047363281,25064,19.75429129600525,,4
45.454544,27.768078,114.0,11.0,45.45454545454545,38.661537,20.750366,108.0,7.0,38.66153846153846,-0.016408970579504967,551.0157470703125,30090,23.351994276046753,,5
60.0,27.608608,128.0,27.0,60.0,45.144146,21.751192,140.0,9.0,45.14414414414414,-0.029168561100959778,670.126708984375,35101,26.962318420410156,,6
58.82353,19.35196,103.0,20.0,58.8235294117647,51.938774,26.268944,139.0,14.0,51.93877551020408,-0.032502464950084686,935.2070922851562,40191,30.636815547943115,,7
64.125,23.108103,116.0,23.0,64.125,59.14118,33.323776,200.0,10.0,59.141176470588235,-0.017097851261496544,1502.3765869140625,45218,34.23439002037048,,8
54.526318,20.775414,99.0,19.0,54.526315789473685,58.534885,22.229614,124.0,12.0,58.53488372093023,-0.000814135477412492,681.0210571289062,50252,37.82650351524353,,9
46.454544,14.6185665,73.0,16.0,46.45454545454545,60.638554,28.555836,151.0,12.0,60.63855421686747,-0.026435745880007744,992.1627807617188,55285,41.387243032455444,,10
67.066666,25.44397,140.0,38.0,67.06666666666666,58.15116,25.623625,148.0,14.0,58.151162790697676,-0.016870515421032906,771.6795043945312,60286,44.97939920425415,,11
