Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
13.171053,9.442886,45.0,4.0,13.171052631578947,9.149909,5.414738,40.0,3.0,9.149908592321754,9.300851821899414,58.84882354736328,5005,3.827507734298706,9.149909,0
19.037735,9.866969,51.0,5.0,19.037735849056602,12.1727495,7.724064,54.0,3.0,12.172749391727494,9.84793758392334,85.58243560791016,10008,7.625950574874878,,1
25.74359,13.271751,60.0,7.0,25.743589743589745,17.432056,11.006875,59.0,3.0,17.43205574912892,11.781106948852539,148.1577606201172,15011,10.969763040542603,,2
28.571428,13.38717,53.0,9.0,28.571428571428573,24.935644,17.137499,121.0,4.0,24.935643564356436,16.71662139892578,383.2125244140625,20048,14.247992277145386,,3
42.875,25.784866,138.0,13.0,42.875,30.506098,15.190456,84.0,6.0,30.50609756097561,14.321532249450684,291.9399719238281,25051,17.502803564071655,,4
48.95238,34.67327,172.0,14.0,48.95238095238095,37.358208,17.015972,96.0,10.0,37.35820895522388,16.372764587402344,384.13214111328125,30057,20.765827655792236,,5
56.42105,21.880814,90.0,16.0,56.421052631578945,46.314816,18.978863,111.0,16.0,46.31481481481482,19.760395050048828,543.5929565429688,35059,24.047594785690308,,6
53.63158,22.776281,103.0,16.0,53.63157894736842,49.116505,19.285439,133.0,11.0,49.116504854368934,18.451183319091797,554.368896484375,40118,27.386244773864746,,7
50.9,18.441528,84.0,20.0,50.9,51.204082,18.498184,118.0,16.0,51.204081632653065,16.253847122192383,533.8091430664062,45136,30.667104244232178,,8
59.764706,33.68108,152.0,11.0,59.76470588235294,52.926315,26.715359,165.0,9.0,52.92631578947368,19.853561401367188,855.5567016601562,50164,33.97068977355957,,9
53.0,26.614202,112.0,14.0,53.0,54.978024,21.707333,122.0,13.0,54.97802197802198,15.019972801208496,599.45166015625,55167,37.19920206069946,,10
73.42857,36.665894,158.0,13.0,73.42857142857143,57.86207,25.364094,170.0,11.0,57.86206896551724,16.70136833190918,786.7471923828125,60201,40.452484369277954,,11
50.55,20.570549,111.0,21.0,50.55,58.88372,23.93082,153.0,12.0,58.883720930232556,14.065650939941406,689.7195434570312,65265,43.80725169181824,,12
67.86667,23.821186,107.0,20.0,67.86666666666666,61.901234,23.181305,142.0,16.0,61.901234567901234,13.129853248596191,660.9426879882812,70279,47.13048028945923,,13
71.6,30.812984,138.0,24.0,71.6,68.9589,24.057259,142.0,38.0,68.95890410958904,15.375994682312012,790.4745483398438,75313,50.488524198532104,,14
77.15385,26.167643,121.0,32.0,77.15384615384616,80.22222,33.361626,194.0,29.0,80.22222222222223,24.350374221801758,1466.8543701171875,80367,53.786701917648315,,15
90.083336,25.496595,124.0,31.0,90.08333333333333,87.06896,32.498203,191.0,19.0,87.06896551724138,25.507970809936523,1459.0445556640625,85417,57.11536240577698,,16
131.125,53.66432,236.0,46.0,131.125,93.703705,34.063465,212.0,34.0,93.70370370370371,29.315279006958008,1630.51611328125,90477,60.432950019836426,,17
129.88889,45.40055,218.0,68.0,129.88888888888889,100.6,30.80195,182.0,39.0,100.6,28.941862106323242,1557.2091064453125,95507,63.73576545715332,,18
100.72727,53.2884,220.0,30.0,100.72727272727273,101.34,29.883512,169.0,36.0,101.34,26.137840270996094,1422.6630859375,100574,67.0385901927948,,19
112.7,25.57753,161.0,74.0,112.7,113.347824,36.9113,255.0,46.0,113.34782608695652,33.88691329956055,2215.823486328125,105788,70.43177533149719,,20
129.0,40.40421,227.0,93.0,129.0,98.47059,33.96039,175.0,42.0,98.47058823529412,17.451786041259766,1470.38232421875,110810,73.71073365211487,,21
102.0,33.879196,181.0,40.0,102.0,97.40385,27.16917,161.0,32.0,97.40384615384616,10.794425964355469,1133.43896484375,115875,77.00561332702637,,22
106.1,25.793215,142.0,48.0,106.1,102.69388,42.56913,199.0,22.0,102.6938775510204,20.336971282958984,1759.088623046875,120907,80.34312844276428,,23
110.8,13.962808,134.0,88.0,110.8,99.31373,37.613354,189.0,37.0,99.31372549019608,15.435317993164062,1407.550048828125,125972,83.72831892967224,,24
132.625,39.395233,202.0,87.0,132.625,105.166664,37.136196,184.0,27.0,105.16666666666667,19.83152961730957,1387.2886962890625,131020,87.07606101036072,,25
113.111115,40.341446,181.0,49.0,113.11111111111111,115.61364,40.1187,235.0,39.0,115.61363636363636,20.1835880279541,1969.7677001953125,136107,90.41934537887573,,26
136.25,33.214268,193.0,77.0,136.25,114.72727,39.70251,195.0,23.0,114.72727272727273,18.128890991210938,1809.2060546875,141155,93.67394161224365,,27
134.75,30.173456,198.0,99.0,134.75,126.2,52.87636,337.0,32.0,126.2,27.75337791442871,3433.237060546875,146203,96.90342807769775,,28
130.25,31.661293,169.0,83.0,130.25,136.62163,36.109707,226.0,49.0,136.6216216216216,28.74481201171875,2114.20654296875,151258,100.14235067367554,,29
111.2,19.630589,134.0,77.0,111.2,137.45946,40.26775,270.0,71.0,137.45945945945945,29.6156005859375,2440.651611328125,156344,103.51162838935852,,30
147.14285,29.083273,199.0,108.0,147.14285714285714,139.41667,42.855297,271.0,72.0,139.41666666666666,28.137882232666016,2530.896240234375,161363,106.7922375202179,,31
166.28572,29.441051,224.0,131.0,166.28571428571428,141.94444,47.565712,260.0,68.0,141.94444444444446,31.999465942382812,2698.236572265625,166473,110.17471837997437,,32
114.333336,8.178562,126.0,98.0,114.33333333333333,161.93549,51.305492,298.0,85.0,161.93548387096774,38.88774490356445,3872.008544921875,171493,113.45377016067505,,33
183.33333,87.63307,367.0,105.0,183.33333333333334,161.67741,59.749146,363.0,90.0,161.67741935483872,33.75684356689453,4838.18603515625,176505,116.75071382522583,,34
128.125,44.264652,177.0,22.0,128.125,161.34375,43.50762,250.0,64.0,161.34375,25.54081916809082,3023.807861328125,181668,120.08798742294312,,35
159.28572,32.775055,193.0,93.0,159.28571428571428,159.46875,55.54389,399.0,75.0,159.46875,35.68262481689453,3910.95361328125,186771,123.37452816963196,,36
221.4,37.398396,259.0,157.0,221.4,164.12903,65.990585,435.0,73.0,164.1290322580645,46.68550109863281,5014.32080078125,191859,126.63801455497742,,37
170.0,46.804558,261.0,113.0,170.0,197.46153,80.86848,428.0,64.0,197.46153846153845,55.309322357177734,7660.501953125,196993,129.8837640285492,,38
154.57143,17.450806,183.0,130.0,154.57142857142858,154.57576,48.49057,299.0,53.0,154.57575757575756,5.913482666015625,3175.326904296875,202094,133.1510715484619,,39
177.5,32.37154,220.0,117.0,177.5,136.72974,37.393917,211.0,39.0,136.72972972972974,-12.666165351867676,2239.8779296875,207153,136.39944171905518,,40
206.16667,30.399652,252.0,163.0,206.16666666666666,159.28125,40.569565,259.0,51.0,159.28125,0.20127332210540771,2822.993408203125,212250,139.75586771965027,,41
264.5,35.302265,306.0,229.0,264.5,244.63637,112.55082,549.0,44.0,244.63636363636363,81.28864288330078,15718.4912109375,217632,143.22768259048462,,42
188.16667,39.151062,244.0,126.0,188.16666666666666,256.45,58.01937,383.0,133.0,256.45,74.43869018554688,8522.8232421875,222761,146.5659465789795,,43
477.66666,144.11646,655.0,302.0,477.6666666666667,255.85,52.684223,379.0,182.0,255.85,74.28681945800781,7731.36376953125,227878,150.08655333518982,,44
297.75,97.863106,431.0,160.0,297.75,471.81818,128.60144,633.0,239.0,471.8181818181818,207.4302520751953,50122.63671875,233068,153.49964928627014,,45
284.5,26.949026,306.0,239.0,284.5,270.6316,110.15024,439.0,21.0,270.63157894736844,75.77971649169922,14012.0859375,238210,156.86678314208984,,46
277.75,104.82932,391.0,138.0,277.75,252.2,70.377975,334.0,85.0,252.2,42.848602294921875,8292.08203125,243254,160.1450526714325,,47
741.5,107.5,849.0,634.0,741.5,312.41177,113.431526,511.0,78.0,312.4117647058824,90.35578155517578,18344.365234375,248565,163.77355313301086,,48
902.5,97.5,1000.0,805.0,902.5,413.0,239.53795,1000.0,91.0,413.0,205.65235900878906,75416.453125,254347,167.8218891620636,,49
472.0,373.82437,1000.0,185.0,472.0,660.625,359.59973,1000.0,77.0,660.625,382.8787536621094,182788.234375,259632,171.3965928554535,,50
810.0,190.0,1000.0,620.0,810.0,820.7143,140.56387,1000.0,660.0,820.7142857142857,380.5248107910156,158198.90625,265377,175.27674221992493,,51
422.75,350.84637,1000.0,103.0,422.75,729.2857,348.8089,1000.0,94.0,729.2857142857143,404.075439453125,187888.484375,270482,178.87318062782288,,52
1000.0,0.0,1000.0,1000.0,1000.0,444.41666,240.86354,939.0,158.0,444.4166666666667,196.0928955078125,75933.21875,275815,182.22888135910034,,53
553.3333,362.49536,825.0,41.0,553.3333333333334,556.55554,278.58456,1000.0,164.0,556.5555555555555,265.3671875,108409.921875,280824,185.752295255661,,54
690.0,310.0,1000.0,380.0,690.0,635.0,371.97882,1000.0,106.0,635.0,352.04046630859375,172085.75,285904,189.16995429992676,,55
498.66666,360.17157,1000.0,170.0,498.6666666666667,779.4286,249.14934,1000.0,324.0,779.4285714285714,347.8879699707031,159621.71875,291360,192.84024715423584,,56
1000.0,0.0,1000.0,1000.0,1000.0,651.0,343.60223,1000.0,204.0,651.0,323.7492980957031,156797.734375,296568,196.14540600776672,,57
