Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
33.0,11.027239,56.0,20.0,33.0,0,,,,,,,,
,,,,,31,32.0,32,,,,,,
,,,,,62,31.0,31,,,,,,
,,,,,76,14.0,14,,,,,,
,,,,,94,18.0,18,,,,,,
,,,,,108,14.0,14,,,,,,
,,,,,122,14.0,14,,,,,,
,,,,,140,18.0,18,,,,,,
,,,,,154,14.0,14,,,,,,
,,,,,179,25.0,25,,,,,,
,,,,,217,38.0,38,,,,,,
,,,,,242,25.0,25,,,,,,
,,,,,259,17.0,17,,,,,,
,,,,,309,50.0,50,,,,,,
,,,,,340,31.0,31,,,,,,
,,,,,354,14.0,14,,,,,,
,,,,,389,35.0,35,,,,,,
,,,,,428,39.0,39,,,,,,
,,,,,450,22.0,22,,,,,,
,,,,,464,14.0,14,,,,,,
,,,,,486,22.0,22,,,,,,
,,,,,513,27.0,27,,,,,,
,,,,,554,41.0,41,,,,,,
,,,,,576,22.0,22,,,,,,
,,,,,614,38.0,38,,,,,,
,,,,,641,27.0,27,,,,,,
,,,,,657,16.0,16,,,,,,
,,,,,681,24.0,24,,,,,,
,,,,,729,48.0,48,,,,,,
,,,,,748,19.0,19,,,,,,
,,,,,770,22.0,22,,,,,,
,,,,,790,20.0,20,,,,,,
,,,,,804,14.0,14,,,,,,
,,,,,836,32.0,32,,,,,,
,,,,,868,32.0,32,,,,,,
,,,,,908,40.0,40,,,,,,
,,,,,923,15.0,15,,,,,,
,,,,,934,11.0,11,,,,,,
,,,,,967,33.0,33,,,,,,
,,,,,985,18.0,18,,,,,,
,,,,,1000,,,1.0652637481689453,0.07197132706642151,1.100124478340149,2.813838481903076,0.97,0.0005
,,,,,1010,25.0,25,,,,,,
,,,,,1046,36.0,36,,,,,,
,,,,,1091,45.0,45,,,,,,
,,,,,1109,18.0,18,,,,,,
,,,,,1126,17.0,17,,,,,,
,,,,,1159,33.0,33,,,,,,
,,,,,1180,21.0,21,,,,,,
,,,,,1204,24.0,24,,,,,,
,,,,,1214,10.0,10,,,,,,
,,,,,1230,16.0,16,,,,,,
,,,,,1291,61.0,61,,,,,,
,,,,,1315,24.0,24,,,,,,
,,,,,1405,90.0,90,,,,,,
,,,,,1424,19.0,19,,,,,,
,,,,,1442,18.0,18,,,,,,
,,,,,1460,18.0,18,,,,,,
,,,,,1478,18.0,18,,,,,,
,,,,,1490,12.0,12,,,,,,
,,,,,1526,36.0,36,,,,,,
,,,,,1548,22.0,22,,,,,,
,,,,,1567,19.0,19,,,,,,
,,,,,1626,59.0,59,,,,,,
,,,,,1640,14.0,14,,,,,,
,,,,,1656,16.0,16,,,,,,
,,,,,1675,19.0,19,,,,,,
,,,,,1686,11.0,11,,,,,,
,,,,,1704,18.0,18,,,,,,
,,,,,1719,15.0,15,,,,,,
,,,,,1744,25.0,25,,,,,,
,,,,,1757,13.0,13,,,,,,
,,,,,1771,14.0,14,,,,,,
,,,,,1789,18.0,18,,,,,,
