Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-235.83528,81.06584,-115.54251,-372.47446,1000.0,0,,,,,,,,,,,,
,,,,,999,-371.61383,1000,,,,,,,,,,
,,,,,1999,-341.8501,1000,,,,,,,,,,
,,,,,2999,-282.64053,1000,,,,,,,,,,
,,,,,3999,-157.06827,1000,,,,,,,,,,
,,,,,4999,-288.9978,1000,,,,,,,,,,
-247.0585,71.15068,-146.87103,-385.37277,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-208.54265,1000,,,,,,,,,,
,,,,,6999,-213.05339,1000,,,,,,,,,,
,,,,,7999,-234.98071,1000,,,,,,,,,,
,,,,,8999,-165.26581,1000,,,,,,,,,,
,,,,,9999,-238.89226,1000,,,,,,,,,,
-249.59555,75.2221,-155.88147,-368.1673,1000.0,10000,,,-0.0012168139219284058,3.743771553039551,0.49769940972328186,-0.002545042661949992,-0.22296416759490967,0.009999999776482582,-44.62782287597656,0.0003,0.0003,0.009998997673392296
,,,,,10999,-392.4844,1000,,,,,,,,,,
,,,,,11000,,,-1.4162931442260742,-5.3707427978515625,0.3661925792694092,0.6942837238311768,0.7135423421859741,0.009474484249949455,-6.148953437805176,0.0003,0.0003,0.009473887272179127
,,,,,11999,-348.78604,1000,,,,,,,,,,
,,,,,12000,,,-2.19002103805542,-4.589241981506348,0.494261771440506,1.7880672216415405,1.8119443655014038,0.008756667375564575,-7.569601058959961,0.0003,0.0003,0.00875583291053772
,,,,,12999,-225.31178,1000,,,,,,,,,,
,,,,,13000,,,-2.498476266860962,-4.5251994132995605,0.5573506355285645,2.134622573852539,2.1073360443115234,0.008048470132052898,-5.889206886291504,0.0003,0.0003,0.008047782815992832
,,,,,13999,-239.065,1000,,,,,,,,,,
,,,,,14000,,,-3.6687204837799072,-5.995912075042725,0.5230889320373535,3.1024937629699707,3.268845558166504,0.007795717101544142,1.0670576095581055,0.0003,0.0003,0.007795809768140316
,,,,,14999,-201.01846,1000,,,,,,,,,,
-152.05716,37.48703,-105.248764,-213.06241,1000.0,15000,,,-5.167543411254883,-6.441946029663086,0.4753383696079254,4.400012016296387,4.507110595703125,0.008204308338463306,3.5757718086242676,0.0003,0.0003,0.008204860612750053
,,,,,15999,-125.63482,1000,,,,,,,,,,
,,,,,16000,,,-7.863265514373779,-6.559536933898926,0.4097525477409363,7.051718235015869,7.081279277801514,0.008626916445791721,3.378070831298828,0.0003,0.0003,0.00862722098827362
,,,,,16999,-203.69267,1000,,,,,,,,,,
,,,,,17000,,,-8.814037322998047,-6.118987083435059,0.4653543531894684,8.067169189453125,8.223828315734863,0.009261514991521835,2.9111671447753906,0.0003,0.0003,0.009262433275580406
,,,,,17999,-274.62256,1000,,,,,,,,,,
,,,,,18000,,,-10.666860580444336,-6.12774658203125,0.50499427318573,10.012910842895508,9.853815078735352,0.009637618437409401,1.5764349699020386,0.0003,0.0003,0.009637732990086079
,,,,,18999,-30.795996,1000,,,,,,,,,,
,,,,,19000,,,-12.112700462341309,-6.1132588386535645,0.3606339693069458,11.434614181518555,11.467609405517578,0.009393211454153061,-1.3511314392089844,0.0003,0.0003,0.009392835199832916
,,,,,19999,-47.051853,1000,,,,,,,,,,
-12.021024,50.570637,56.434338,-114.9342,1000.0,20000,,,-11.887588500976562,-5.846434593200684,0.37740832567214966,11.167028427124023,11.250896453857422,0.009130088612437248,-0.7627648711204529,0.0003,0.0003,0.009130023419857025
,,,,,20999,-22.450388,1000,,,,,,,,,,
,,,,,21000,,,-14.461865425109863,-6.374256610870361,0.42757606506347656,13.826159477233887,13.750482559204102,0.009577229619026184,2.1622471809387207,0.0003,0.0003,0.009578385390341282
,,,,,21999,-112.57066,1000,,,,,,,,,,
,,,,,22000,,,-16.45825958251953,-5.843914985656738,0.35172080993652344,15.6781644821167,15.664644241333008,0.00992941576987505,0.1543676257133484,0.0003,0.0003,0.009929027408361435
,,,,,22999,169.28836,1000,,,,,,,,,,
,,,,,23000,,,-14.840832710266113,-5.9225029945373535,0.42950502038002014,14.19190788269043,14.065534591674805,0.010026666335761547,-0.7317101955413818,0.0003,0.0003,0.01002634596079588
,,,,,23999,28.987968,1000,,,,,,,,,,
,,,,,24000,,,-15.312750816345215,-5.74967098236084,0.45646801590919495,14.726032257080078,14.70346450805664,0.009988400153815746,-0.1621185839176178,0.0003,0.0003,0.009988495148718357
