Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-249.4677,58.22146,-120.835335,-355.22876,1000.0,0,,,,,,,,,,
,,,,,999,-232.34702,1000,,,,,,,,
,,,,,1999,-239.92561,1000,,,,,,,,
,,,,,2999,-343.36652,1000,,,,,,,,
,,,,,3999,-319.9278,1000,,,,,,,,
,,,,,4999,-275.81204,1000,,,,,,,,
-222.14998,48.256683,-161.27051,-315.76694,1000.0,5000,,,,,,,,,,
,,,,,5999,-263.9465,1000,,,,,,,,
,,,,,6999,-252.72856,1000,,,,,,,,
,,,,,7999,-291.83173,1000,,,,,,,,
,,,,,8999,-209.11049,1000,,,,,,,,
,,,,,9999,-304.08057,1000,,,,,,,,
-245.22615,62.872192,-156.26357,-335.24637,1000.0,10000,,,-1.8988972902297974,3.75388765335083,2.6919374465942383,-0.019459843635559082,1.4496612548828125,0.0003,0.0003,0.5
,,,,,10999,-263.7177,1000,,,,,,,,
,,,,,11000,,,-11.22653579711914,3.9752609729766846,0.7135241031646729,9.078893661499023,9.11680793762207,0.0003,0.0003,0.5
,,,,,11999,-277.53265,1000,,,,,,,,
,,,,,12000,,,-19.8627986907959,4.027470588684082,0.9271389245986938,17.719688415527344,17.72201919555664,0.0003,0.0003,0.5
,,,,,12999,-187.76514,1000,,,,,,,,
,,,,,13000,,,-27.645776748657227,3.931784152984619,1.0125150680541992,25.51779556274414,25.445219039916992,0.0003,0.0003,0.5
,,,,,13999,-95.47791,1000,,,,,,,,
,,,,,14000,,,-35.51644515991211,3.897468090057373,1.1381338834762573,33.44038391113281,33.354736328125,0.0003,0.0003,0.5
,,,,,14999,-84.34411,1000,,,,,,,,
-132.22687,45.427204,-72.13229,-229.81908,1000.0,15000,,,-43.06046676635742,3.8010752201080322,1.1976876258850098,40.928009033203125,41.060508728027344,0.0003,0.0003,0.5
,,,,,15999,-111.4262,1000,,,,,,,,
,,,,,16000,,,-50.230690002441406,3.8041481971740723,1.3165236711502075,48.115936279296875,48.01335144042969,0.0003,0.0003,0.5
,,,,,16999,-78.022575,1000,,,,,,,,
,,,,,17000,,,-57.6314582824707,3.840510129928589,1.0832138061523438,55.47458267211914,55.56495666503906,0.0003,0.0003,0.5
,,,,,17999,-161.81895,1000,,,,,,,,
,,,,,18000,,,-64.50357055664062,3.6916580200195312,1.0045967102050781,62.31808853149414,62.2898063659668,0.0003,0.0003,0.5
,,,,,18999,-196.79616,1000,,,,,,,,
,,,,,19000,,,-70.89319610595703,3.7221546173095703,1.2005631923675537,68.61930847167969,68.60120391845703,0.0003,0.0003,0.5
,,,,,19999,-199.66226,1000,,,,,,,,
-200.69717,25.432476,-166.98546,-250.09941,1000.0,20000,,,-76.92594909667969,3.757331371307373,0.9216033816337585,74.65225219726562,74.86148834228516,0.0003,0.0003,0.5
,,,,,20999,-176.77167,1000,,,,,,,,
,,,,,21000,,,-82.56277465820312,3.819451332092285,1.1708728075027466,80.32324981689453,80.32334899902344,0.0003,0.0003,0.5
,,,,,21999,-40.196148,1000,,,,,,,,
,,,,,22000,,,-88.68000030517578,3.6545636653900146,1.1454423666000366,86.46633911132812,86.54694366455078,0.0003,0.0003,0.5
,,,,,22999,-113.10242,1000,,,,,,,,
,,,,,23000,,,-93.980712890625,3.7658767700195312,0.7518558502197266,91.7154541015625,91.71416473388672,0.0003,0.0003,0.5
,,,,,23999,-223.54791,1000,,,,,,,,
,,,,,24000,,,-98.1730728149414,3.7001559734344482,0.9851812124252319,96.12872314453125,96.08412170410156,0.0003,0.0003,0.5
,,,,,24999,-182.68483,1000,,,,,,,,
18.385794,126.39912,186.86981,-144.41522,1000.0,25000,,,-103.39018249511719,3.919558525085449,0.8931994438171387,101.2040023803711,101.2339859008789,0.0003,0.0003,0.5
,,,,,25999,130.60107,1000,,,,,,,,
,,,,,26000,,,-108.90116119384766,3.7601003646850586,0.8319350481033325,106.6347427368164,106.774658203125,0.0003,0.0003,0.5
,,,,,26999,212.8574,1000,,,,,,,,
,,,,,27000,,,-113.06158447265625,3.718935489654541,0.8499184846878052,110.89201354980469,110.90802764892578,0.0003,0.0003,0.5
,,,,,27999,-115.47005,1000,,,,,,,,
,,,,,28000,,,-116.68923950195312,3.7060189247131348,0.811764121055603,114.56890106201172,114.67112731933594,0.0003,0.0003,0.5
,,,,,28999,11.316277,1000,,,,,,,,
,,,,,29000,,,-120.97539520263672,3.7304513454437256,0.726163387298584,118.78977966308594,118.74551391601562,0.0003,0.0003,0.5
,,,,,29999,-29.920218,1000,,,,,,,,
165.09554,200.8413,408.94138,-159.74524,1000.0,30000,,,-124.92085266113281,3.772642135620117,0.8632282614707947,122.63580322265625,122.62583923339844,0.0003,0.0003,0.5
,,,,,30999,307.0054,1000,,,,,,,,
