Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
17.236258,6.6534257,30.673111,7.162063,18.8,0,,,,,,,,,,
,,,,,25,31.025293,26,,,,,,,,
,,,,,37,8.746263,12,,,,,,,,
,,,,,69,18.23896,32,,,,,,,,
,,,,,92,19.662031,23,,,,,,,,
,,,,,117,21.798557,25,,,,,,,,
,,,,,151,9.793084,34,,,,,,,,
,,,,,192,52.683968,41,,,,,,,,
,,,,,204,7.6295404,12,,,,,,,,
,,,,,235,24.14022,31,,,,,,,,
,,,,,259,17.086763,24,,,,,,,,
,,,,,272,10.838416,13,,,,,,,,
,,,,,294,17.56401,22,,,,,,,,
,,,,,308,12.762646,14,,,,,,,,
,,,,,324,14.605755,16,,,,,,,,
,,,,,336,8.044136,12,,,,,,,,
,,,,,365,28.189188,29,,,,,,,,
,,,,,391,11.52327,26,,,,,,,,
,,,,,416,29.882563,25,,,,,,,,
,,,,,431,9.880817,15,,,,,,,,
,,,,,446,8.066816,15,,,,,,,,
,,,,,470,19.573475,24,,,,,,,,
,,,,,484,10.612958,14,,,,,,,,
,,,,,513,25.512451,29,,,,,,,,
,,,,,524,10.267995,11,,,,,,,,
,,,,,546,15.619626,22,,,,,,,,
,,,,,555,5.977292,9,,,,,,,,
,,,,,571,12.249052,16,,,,,,,,
,,,,,581,5.642299,10,,,,,,,,
,,,,,608,16.813257,27,,,,,,,,
,,,,,622,10.860296,14,,,,,,,,
,,,,,659,21.752129,37,,,,,,,,
,,,,,678,19.382706,19,,,,,,,,
,,,,,693,15.006838,15,,,,,,,,
,,,,,716,14.444357,23,,,,,,,,
,,,,,728,8.894927,12,,,,,,,,
,,,,,754,22.931644,26,,,,,,,,
,,,,,762,5.560231,8,,,,,,,,
,,,,,777,8.692693,15,,,,,,,,
,,,,,790,10.371652,13,,,,,,,,
,,,,,803,6.7652617,13,,,,,,,,
,,,,,821,10.592423,18,,,,,,,,
,,,,,848,19.024588,27,,,,,,,,
,,,,,864,14.817105,16,,,,,,,,
,,,,,885,25.768156,21,,,,,,,,
,,,,,915,16.952814,30,,,,,,,,
,,,,,935,15.970804,20,,,,,,,,
,,,,,944,6.6522093,9,,,,,,,,
,,,,,963,16.173492,19,,,,,,,,
,,,,,975,9.371185,12,,,,,,,,
,,,,,993,13.912279,18,,,,,,,,
,,,,,1009,13.421503,16,,,,,,,,
,,,,,1033,20.96926,24,,,,,,,,
,,,,,1046,10.095027,13,,,,,,,,
,,,,,1076,29.685198,30,,,,,,,,
,,,,,1087,7.124926,11,,,,,,,,
,,,,,1120,25.025919,33,,,,,,,,
,,,,,1147,19.388117,27,,,,,,,,
,,,,,1179,22.599216,32,,,,,,,,
,,,,,1224,22.46452,45,,,,,,,,
,,,,,1286,67.07642,62,,,,,,,,
,,,,,1329,25.338095,43,,,,,,,,
,,,,,1349,13.929413,20,,,,,,,,
,,,,,1360,8.759815,11,,,,,,,,
,,,,,1455,112.17964,95,,,,,,,,
,,,,,1466,8.90755,11,,,,,,,,
,,,,,1486,11.435947,20,,,,,,,,
,,,,,1506,20.78652,20,,,,,,,,
,,,,,1533,18.014675,27,,,,,,,,
,,,,,1578,21.492002,45,,,,,,,,
,,,,,1592,7.6297226,14,,,,,,,,
,,,,,1613,14.255801,21,,,,,,,,
,,,,,1646,22.572237,33,,,,,,,,
,,,,,1665,11.801167,19,,,,,,,,
,,,,,1681,15.34815,16,,,,,,,,
,,,,,1702,17.888056,21,,,,,,,,
,,,,,1727,31.939438,25,,,,,,,,
,,,,,1739,5.2878613,12,,,,,,,,
,,,,,1752,12.278297,13,,,,,,,,
,,,,,1767,8.930874,15,,,,,,,,
,,,,,1792,7.111319,25,,,,,,,,
,,,,,1813,17.969135,21,,,,,,,,
,,,,,1836,24.595894,23,,,,,,,,
,,,,,1865,19.033716,29,,,,,,,,
,,,,,1885,19.362144,20,,,,,,,,
,,,,,1900,7.0622644,15,,,,,,,,
,,,,,1922,18.749193,22,,,,,,,,
,,,,,1934,9.568693,12,,,,,,,,
,,,,,1956,22.343187,22,,,,,,,,
,,,,,2009,84.09086,53,,,,,,,,
,,,,,2020,7.3356366,11,,,,,,,,
,,,,,2082,87.1506,62,,,,,,,,
,,,,,2093,8.927327,11,,,,,,,,
,,,,,2107,11.270201,14,,,,,,,,
,,,,,2131,10.686582,24,,,,,,,,
,,,,,2144,11.196541,13,,,,,,,,
,,,,,2176,38.36382,32,,,,,,,,
,,,,,2201,18.844162,25,,,,,,,,
,,,,,2218,17.11207,17,,,,,,,,
,,,,,2241,18.546928,23,,,,,,,,
,,,,,2266,21.45755,25,,,,,,,,
,,,,,2279,11.357692,13,,,,,,,,
,,,,,2293,11.456092,14,,,,,,,,
,,,,,2326,21.874712,33,,,,,,,,
,,,,,2347,13.625357,21,,,,,,,,
,,,,,2381,24.32191,34,,,,,,,,
,,,,,2396,10.816324,15,,,,,,,,
,,,,,2404,6.0815825,8,,,,,,,,
,,,,,2444,46.85202,40,,,,,,,,
,,,,,2483,55.884373,39,,,,,,,,
,,,,,2519,25.882463,36,,,,,,,,
,,,,,2529,7.954913,10,,,,,,,,
,,,,,2544,11.369041,15,,,,,,,,
,,,,,2571,22.923233,27,,,,,,,,
,,,,,2584,10.7104,13,,,,,,,,
,,,,,2608,9.83028,24,,,,,,,,
,,,,,2640,19.466269,32,,,,,,,,
,,,,,2652,8.339843,12,,,,,,,,
,,,,,2664,10.538811,12,,,,,,,,
,,,,,2678,9.472925,14,,,,,,,,
,,,,,2689,8.867906,11,,,,,,,,
,,,,,2707,9.95341,18,,,,,,,,
,,,,,2732,12.963376,25,,,,,,,,
,,,,,2743,9.317963,11,,,,,,,,
,,,,,2767,17.287083,24,,,,,,,,
,,,,,2778,5.5826545,11,,,,,,,,
,,,,,2803,22.915867,25,,,,,,,,
,,,,,2814,5.6311293,11,,,,,,,,
,,,,,2830,12.08925,16,,,,,,,,
,,,,,2843,10.484544,13,,,,,,,,
,,,,,2874,9.887486,31,,,,,,,,
,,,,,2891,9.739416,17,,,,,,,,
,,,,,2917,20.167088,26,,,,,,,,
,,,,,2939,21.211079,22,,,,,,,,
,,,,,2954,7.7251263,15,,,,,,,,
,,,,,2972,13.212557,18,,,,,,,,
,,,,,2998,16.075226,26,,,,,,,,
,,,,,3021,20.901062,23,,,,,,,,
,,,,,3034,6.1669455,13,,,,,,,,
,,,,,3063,26.39942,29,,,,,,,,
,,,,,3075,7.239839,12,,,,,,,,
,,,,,3110,26.594784,35,,,,,,,,
,,,,,3133,23.76545,23,,,,,,,,
,,,,,3146,9.872058,13,,,,,,,,
,,,,,3171,22.895317,25,,,,,,,,
,,,,,3192,21.546614,21,,,,,,,,
,,,,,3224,11.582722,32,,,,,,,,
,,,,,3239,11.303443,15,,,,,,,,
,,,,,3250,8.504141,11,,,,,,,,
,,,,,3270,16.505827,20,,,,,,,,
,,,,,3293,21.00417,23,,,,,,,,
,,,,,3312,15.421093,19,,,,,,,,
,,,,,3334,24.113464,22,,,,,,,,
,,,,,3358,18.436928,24,,,,,,,,
,,,,,3377,11.840798,19,,,,,,,,
,,,,,3395,16.542894,18,,,,,,,,
,,,,,3407,8.936924,12,,,,,,,,
,,,,,3442,48.37801,35,,,,,,,,
,,,,,3453,6.7912173,11,,,,,,,,
,,,,,3469,8.217653,16,,,,,,,,
,,,,,3489,7.8943768,20,,,,,,,,
,,,,,3511,12.426926,22,,,,,,,,
,,,,,3553,38.02024,42,,,,,,,,
,,,,,3589,46.237793,36,,,,,,,,
,,,,,3606,9.790825,17,,,,,,,,
,,,,,3633,13.530932,27,,,,,,,,
,,,,,3663,24.304817,30,,,,,,,,
,,,,,3677,14.158293,14,,,,,,,,
,,,,,3696,16.96705,19,,,,,,,,
,,,,,3727,25.980827,31,,,,,,,,
,,,,,3741,8.636528,14,,,,,,,,
,,,,,3760,16.55642,19,,,,,,,,
,,,,,3777,10.876216,17,,,,,,,,
,,,,,3796,15.959062,19,,,,,,,,
,,,,,3815,11.938479,19,,,,,,,,
,,,,,3835,10.20366,20,,,,,,,,
,,,,,3856,23.282778,21,,,,,,,,
,,,,,3866,7.959312,10,,,,,,,,
,,,,,3895,22.721136,29,,,,,,,,
,,,,,3915,19.526917,20,,,,,,,,
,,,,,3929,10.673213,14,,,,,,,,
,,,,,3955,23.830435,26,,,,,,,,
,,,,,3966,7.9127817,11,,,,,,,,
,,,,,3989,25.138584,23,,,,,,,,
,,,,,3998,7.0376973,9,,,,,,,,
,,,,,4016,10.344878,18,,,,,,,,
,,,,,4025,6.42901,9,,,,,,,,
,,,,,4040,7.1816664,15,,,,,,,,
,,,,,4070,24.481201,30,,,,,,,,
,,,,,4099,27.095615,29,,,,,,,,
,,,,,4108,6.4010286,9,,,,,,,,
,,,,,4136,24.668718,28,,,,,,,,
,,,,,4149,9.664875,13,,,,,,,,
,,,,,4179,9.958081,30,,,,,,,,
,,,,,4220,29.622286,41,,,,,,,,
,,,,,4239,14.582632,19,,,,,,,,
,,,,,4250,9.266126,11,,,,,,,,
,,,,,4274,16.677046,24,,,,,,,,
,,,,,4288,13.466308,14,,,,,,,,
,,,,,4313,9.704301,25,,,,,,,,
,,,,,4324,9.236652,11,,,,,,,,
,,,,,4338,9.090037,14,,,,,,,,
