Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
17.0405,6.7447305,30.026075,7.263916,18.9,0,,,,,,,,,,
,,,,,11,7.341255,12,,,,,,,,
,,,,,44,13.419406,33,,,,,,,,
,,,,,58,10.832115,14,,,,,,,,
,,,,,75,13.150062,17,,,,,,,,
,,,,,89,8.170693,14,,,,,,,,
,,,,,114,15.328617,25,,,,,,,,
,,,,,122,5.505904,8,,,,,,,,
,,,,,146,9.382754,24,,,,,,,,
,,,,,161,13.661682,15,,,,,,,,
,,,,,176,9.995787,15,,,,,,,,
,,,,,240,102.60835,64,,,,,,,,
,,,,,260,16.493301,20,,,,,,,,
,,,,,272,8.326675,12,,,,,,,,
,,,,,286,13.358613,14,,,,,,,,
,,,,,312,17.408667,26,,,,,,,,
,,,,,331,17.803345,19,,,,,,,,
,,,,,347,15.739912,16,,,,,,,,
,,,,,356,6.3593664,9,,,,,,,,
,,,,,376,20.757132,20,,,,,,,,
,,,,,393,15.424901,17,,,,,,,,
,,,,,407,11.200863,14,,,,,,,,
,,,,,423,11.015113,16,,,,,,,,
,,,,,456,21.315556,33,,,,,,,,
,,,,,475,12.855278,19,,,,,,,,
,,,,,489,10.744003,14,,,,,,,,
,,,,,523,33.128563,34,,,,,,,,
,,,,,537,9.939391,14,,,,,,,,
,,,,,552,11.694531,15,,,,,,,,
,,,,,563,9.159058,11,,,,,,,,
,,,,,575,10.630836,12,,,,,,,,
,,,,,611,12.442365,36,,,,,,,,
,,,,,642,40.9011,31,,,,,,,,
,,,,,664,23.425562,22,,,,,,,,
,,,,,696,30.364538,32,,,,,,,,
,,,,,707,8.400006,11,,,,,,,,
,,,,,722,11.494422,15,,,,,,,,
,,,,,747,7.826839,25,,,,,,,,
,,,,,769,16.164589,22,,,,,,,,
,,,,,781,4.9073386,12,,,,,,,,
,,,,,796,11.031537,15,,,,,,,,
,,,,,806,7.5473824,10,,,,,,,,
,,,,,823,12.85036,17,,,,,,,,
,,,,,839,8.273241,16,,,,,,,,
,,,,,867,24.124435,28,,,,,,,,
,,,,,895,8.234252,28,,,,,,,,
,,,,,914,7.880667,19,,,,,,,,
,,,,,926,7.333394,12,,,,,,,,
,,,,,944,17.078371,18,,,,,,,,
,,,,,956,10.851423,12,,,,,,,,
,,,,,975,20.59226,19,,,,,,,,
,,,,,994,18.595127,19,,,,,,,,
,,,,,1014,17.879951,20,,,,,,,,
,,,,,1035,14.835143,21,,,,,,,,
,,,,,1056,7.512048,21,,,,,,,,
,,,,,1078,11.618565,22,,,,,,,,
,,,,,1090,9.172678,12,,,,,,,,
,,,,,1109,12.367992,19,,,,,,,,
,,,,,1124,10.008873,15,,,,,,,,
,,,,,1150,12.083432,26,,,,,,,,
,,,,,1182,9.924265,32,,,,,,,,
,,,,,1200,13.405805,18,,,,,,,,
,,,,,1230,26.795475,30,,,,,,,,
,,,,,1248,18.174063,18,,,,,,,,
,,,,,1279,9.973992,31,,,,,,,,
,,,,,1296,13.645516,17,,,,,,,,
,,,,,1310,10.199358,14,,,,,,,,
,,,,,1328,9.700537,18,,,,,,,,
,,,,,1356,16.921566,28,,,,,,,,
,,,,,1379,16.98612,23,,,,,,,,
,,,,,1405,11.34132,26,,,,,,,,
,,,,,1424,15.53638,19,,,,,,,,
,,,,,1440,12.774616,16,,,,,,,,
,,,,,1452,8.451393,12,,,,,,,,
,,,,,1470,11.010084,18,,,,,,,,
,,,,,1482,9.685077,12,,,,,,,,
,,,,,1501,16.219143,19,,,,,,,,
,,,,,1536,32.52408,35,,,,,,,,
,,,,,1566,32.94016,30,,,,,,,,
,,,,,1590,27.486263,24,,,,,,,,
,,,,,1604,10.071738,14,,,,,,,,
,,,,,1633,24.246553,29,,,,,,,,
,,,,,1660,22.708643,27,,,,,,,,
,,,,,1674,9.264331,14,,,,,,,,
,,,,,1686,10.435234,12,,,,,,,,
,,,,,1705,11.339647,19,,,,,,,,
,,,,,1728,17.694313,23,,,,,,,,
,,,,,1751,27.019962,23,,,,,,,,
,,,,,1766,11.565186,15,,,,,,,,
,,,,,1820,86.904465,54,,,,,,,,
,,,,,1857,20.178469,37,,,,,,,,
,,,,,1878,19.659536,21,,,,,,,,
,,,,,1905,21.213902,27,,,,,,,,
,,,,,1924,12.3764,19,,,,,,,,
,,,,,1960,37.19599,36,,,,,,,,
,,,,,1970,6.9807887,10,,,,,,,,
,,,,,1996,12.2646265,26,,,,,,,,
,,,,,2007,8.30875,11,,,,,,,,
,,,,,2031,18.003126,24,,,,,,,,
,,,,,2050,17.632767,19,,,,,,,,
,,,,,2075,11.3592825,25,,,,,,,,
,,,,,2086,8.513237,11,,,,,,,,
,,,,,2116,26.795906,30,,,,,,,,
,,,,,2127,9.2895,11,,,,,,,,
,,,,,2144,15.654907,17,,,,,,,,
,,,,,2176,20.677797,32,,,,,,,,
,,,,,2195,9.74164,19,,,,,,,,
,,,,,2215,12.317643,20,,,,,,,,
,,,,,2247,40.28641,32,,,,,,,,
,,,,,2270,11.462411,23,,,,,,,,
,,,,,2297,16.862598,27,,,,,,,,
,,,,,2324,17.94191,27,,,,,,,,
,,,,,2337,5.7693796,13,,,,,,,,
,,,,,2347,7.29823,10,,,,,,,,
,,,,,2360,10.0373335,13,,,,,,,,
,,,,,2390,26.766119,30,,,,,,,,
,,,,,2416,28.99459,26,,,,,,,,
,,,,,2437,19.788189,21,,,,,,,,
,,,,,2453,13.695618,16,,,,,,,,
,,,,,2483,20.998222,30,,,,,,,,
,,,,,2509,21.2916,26,,,,,,,,
,,,,,2528,9.4931755,19,,,,,,,,
,,,,,2544,11.88052,16,,,,,,,,
,,,,,2560,8.389562,16,,,,,,,,
,,,,,2579,15.734448,19,,,,,,,,
,,,,,2597,11.706737,18,,,,,,,,
,,,,,2614,12.4443445,17,,,,,,,,
,,,,,2635,12.672439,21,,,,,,,,
,,,,,2651,15.748251,16,,,,,,,,
,,,,,2663,6.978886,12,,,,,,,,
,,,,,2676,9.735943,13,,,,,,,,
,,,,,2691,9.810984,15,,,,,,,,
,,,,,2714,26.072805,23,,,,,,,,
,,,,,2736,6.2332735,22,,,,,,,,
,,,,,2750,11.167526,14,,,,,,,,
,,,,,2771,9.400027,21,,,,,,,,
,,,,,2782,8.703242,11,,,,,,,,
,,,,,2817,20.44251,35,,,,,,,,
,,,,,2831,13.207466,14,,,,,,,,
,,,,,2845,11.911944,14,,,,,,,,
,,,,,2869,14.414103,24,,,,,,,,
,,,,,2905,36.344696,36,,,,,,,,
,,,,,2923,14.456409,18,,,,,,,,
,,,,,2948,29.222794,25,,,,,,,,
,,,,,2964,11.263109,16,,,,,,,,
,,,,,2992,29.613163,28,,,,,,,,
,,,,,3004,11.410096,12,,,,,,,,
,,,,,3024,11.554625,20,,,,,,,,
,,,,,3044,12.425585,20,,,,,,,,
,,,,,3061,6.6435766,17,,,,,,,,
,,,,,3071,8.486832,10,,,,,,,,
