Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-898.96387,426.68436,-412.56226,-1637.1348,117.9,0,,,,,,,,
,,,,,70,-77.53943,71,,,,,,
,,,,,184,-199.5682,114,,,,,,
,,,,,260,-104.55322,76,,,,,,
,,,,,338,-122.09797,78,,,,,,
,,,,,398,-132.95763,60,,,,,,
,,,,,469,-69.64396,71,,,,,,
,,,,,605,-89.30824,136,,,,,,
,,,,,688,-141.49637,83,,,,,,
,,,,,748,-117.269615,60,,,,,,
,,,,,848,-175.91278,100,,,,,,
,,,,,925,-79.36317,77,,,,,,
,,,,,1009,-70.54541,84,,,,,,
,,,,,1118,-227.91855,109,,,,,,
,,,,,1205,-363.48517,87,,,,,,
,,,,,1302,-109.24351,97,,,,,,
,,,,,1390,-366.94046,88,,,,,,
,,,,,1487,-225.20364,97,,,,,,
,,,,,1577,-119.68912,90,,,,,,
,,,,,1658,-203.86089,81,,,,,,
,,,,,1749,-94.50917,91,,,,,,
,,,,,1856,-186.55252,107,,,,,,
,,,,,1935,-339.6856,79,,,,,,
,,,,,2018,-66.99466,83,,,,,,
,,,,,2103,-160.03427,85,,,,,,
,,,,,2177,-168.6159,74,,,,,,
,,,,,2265,-165.82452,88,,,,,,
,,,,,2340,20.37249,75,,,,,,
,,,,,2426,-322.1217,86,,,,,,
,,,,,2571,-352.30774,145,,,,,,
,,,,,2638,-147.56375,67,,,,,,
,,,,,2743,-462.76407,105,,,,,,
,,,,,2822,-83.18962,79,,,,,,
,,,,,2896,-110.80473,74,,,,,,
,,,,,2976,-105.02443,80,,,,,,
,,,,,3088,-243.20186,112,,,,,,
,,,,,3155,-93.15705,67,,,,,,
,,,,,3242,-82.45201,87,,,,,,
,,,,,3341,-334.58966,99,,,,,,
,,,,,3419,-193.1028,78,,,,,,
,,,,,3528,-64.54468,109,,,,,,
,,,,,3636,-134.05779,108,,,,,,
,,,,,3748,-226.47144,112,,,,,,
,,,,,3861,-418.99564,113,,,,,,
,,,,,3942,-113.361755,81,,,,,,
,,,,,4017,26.196709,75,,,,,,
,,,,,4096,-132.39911,79,,,,,,
,,,,,4200,-160.64185,104,,,,,,
,,,,,4268,-41.03223,68,,,,,,
,,,,,4402,-109.43057,134,,,,,,
,,,,,4460,-139.08159,58,,,,,,
,,,,,4533,-227.32823,73,,,,,,
,,,,,4619,-101.37576,86,,,,,,
,,,,,4722,-296.60245,103,,,,,,
,,,,,4799,-185.84634,77,,,,,,
,,,,,4933,-210.45917,134,,,,,,
,,,,,5020,-184.62515,87,,,,,,
,,,,,5131,-408.65167,111,,,,,,
,,,,,5197,-230.78612,66,,,,,,
,,,,,5289,-362.2791,92,,,,,,
,,,,,5349,-101.00219,60,,,,,,
,,,,,5419,-92.47037,70,,,,,,
,,,,,5494,-128.20674,75,,,,,,
,,,,,5579,-76.984085,85,,,,,,
,,,,,5654,-106.13822,75,,,,,,
,,,,,5734,-215.3511,80,,,,,,
,,,,,5792,-182.84274,58,,,,,,
,,,,,5878,-26.555222,86,,,,,,
,,,,,5958,-95.06197,80,,,,,,
,,,,,6064,-140.15582,106,,,,,,
,,,,,6156,-124.04686,92,,,,,,
,,,,,6252,-132.44658,96,,,,,,
,,,,,6379,-175.1217,127,,,,,,
,,,,,6502,-264.50943,123,,,,,,
,,,,,6568,-97.895905,66,,,,,,
,,,,,6670,-226.85368,102,,,,,,
,,,,,6776,-193.92674,106,,,,,,
,,,,,6877,-115.550125,101,,,,,,
,,,,,6985,-303.71002,108,,,,,,
,,,,,7083,-130.12772,98,,,,,,
