Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,471,200.0,1898,,,,,,
,,,,,911,190.0,1778,,,,,,
,,,,,1406,280.0,1994,,,,,,
,,,,,2346,750.0,3770,,,,,,
,,,,,2892,210.0,2202,,,,,,
,,,,,3528,390.0,2562,,,,,,
,,,,,4018,210.0,1978,,,,,,
,,,,,4495,180.0,1922,,,,,,
,,,,,5137,360.0,2586,,,,,,
,,,,,5535,200.0,1610,,,,,,
,,,,,5987,270.0,1810,,,,,,
,,,,,6528,290.0,2162,,,,,,
,,,,,6963,230.0,1746,,,,,,
,,,,,7464,240.0,2010,,,,,,
,,,,,8023,400.0,2266,,,,,,
,,,,,8506,190.0,1930,,,,,,
,,,,,9015,240.0,2050,,,,,,
,,,,,9466,240.0,1818,,,,,,
,,,,,9908,210.0,1778,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10423,190.0,2066,,,,,,
,,,,,10925,140.0,2018,,,,,,
,,,,,11410,210.0,1946,,,,,,
,,,,,11827,190.0,1698,,,,,,
,,,,,12310,200.0,1938,,,,,,
,,,,,12829,180.0,2082,,,,,,
,,,,,13390,250.0,2250,,,,,,
,,,,,13926,270.0,2170,,,,,,
,,,,,14340,240.0,1674,,,,,,
,,,,,14779,130.0,1786,,,,,,
,,,,,15222,170.0,1778,,,,,,
,,,,,15686,190.0,1866,,,,,,
,,,,,16161,310.0,1922,,,,,,
,,,,,16633,190.0,1890,,,,,,
,,,,,17158,200.0,2114,,,,,,
,,,,,17572,180.0,1674,,,,,,
,,,,,18004,190.0,1738,,,,,,
,,,,,18952,580.0,3818,,,,,,
,,,,,19512,300.0,2258,,,,,,
60.0,0.0,60.0,60.0,1930.0,20000,,,3.146862268447876,-0.002048719208687544,0.3566325604915619,0.8727840781211853,1.0,0.0001
,,,,,20024,200.0,2074,,,,,,
,,,,,20353,160.0,1338,,,,,,
,,,,,20779,170.0,1730,,,,,,
,,,,,21000,,,2.946157455444336,0.5016024112701416,0.3580569326877594,2.5187063217163086,0.9979375,0.0001
,,,,,21225,160.0,1786,,,,,,
,,,,,21739,340.0,2066,,,,,,
,,,,,22000,,,3.214312791824341,0.6968481540679932,0.3495965003967285,6.1107001304626465,0.995875,0.0001
,,,,,22231,220.0,1970,,,,,,
,,,,,22620,210.0,1570,,,,,,
,,,,,23000,,,0.07256624102592468,1.2597935199737549,1.0709564685821533,3.2290258407592773,0.9938125,0.0001
,,,,,23137,270.0,2074,,,,,,
,,,,,23541,270.0,1626,,,,,,
,,,,,23923,180.0,1530,,,,,,
,,,,,24000,,,0.31809306144714355,1.534928321838379,1.0532634258270264,8.58655071258545,0.99175,0.0001
,,,,,24422,250.0,2002,,,,,,
,,,,,24856,260.0,1754,,,,,,
,,,,,25000,,,9.200641632080078,1.5674233436584473,2.4174208641052246,18.194021224975586,0.9896875,0.0001
,,,,,25357,250.0,2018,,,,,,
,,,,,25861,230.0,2018,,,,,,
,,,,,26000,,,10.413422584533691,1.9431098699569702,2.6110329627990723,22.336448669433594,0.987625,0.0001
,,,,,26611,390.0,3002,,,,,,
,,,,,27000,,,3.0995991230010986,2.1250429153442383,2.2225489616394043,10.489686965942383,0.9855625,0.0001
,,,,,27163,210.0,2226,,,,,,
,,,,,27717,340.0,2234,,,,,,
,,,,,28000,,,13.634069442749023,2.611454486846924,3.76444149017334,36.837066650390625,0.9835,0.0001
,,,,,28124,180.0,1650,,,,,,
,,,,,28656,320.0,2154,,,,,,
,,,,,29000,,,5.078190326690674,3.513139247894287,3.2453184127807617,20.01669692993164,0.9814375,0.0001
,,,,,29144,260.0,1962,,,,,,
,,,,,29495,80.0,1402,,,,,,
,,,,,29991,260.0,1986,,,,,,
108.0,24.0,120.0,60.0,1810.0,30000,,,3.0741939544677734,2.953676223754883,2.9774208068847656,10.777088165283203,0.979375,0.0001
,,,,,30470,190.0,1930,,,,,,
,,,,,30992,230.0,2098,,,,,,
,,,,,31000,,,0.41797739267349243,2.6461398601531982,2.6089048385620117,6.229605197906494,0.9773125,0.0001
,,,,,31476,270.0,1938,,,,,,
,,,,,31996,240.0,2090,,,,,,
,,,,,32000,,,0.2544859051704407,3.0538477897644043,2.7559216022491455,12.618172645568848,0.97525,0.0001
,,,,,33000,,,2.2800498008728027,3.351673126220703,3.5113048553466797,17.226503372192383,0.9731875,0.0001
,,,,,33120,720.0,4506,,,,,,
,,,,,33637,250.0,2090,,,,,,
,,,,,34000,,,7.3444318771362305,3.3796370029449463,3.593278646469116,32.96010208129883,0.971125,0.0001
,,,,,34091,140.0,1826,,,,,,
,,,,,34589,300.0,2002,,,,,,
,,,,,35000,,,0.36209625005722046,4.413710594177246,4.072726249694824,22.718769073486328,0.9690625,0.0001
,,,,,35319,420.0,2946,,,,,,
,,,,,35931,370.0,2458,,,,,,
