Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-258.6997,55.6051,-177.70001,-379.30353,1000.0,0,,,,,,,,,,,,
,,,,,999,-138.61012,1000,,,,,,,,,,
,,,,,1999,-275.23712,1000,,,,,,,,,,
,,,,,2999,-290.66443,1000,,,,,,,,,,
,,,,,3999,-314.50946,1000,,,,,,,,,,
,,,,,4999,-191.96324,1000,,,,,,,,,,
-265.995,73.14326,-164.4001,-394.10568,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-253.73915,1000,,,,,,,,,,
,,,,,6999,-181.30013,1000,,,,,,,,,,
,,,,,7999,-160.01244,1000,,,,,,,,,,
,,,,,8999,-193.71591,1000,,,,,,,,,,
,,,,,9999,-266.65643,1000,,,,,,,,,,
-235.229,61.843052,-150.1209,-363.64908,1000.0,10000,,,-1.913757085800171,3.777127265930176,3.1092567443847656,-0.013832706958055496,1.59169340133667,0.5,-6.687597274780273,0.0003,0.0003,0.49994999170303345
,,,,,10999,-238.499,1000,,,,,,,,,,
,,,,,11000,,,-10.774221420288086,3.9361767768859863,0.7102001905441284,8.868215560913086,8.846235275268555,0.452415406703949,-7.911301612854004,0.0003,0.0003,0.45237019658088684
,,,,,11999,-251.11954,1000,,,,,,,,,,
,,,,,12000,,,-17.716827392578125,3.96208119392395,1.0570513010025024,16.006328582763672,16.079681396484375,0.40940287709236145,-8.913360595703125,0.0003,0.0003,0.40936192870140076
,,,,,12999,-225.6074,1000,,,,,,,,,,
,,,,,13000,,,-23.82171058654785,3.8165805339813232,0.8571915626525879,22.212190628051758,22.32020378112793,0.3704798221588135,-9.784379959106445,0.0003,0.0003,0.3704429566860199
,,,,,13999,-162.59875,1000,,,,,,,,,,
,,,,,14000,,,-28.766813278198242,3.8599562644958496,1.0756256580352783,27.31525421142578,27.505657196044922,0.33547717332839966,-10.669706344604492,0.0003,0.0003,0.33544379472732544
,,,,,14999,-278.09378,1000,,,,,,,,,,
-183.441,37.477287,-120.34615,-237.58788,1000.0,15000,,,-33.02924346923828,3.629758358001709,0.8715249300003052,31.63817596435547,31.64315414428711,0.3038451075553894,-11.374486923217773,0.0003,0.0003,0.30381491780281067
,,,,,15999,-218.07056,1000,,,,,,,,,,
,,,,,16000,,,-36.83918380737305,3.5636751651763916,1.0478930473327637,35.60247039794922,35.41644287109375,0.27526435256004333,-12.327672958374023,0.0003,0.0003,0.2752372622489929
,,,,,16999,-190.15254,1000,,,,,,,,,,
,,,,,17000,,,-40.205596923828125,3.477353096008301,0.9271262884140015,38.85573959350586,38.861778259277344,0.24939484894275665,-12.990612030029297,0.0003,0.0003,0.2493702620267868
,,,,,17999,-217.61081,1000,,,,,,,,,,
,,,,,18000,,,-42.766685485839844,3.2614927291870117,0.6721680760383606,41.59729766845703,41.58978271484375,0.22596535086631775,-13.712541580200195,0.0003,0.0003,0.22594310343265533
,,,,,18999,-168.45352,1000,,,,,,,,,,
