Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-253.59636,61.939804,-191.47989,-400.4384,1000.0,0,,,,,,,,,,
,,,,,999,-237.89989,1000,,,,,,,,
,,,,,1999,-321.72525,1000,,,,,,,,
,,,,,2999,-314.68796,1000,,,,,,,,
,,,,,3999,-354.5909,1000,,,,,,,,
,,,,,4999,-245.51888,1000,,,,,,,,
-259.84906,39.5698,-210.32645,-354.47375,1000.0,5000,,,,,,,,,,
,,,,,5999,-280.76877,1000,,,,,,,,
,,,,,6999,-247.50688,1000,,,,,,,,
,,,,,7999,-229.16435,1000,,,,,,,,
,,,,,8999,-179.8759,1000,,,,,,,,
,,,,,9999,-121.820114,1000,,,,,,,,
-240.3386,74.29408,-133.23216,-342.36902,1000.0,10000,,,0.005041666328907013,3.7504448890686035,0.542442798614502,-0.011915002949535847,-0.35536840558052063,0.0003,0.0003,0.01
,,,,,10999,-388.18503,1000,,,,,,,,
,,,,,11000,,,-1.435873031616211,-5.585850715637207,0.3133431673049927,0.7680059671401978,0.7458618879318237,0.0003,0.0003,0.01
,,,,,11999,-350.9079,1000,,,,,,,,
,,,,,12000,,,-2.254549980163574,-4.293595790863037,0.5245162844657898,1.8261178731918335,1.751821756362915,0.0003,0.0003,0.01
,,,,,12999,-207.85542,1000,,,,,,,,
,,,,,13000,,,-3.441995143890381,-4.929105758666992,0.5906312465667725,2.8033249378204346,2.6571805477142334,0.0003,0.0003,0.01
,,,,,13999,-210.2008,1000,,,,,,,,
,,,,,14000,,,-4.836766719818115,-4.542079925537109,0.7695905566215515,4.146005630493164,4.113066673278809,0.0003,0.0003,0.01
,,,,,14999,-58.12955,1000,,,,,,,,
-1.9835346,35.65718,50.595398,-71.318504,1000.0,15000,,,-6.595204830169678,-6.2305731773376465,0.5892788767814636,5.6198883056640625,5.755419731140137,0.0003,0.0003,0.01
,,,,,15999,-106.3036,1000,,,,,,,,
,,,,,16000,,,-9.392715454101562,-7.084794998168945,0.5244643688201904,8.421257019042969,8.476724624633789,0.0003,0.0003,0.01
,,,,,16999,66.50617,1000,,,,,,,,
,,,,,17000,,,-11.057214736938477,-6.42992639541626,0.5331349968910217,10.147188186645508,10.273309707641602,0.0003,0.0003,0.01
,,,,,17999,146.55383,1000,,,,,,,,
,,,,,18000,,,-14.306085586547852,-7.169269561767578,0.6107409596443176,13.373584747314453,13.291698455810547,0.0003,0.0003,0.01
,,,,,18999,139.70537,1000,,,,,,,,
