Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
7.5,4.1291647,17.0,3.0,7.5,0,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,
,,,,,5,3.0,3,,,,,,,,
,,,,,9,4.0,4,,,,,,,,
,,,,,12,3.0,3,,,,,,,,
,,,,,17,5.0,5,,,,,,,,
,,,,,20,3.0,3,,,,,,,,
,,,,,25,5.0,5,,,,,,,,
,,,,,30,5.0,5,,,,,,,,
,,,,,34,4.0,4,,,,,,,,
,,,,,37,3.0,3,,,,,,,,
,,,,,41,4.0,4,,,,,,,,
,,,,,46,5.0,5,,,,,,,,
,,,,,50,4.0,4,,,,,,,,
,,,,,53,3.0,3,,,,,,,,
,,,,,56,3.0,3,,,,,,,,
,,,,,60,4.0,4,,,,,,,,
,,,,,65,5.0,5,,,,,,,,
,,,,,80,15.0,15,,,,,,,,
,,,,,94,14.0,14,,,,,,,,
,,,,,100,6.0,6,,,,,,,,
,,,,,103,3.0,3,,,,,,,,
,,,,,108,5.0,5,,,,,,,,
,,,,,112,4.0,4,,,,,,,,
,,,,,117,5.0,5,,,,,,,,
,,,,,120,3.0,3,,,,,,,,
,,,,,129,9.0,9,,,,,,,,
,,,,,135,6.0,6,,,,,,,,
,,,,,138,3.0,3,,,,,,,,
,,,,,141,3.0,3,,,,,,,,
,,,,,144,3.0,3,,,,,,,,
,,,,,150,6.0,6,,,,,,,,
,,,,,163,13.0,13,,,,,,,,
,,,,,170,7.0,7,,,,,,,,
,,,,,174,4.0,4,,,,,,,,
,,,,,178,4.0,4,,,,,,,,
,,,,,181,3.0,3,,,,,,,,
,,,,,191,10.0,10,,,,,,,,
,,,,,194,3.0,3,,,,,,,,
,,,,,198,4.0,4,,,,,,,,
,,,,,205,7.0,7,,,,,,,,
,,,,,208,3.0,3,,,,,,,,
,,,,,213,5.0,5,,,,,,,,
,,,,,217,4.0,4,,,,,,,,
,,,,,221,4.0,4,,,,,,,,
,,,,,232,11.0,11,,,,,,,,
,,,,,236,4.0,4,,,,,,,,
,,,,,247,11.0,11,,,,,,,,
,,,,,253,6.0,6,,,,,,,,
,,,,,266,13.0,13,,,,,,,,
,,,,,274,8.0,8,,,,,,,,
,,,,,282,8.0,8,,,,,,,,
,,,,,302,20.0,20,,,,,,,,
,,,,,309,7.0,7,,,,,,,,
,,,,,312,3.0,3,,,,,,,,
,,,,,317,5.0,5,,,,,,,,
,,,,,338,21.0,21,,,,,,,,
,,,,,347,9.0,9,,,,,,,,
,,,,,350,3.0,3,,,,,,,,
,,,,,353,3.0,3,,,,,,,,
,,,,,357,4.0,4,,,,,,,,
,,,,,360,3.0,3,,,,,,,,
,,,,,373,13.0,13,,,,,,,,
,,,,,385,12.0,12,,,,,,,,
,,,,,388,3.0,3,,,,,,,,
,,,,,411,23.0,23,,,,,,,,
,,,,,414,3.0,3,,,,,,,,
,,,,,418,4.0,4,,,,,,,,
,,,,,421,3.0,3,,,,,,,,
,,,,,424,3.0,3,,,,,,,,
,,,,,432,8.0,8,,,,,,,,
,,,,,437,5.0,5,,,,,,,,
,,,,,441,4.0,4,,,,,,,,
,,,,,445,4.0,4,,,,,,,,
,,,,,449,4.0,4,,,,,,,,
,,,,,454,5.0,5,,,,,,,,
,,,,,458,4.0,4,,,,,,,,
,,,,,465,7.0,7,,,,,,,,
,,,,,469,4.0,4,,,,,,,,
,,,,,473,4.0,4,,,,,,,,
,,,,,477,4.0,4,,,,,,,,
,,,,,486,9.0,9,,,,,,,,
,,,,,490,4.0,4,,,,,,,,
,,,,,495,5.0,5,,,,,,,,
,,,,,503,8.0,8,,,,,,,,
,,,,,508,5.0,5,,,,,,,,
,,,,,524,16.0,16,,,,,,,,
,,,,,527,3.0,3,,,,,,,,
,,,,,534,7.0,7,,,,,,,,
,,,,,537,3.0,3,,,,,,,,
,,,,,541,4.0,4,,,,,,,,
,,,,,545,4.0,4,,,,,,,,
,,,,,549,4.0,4,,,,,,,,
,,,,,553,4.0,4,,,,,,,,
,,,,,557,4.0,4,,,,,,,,
,,,,,564,7.0,7,,,,,,,,
,,,,,568,4.0,4,,,,,,,,
,,,,,572,4.0,4,,,,,,,,
,,,,,576,4.0,4,,,,,,,,
,,,,,586,10.0,10,,,,,,,,
,,,,,591,5.0,5,,,,,,,,
,,,,,594,3.0,3,,,,,,,,
,,,,,599,5.0,5,,,,,,,,
,,,,,603,4.0,4,,,,,,,,
,,,,,614,11.0,11,,,,,,,,
,,,,,622,8.0,8,,,,,,,,
,,,,,628,6.0,6,,,,,,,,
,,,,,631,3.0,3,,,,,,,,
,,,,,635,4.0,4,,,,,,,,
,,,,,641,6.0,6,,,,,,,,
,,,,,645,4.0,4,,,,,,,,
,,,,,650,5.0,5,,,,,,,,
,,,,,653,3.0,3,,,,,,,,
,,,,,664,11.0,11,,,,,,,,
,,,,,668,4.0,4,,,,,,,,
