Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-556.6057,128.93831,-404.5297,-845.837,80.1,0,,,,,,,,
,,,,,73,-144.28018,74,,,,,,
,,,,,168,-114.2643,95,,,,,,
,,,,,251,-157.60176,83,,,,,,
,,,,,314,-75.40245,63,,,,,,
,,,,,386,-168.72563,72,,,,,,
,,,,,486,-188.39244,100,,,,,,
,,,,,549,-131.18309,63,,,,,,
,,,,,634,-331.08362,85,,,,,,
,,,,,769,-69.34522,135,,,,,,
,,,,,863,-244.93076,94,,,,,,
,,,,,976,-121.18587,113,,,,,,
,,,,,1051,-90.15013,75,,,,,,
,,,,,1161,-26.809982,110,,,,,,
,,,,,1225,-115.47943,64,,,,,,
,,,,,1330,-110.69898,105,,,,,,
,,,,,1421,-51.121902,91,,,,,,
,,,,,1488,-236.92609,67,,,,,,
,,,,,1595,-258.2466,107,,,,,,
,,,,,1669,-268.07855,74,,,,,,
,,,,,1791,-282.20093,122,,,,,,
,,,,,1863,-228.19037,72,,,,,,
,,,,,1941,-319.78265,78,,,,,,
,,,,,2068,-332.34625,127,,,,,,
,,,,,2171,-146.75644,103,,,,,,
,,,,,2267,-130.57504,96,,,,,,
,,,,,2374,-349.30856,107,,,,,,
,,,,,2491,-326.88763,117,,,,,,
,,,,,2578,12.156853,87,,,,,,
,,,,,2676,-112.20557,98,,,,,,
,,,,,2775,-97.342094,99,,,,,,
,,,,,2838,-108.351524,63,,,,,,
,,,,,2934,-321.28473,96,,,,,,
,,,,,3023,-296.74194,89,,,,,,
,,,,,3124,-306.685,101,,,,,,
,,,,,3207,-309.75867,83,,,,,,
,,,,,3340,-162.71002,133,,,,,,
,,,,,3418,-86.75571,78,,,,,,
,,,,,3525,-287.719,107,,,,,,
,,,,,3639,-375.35812,114,,,,,,
,,,,,3726,17.340729,87,,,,,,
,,,,,3821,-46.034286,95,,,,,,
,,,,,3931,-81.979324,110,,,,,,
,,,,,4009,-132.9297,78,,,,,,
,,,,,4068,-88.94564,59,,,,,,
,,,,,4138,-87.20145,70,,,,,,
,,,,,4244,-152.92877,106,,,,,,
,,,,,4317,-94.42734,73,,,,,,
,,,,,4415,-274.17105,98,,,,,,
,,,,,4485,-360.82742,70,,,,,,
,,,,,4596,-145.12514,111,,,,,,
